# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:36:20+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 7.69312746626887e-07 7.69312746626909e-07 7.69312746626908e-07
1024 1 2.72922478936327e-06 2.72922478936326e-06 2.72922478936326e-06
1536 1.5 3.63424835105066e-06 3.63424835105065e-06 3.63424835105061e-06
2048 2 4.26960098153282e-06 4.26960098153281e-06 4.26960098153281e-06
2560 2.5 5.14289712294544e-06 5.14289712294543e-06 5.14289712294543e-06
3072 3 5.88851120380662e-06 5.88851120380662e-06 5.88851120380661e-06
3584 3.5 7.40291160662716e-06 7.40291160662732e-06 7.40291160662661e-06
4096 4 8.92135181449181e-06 8.92135181449235e-06 8.92135181449226e-06
4608 4.5 9.95030515539901e-06 9.95030515540019e-06 9.95030515540313e-06
5120 5 1.23349849075958e-05 1.23349849075969e-05 1.23349849075965e-05
5632 5.5 1.66946246496667e-05 1.66946246496706e-05 1.66946246496651e-05
6144 6 2.16201340598758e-05 2.16201340598731e-05 2.16201340598705e-05
6656 6.5 2.77916521057537e-05 2.77916521057288e-05 2.77916521057529e-05
7168 7 3.55318730859412e-05 3.55318730859281e-05 3.55318730859577e-05
7680 7.5 4.41113367186263e-05 4.4111336718674e-05 4.41113367186524e-05
8192 8 5.14509897719826e-05 5.14509897720399e-05 5.14509897719984e-05
8704 8.5 5.51280358133169e-05 5.51280358133106e-05 5.51280358132709e-05
9216 9 5.46412521312621e-05 5.46412521312204e-05 5.46412521311042e-05
9728 9.5 5.29167157399365e-05 5.29167157399345e-05 5.29167157397678e-05
10240 10 5.45762615749603e-05 5.45762615749618e-05 5.45762615749505e-05
10752 10.5 6.15267335703397e-05 6.15267335702754e-05 6.15267335704917e-05
11264 11 7.0379818885211e-05 7.0379818885096e-05 7.03798188853361e-05
11776 11.5 7.54400497456253e-05 7.54400497455346e-05 7.54400497455669e-05
12288 12 7.46516290886578e-05 7.46516290886776e-05 7.46516290885327e-05
12800 12.5 7.15564096064071e-05 7.1556409606547e-05 7.15564096064078e-05
13312 13 7.07635060020331e-05 7.07635060021634e-05 7.07635060021404e-05
13824 13.5 7.26740553110067e-05 7.26740553109994e-05 7.26740553110578e-05
14336 14 7.40104244082698e-05 7.40104244081589e-05 7.40104244082179e-05
14848 14.5 7.27441786795458e-05 7.27441786794606e-05 7.27441786794777e-05
15360 15 7.0435916223121e-05 7.04359162231048e-05 7.04359162230812e-05
15872 15.5 6.93151552141254e-05 6.93151552141082e-05 6.9315155214077e-05
16384 16 6.8919118379222e-05 6.89191183791255e-05 6.89191183791327e-05
16896 16.5 6.70831840159185e-05 6.70831840157798e-05 6.70831840158087e-05
17408 17 6.33251010662689e-05 6.33251010662307e-05 6.3325101066207e-05
17920 17.5 5.94854458522584e-05 5.94854458523825e-05 5.94854458523105e-05
18432 18 5.70528952933125e-05 5.70528952934981e-05 5.70528952934591e-05
18944 18.5 5.54099617103749e-05 5.54099617104848e-05 5.54099617105287e-05
19456 19 5.32725128576996e-05 5.32725128577309e-05 5.3272512857821e-05
19968 19.5 5.06958169132051e-05 5.06958169132241e-05 5.0695816913243e-05
20480 20 4.87499794500864e-05 4.87499794500687e-05 4.8749979449948e-05
20992 20.5 4.78069301545433e-05 4.7806930154457e-05 4.78069301542642e-05
21504 21 4.69849176023047e-05 4.69849176022815e-05 4.69849176021402e-05
22016 21.5 4.50742442124596e-05 4.50742442125792e-05 4.50742442126109e-05
22528 22 4.14274089745978e-05 4.14274089746475e-05 4.14274089748657e-05
23040 22.5 3.60462351607396e-05 3.60462351605586e-05 3.60462351607777e-05
23552 23 2.93108806001944e-05 2.93108806000493e-05 2.93108806000454e-05
24064 23.5 2.18262840840364e-05 2.18262840842356e-05 2.18262840840355e-05
24576 24 1.44622107215693e-05 1.44622107218913e-05 1.44622107217534e-05
25088 24.5 8.38986082279619e-06 8.38986082282904e-06 8.389860822901e-06
25600 25 5.64998106753819e-06 5.64998106737429e-06 5.64998106739706e-06
26112 25.5 5.20857906357848e-06 5.20857906357503e-06 5.20857906365972e-06
26624 26 5.37635480827348e-06 5.37635480814478e-06 5.37635480820509e-06
27136 26.5 5.90863671061995e-06 5.90863671060717e-06 5.90863671042897e-06
27648 27 6.38985178276336e-06 6.38985178289086e-06 6.38985178275908e-06
28160 27.5 6.56719291441787e-06 6.56719291441177e-06 6.56719291467449e-06
28672 28 6.4633861289797e-06 6.46338612887901e-06 6.46338612899777e-06
29184 28.5 6.28789782385824e-06 6.28789782385147e-06 6.28789782371216e-06
29696 29 6.15237433538849e-06 6.15237433550409e-06 6.15237433552423e-06
30208 29.5 5.89901374109231e-06 5.89901374075103e-06 5.89901374108149e-06
30720 30 5.3581775465335e-06 5.35817754626346e-06 5.35817754628259e-06
31232 30.5 4.69312446015663e-06 4.69312445999096e-06 4.69312445985864e-06
31744 31 4.26704606732494e-06 4.26704606732848e-06 4.26704606739072e-06
