# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:36:20+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.00370720323063203
512 0.5 0.00369854089206841
1024 1 0.00369024697161224
1536 1.5 0.00368249312753773
2048 2 0.00367521865711094
2560 2.5 0.00366845828823768
3072 3 0.00366227280611203
3584 3.5 0.00365713810969339
4096 4 0.00365296490827521
4608 4.5 0.00364979097043182
5120 5 0.00364762398968126
5632 5.5 0.00364643868337926
6144 6 0.00364618346214205
6656 6.5 0.00364678993381961
7168 7 0.00364818282868107
7680 7.5 0.00365028540124358
8192 8 0.00365301401765156
8704 8.5 0.00365626210715507
9216 9 0.00365988804811025
9728 9.5 0.00366372896740501
10240 10 0.0036676404511114
10752 10.5 0.00367153381246616
11264 11 0.00367537184320694
11776 11.5 0.00367912478721582
12288 12 0.00368273409090296
12800 12.5 0.00368612311282569
13312 13 0.00368923611526723
13824 13.5 0.00369205532007477
14336 14 0.00369458235182422
14848 14.5 0.00369681258749939
15360 15 0.00369873470871952
15872 15.5 0.00370034886710071
16384 16 0.00370167368116256
16896 16.5 0.00370273269224651
17408 17 0.00370354074453147
17920 17.5 0.00370410808666749
18432 18 0.00370445319689931
18944 18.5 0.00370460518365498
19456 19 0.00370459462604476
19968 19.5 0.00370444773314278
20480 20 0.00370419061262584
20992 20.5 0.00370385451472371
21504 21 0.00370347264894822
22016 21.5 0.00370307071426359
22528 22 0.00370265894251961
23040 22.5 0.0037022296875977
23552 23 0.00370175988170497
24064 23.5 0.00370121628339281
24576 24 0.00370056223282953
25088 24.5 0.00369976635124596
25600 25 0.00369881283789532
26112 25.5 0.00369770743468093
26624 26 0.00369647028761302
27136 26.5 0.00369511638956788
27648 27 0.00369363889970973
28160 27.5 0.00369201088491473
28672 28 0.00369020331531982
29184 28.5 0.00368820184716977
29696 29 0.00368600918323811
30208 29.5 0.00368363555952451
30720 30 0.00368108818532448
31232 30.5 0.00367836735764901
31744 31 0.00367547074302695
32256 31.5 0.00367240242902821
32768 32 0.00366917942849112
33280 32.5 0.00366582852755316
33792 33 0.00366237446897424
34304 33.5 0.0036588302596394
34816 34 0.00365519988440202
35328 34.5 0.00365149137099335
35840 35 0.00364772702173887
36352 35.5 0.00364394001963361
36864 36 0.0036401600547399
37376 36.5 0.00363640190257219
37888 37 0.00363266837327537
38400 37.5 0.00362896523810325
38912 38 0.00362531283187305
39424 38.5 0.0036217407858559
39936 39 0.00361827135411528
40448 39.5 0.00361490916041715
40960 40 0.00361164893735166
41472 40.5 0.00360849301350015
41984 41 0.00360545858805582
42496 41.5 0.0036025661419257
43008 42 0.00359982268065967
43520 42.5 0.00359722013619785
44032 43 0.00359475100157651
44544 43.5 0.00359242176601994
45056 44 0.00359024727069284
45568 44.5 0.00358823375858303
46080 45 0.00358637306671747
46592 45.5 0.00358465521158728
47104 46 0.00358308204918575
47616 46.5 0.00358166331593177
48128 47 0.00358040099100852
48640 47.5 0.00357928383368435
49152 48 0.00357829922643122
49664 48.5 0.00357744548651179
50176 49 0.00357672794730202
50688 49.5 0.00357614496649196
51200 50 0.00357568333139347
51712 50.5 0.00357532892062327
52224 51 0.00357507784907967
52736 51.5 0.00357493361281434
53248 52 0.00357489507800129
53760 52.5 0.00357495162578116
54272 53 0.00357509097091293
54784 53.5 0.00357530828449485
55296 54 0.00357560498778464
55808 54.5 0.00357598045946556
56320 55 0.00357642844244707
56832 55.5 0.00357694162452342
57344 56 0.00357751619813524
57856 56.5 0.00357814984472886
58368 57 0.00357883756865966
58880 57.5 0.00357957283961262
59392 58 0.00358035243141449
