# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:36:20+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 -0.00455543169554164 -0.00455543169554164 -0.00455543169554164
1024 1 -0.00900326771949769 -0.00900326771949769 -0.00900326771949769
1536 1.5 -0.0132803616817401 -0.0132803616817401 -0.0132803616817401
2048 2 -0.0175531257871039 -0.0175531257871039 -0.0175531257871039
2560 2.5 -0.0219219405409645 -0.0219219405409645 -0.0219219405409645
3072 3 -0.0262854850336147 -0.0262854850336147 -0.0262854850336147
3584 3.5 -0.0306191315636778 -0.0306191315636778 -0.0306191315636778
4096 4 -0.0349111763885048 -0.0349111763885048 -0.0349111763885048
4608 4.5 -0.0391400615473141 -0.0391400615473141 -0.039140061547314
5120 5 -0.0432897648944607 -0.0432897648944607 -0.0432897648944607
5632 5.5 -0.0473487556843581 -0.0473487556843581 -0.0473487556843581
6144 6 -0.0513101470104275 -0.0513101470104275 -0.0513101470104275
6656 6.5 -0.0552265726763882 -0.0552265726763882 -0.055226572676388
7168 7 -0.0593489632901185 -0.0593489632901185 -0.0593489632901183
7680 7.5 -0.0633853428484879 -0.0633853428484877 -0.0633853428484877
8192 8 -0.0673395966653199 -0.0673395966653194 -0.0673395966653196
8704 8.5 -0.0712080414506816 -0.0712080414506814 -0.0712080414506814
9216 9 -0.0749819490962843 -0.0749819490962844 -0.0749819490962842
9728 9.5 -0.0786592531988815 -0.0786592531988814 -0.0786592531988815
10240 10 -0.0822441017523465 -0.0822441017523462 -0.0822441017523463
10752 10.5 -0.0857377338535445 -0.0857377338535443 -0.0857377338535446
11264 11 -0.0891362480567659 -0.089136248056766 -0.0891362480567664
11776 11.5 -0.0924363902792268 -0.0924363902792272 -0.0924363902792269
12288 12 -0.0956401103517069 -0.0956401103517066 -0.0956401103517062
12800 12.5 -0.0987522216445033 -0.0987522216445024 -0.0987522216445029
13312 13 -0.101775784345303 -0.101775784345304 -0.101775784345304
13824 13.5 -0.104712118547189 -0.10471211854719 -0.104712118547189
14336 14 -0.107563621475369 -0.107563621475369 -0.107563621475368
14848 14.5 -0.110332985790124 -0.110332985790124 -0.110332985790124
15360 15 -0.113022820038109 -0.11302282003811 -0.11302282003811
15872 15.5 -0.11563692718352 -0.11563692718352 -0.11563692718352
16384 16 -0.118178735816512 -0.118178735816511 -0.118178735816511
16896 16.5 -0.120651593326372 -0.120651593326371 -0.120651593326371
17408 17 -0.123062194103996 -0.123062194103996 -0.123062194103996
17920 17.5 -0.125417726766419 -0.12541772676642 -0.12541772676642
18432 18 -0.127719984558364 -0.127719984558364 -0.127719984558364
18944 18.5 -0.129966588578504 -0.129966588578503 -0.129966588578504
19456 19 -0.132159718162806 -0.132159718162806 -0.132159718162805
19968 19.5 -0.134306289306997 -0.134306289306998 -0.134306289306996
20480 20 -0.136413168309427 -0.136413168309428 -0.136413168309427
20992 20.5 -0.138485352947256 -0.138485352947256 -0.138485352947256
21504 21 -0.140526338479916 -0.140526338479916 -0.140526338479916
22016 21.5 -0.142538008715387 -0.142538008715387 -0.142538008715387
22528 22 -0.144521327061007 -0.144521327061007 -0.144521327061007
23040 22.5 -0.146478835630348 -0.146478835630348 -0.146478835630347
23552 23 -0.148415720129078 -0.148415720129079 -0.148415720129078
24064 23.5 -0.150337353269828 -0.150337353269828 -0.150337353269829
24576 24 -0.152247196624828 -0.152247196624827 -0.152247196624828
25088 24.5 -0.154143882280408 -0.154143882280408 -0.154143882280407
25600 25 -0.156037020995433 -0.156037020995434 -0.156037020995432
26112 25.5 -0.157928404772178 -0.157928404772177 -0.157928404772176
26624 26 -0.159815640808285 -0.159815640808283 -0.159815640808284
27136 26.5 -0.16169609502997 -0.161696095029969 -0.16169609502997
27648 27 -0.163567165560773 -0.163567165560775 -0.163567165560774
28160 27.5 -0.16542658439683 -0.165426584396831 -0.16542658439683
28672 28 -0.167273002466605 -0.167273002466605 -0.167273002466604
29184 28.5 -0.169106635042963 -0.169106635042963 -0.169106635042962
29696 29 -0.170928346162937 -0.170928346162937 -0.170928346162936
30208 29.5 -0.172737365084631 -0.172737365084631 -0.17273736508463
30720 30 -0.174530229458589 -0.174530229458589 -0.174530229458589
31232 30.5 -0.176302036911239 -0.176302036911239 -0.176302036911239
31744 31 -0.17804957397566 -0.17804957397566 -0.178049573975658
32256 31.5 -0.179772981484274 -0.179772981484275 -0.179772981484272
32768 32 -0.181474797075858 -0.181474797075859 -0.181474797075857
33280 32.5 -0.183158449698833 -0.183158449698832 -0.183158449698832
33792 33 -0.18482757775564 -0.184827577755639 -0.184827577755639
34304 33.5 -0.186485128528548 -0.186485128528548 -0.186485128528547
34816 34 -0.188131783827381 -0.188131783827383 -0.188131783827382
35328 34.5 -0.189765132007157 -0.189765132007157 -0.189765132007156
35840 35 -0.191380279352984 -0.191380279352983 -0.191380279352982
36352 35.5 -0.192971271910407 -0.192971271910407 -0.192971271910406
36864 36 -0.194533232644832 -0.194533232644833 -0.194533232644832
37376 36.5 -0.196065009563824 -0.196065009563826 -0.196065009563824
37888 37 -0.197570119603855 -0.197570119603855 -0.197570119603854
38400 37.5 -0.199053493048682 -0.199053493048682 -0.199053493048681
38912 38 -0.200515778254794 -0.200515778254795 -0.200515778254794
39424 38.5 -0.201950808688403 -0.201950808688404 -0.201950808688403
39936 39 -0.203349938679008 -0.203349938679009 -0.203349938679009
40448 39.5 -0.204709675127725 -0.204709675127726 -0.204709675127726
40960 40 -0.206034114017119 -0.206034114017119 -0.206034114017118
41472 40.5 -0.207328796709223 -0.207328796709221 -0.207328796709221
41984 41 -0.208593003510531 -0.208593003510531 -0.208593003510531
42496 41.5 -0.209820335464522 -0.209820335464524 -0.209820335464523
43008 42 -0.211004528710669 -0.211004528710669 -0.211004528710669
43520 42.5 -0.212145449059593 -0.212145449059593 -0.212145449059594
44032 43 -0.213246502641846 -0.213246502641846 -0.213246502641848
44544 43.5 -0.214307311833662 -0.214307311833663 -0.214307311833664
45056 44 -0.215322383247086 -0.215322383247087 -0.215322383247086
45568 44.5 -0.216287021154384 -0.216287021154385 -0.216287021154384
46080 45 -0.217202106198085 -0.217202106198085 -0.217202106198085
46592 45.5 -0.218067848184022 -0.218067848184021 -0.218067848184021
47104 46 -0.218866327089076 -0.218866327089074 -0.218866327089076
47616 46.5 -0.2195910642101 -0.2195910642101 -0.219591064210102
48128 47 -0.22023942922631 -0.220239429226311 -0.220239429226312
48640 47.5 -0.220813874256395 -0.220813874256396 -0.220813874256396
49152 48 -0.221318909912596 -0.221318909912595 -0.221318909912596
49664 48.5 -0.221755402460311 -0.22175540246031 -0.221755402460311
50176 49 -0.222122920384235 -0.222122920384235 -0.222122920384237
50688 49.5 -0.222434316038941 -0.222434316038941 -0.222434316038943
51200 50 -0.222690952764986 -0.222690952764985 -0.222690952764987
51712 50.5 -0.222898221215876 -0.222898221215877 -0.222898221215876
52224 51 -0.223052963553097 -0.223052963553099 -0.223052963553098
52736 51.5 -0.22314934959367 -0.22314934959367 -0.223149349593671
53248 52 -0.223164802660005 -0.223164802660001 -0.223164802660004
53760 52.5 -0.223053676887619 -0.223053676887617 -0.223053676887619
54272 53 -0.222826785476675 -0.222826785476675 -0.222826785476677
54784 53.5 -0.222492512190854 -0.222492512190853 -0.222492512190856
55296 54 -0.222051529460221 -0.22205152946022 -0.222051529460221
55808 54.5 -0.2215098788369 -0.221509878836899 -0.221509878836898
56320 55 -0.220873669253321 -0.220873669253319 -0.22087366925332
56832 55.5 -0.220150199012609 -0.220150199012608 -0.22015019901261
57344 56 -0.219357596559966 -0.219357596559966 -0.219357596559968
57856 56.5 -0.218645521881474 -0.218645521881473 -0.218645521881475
58368 57 -0.217865473671244 -0.217865473671242 -0.217865473671243
58880 57.5 -0.217018690432508 -0.217018690432506 -0.217018690432505
59392 58 -0.216110630388595 -0.216110630388594 -0.216110630388594
59904 58.5 -0.215146174645091 -0.21514617464509 -0.215146174645092
60416 59 -0.214128632289387 -0.214128632289384 -0.214128632289386
60928 59.5 -0.213060167237852 -0.213060167237848 -0.213060167237848
