# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:36:20+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.90741394947796e-05 1.907413949478e-05 1.90741394947804e-05
1024 1 3.15853494752131e-05 3.15853494752182e-05 3.1585349475223e-05
1536 1.5 4.14860995803221e-05 4.14860995803123e-05 4.14860995803023e-05
2048 2 2.20730770722684e-05 2.20730770722658e-05 2.20730770722648e-05
2560 2.5 2.78416091890911e-05 2.7841609189091e-05 2.78416091891021e-05
3072 3 4.0925368002505e-05 4.09253680025103e-05 4.09253680025128e-05
3584 3.5 4.45472275700777e-05 4.4547227570059e-05 4.4547227570068e-05
4096 4 2.65665676268596e-05 2.65665676268595e-05 2.65665676268124e-05
4608 4.5 4.30940377052492e-05 4.30940377052599e-05 4.30940377051834e-05
5120 5 4.4092321519735e-05 4.4092321519758e-05 4.4092321519679e-05
5632 5.5 3.50130279714543e-05 3.5013027971314e-05 3.50130279712705e-05
6144 6 4.05719696820242e-05 4.05719696823901e-05 4.05719696822092e-05
6656 6.5 3.23237157953596e-05 3.23237157952924e-05 3.23237157957725e-05
7168 7 3.23908555798118e-05 3.23908555800746e-05 3.23908555797449e-05
7680 7.5 3.11192682400109e-05 3.11192682400453e-05 3.11192682394772e-05
8192 8 2.98781536297974e-05 2.98781536295777e-05 2.98781536291811e-05
8704 8.5 3.83368363534102e-05 3.83368363542842e-05 3.83368363523114e-05
9216 9 2.67649008416482e-05 2.67649008407066e-05 2.67649008411524e-05
9728 9.5 3.07452330203242e-05 3.07452330211567e-05 3.07452330208839e-05
10240 10 2.33165973041462e-05 2.33165973051365e-05 2.33165973047462e-05
10752 10.5 2.64433172194172e-05 2.644331721841e-05 2.6443317219972e-05
11264 11 3.69722903938284e-05 3.69722903933951e-05 3.69722903926116e-05
11776 11.5 3.58356730920006e-05 3.58356730925266e-05 3.58356730904155e-05
12288 12 3.88965747876295e-05 3.88965747864019e-05 3.88965747865895e-05
12800 12.5 3.92324760825375e-05 3.92324760817895e-05 3.9232476082638e-05
13312 13 4.10413152517322e-05 4.10413152518185e-05 4.10413152509012e-05
13824 13.5 3.56524516274163e-05 3.56524516261029e-05 3.56524516263054e-05
14336 14 2.23101749736449e-05 2.23101749719396e-05 2.23101749724833e-05
14848 14.5 2.4744077983555e-05 2.47440779850477e-05 2.4744077985995e-05
15360 15 2.44284913689611e-05 2.44284913685444e-05 2.44284913685219e-05
