# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.966875255744351
512 0.25 0.966879741942364
1024 0.5 0.966884141513851
1536 0.75 0.966888194706764
2048 1 0.966891919746971
2560 1.25 0.966895537757615
3072 1.5 0.966899267429123
3584 1.75 0.966903197862362
4096 2 0.966907292985551
4608 2.25 0.966911468748868
5120 2.5 0.966915662729128
5632 2.75 0.966919857150398
6144 3 0.966924064392413
6656 3.25 0.966928303262434
7168 3.5 0.966932585276905
7680 3.75 0.96693691311752
8192 4 0.96694128440886
8704 4.25 0.966945695073819
9216 4.5 0.966950141093017
9728 4.75 0.966954619748922
10240 5 0.966959130753756
10752 5.25 0.96696367649717
11264 5.5 0.966968260804104
11776 5.75 0.966972886762789
12288 6 0.96697755502245
12800 6.25 0.966982263663507
13312 6.5 0.966987009618373
13824 6.75 0.966991790594501
14336 7 0.966996606245825
14848 7.25 0.967001457992582
15360 7.5 0.967006347837618
15872 7.75 0.967011277085345
16384 8 0.967016245734973
16896 8.25 0.967021252728679
17408 8.5 0.967026296690258
17920 8.75 0.96703137662967
18432 9 0.967036492282816
18944 9.25 0.967041644044203
19456 9.5 0.967046832626899
19968 9.75 0.967052058629781
20480 10 0.967057322185203
20992 10.25 0.967062622834341
21504 10.5 0.967067959697408
22016 10.75 0.967073331859825
22528 11 0.967078738759201
23040 11.25 0.967084180342841
23552 11.5 0.967089656905587
24064 11.75 0.96709516872222
24576 12 0.967100715711672
25088 12.25 0.967106297330033
25600 12.5 0.96711191272725
26112 12.75 0.967117561040182
26624 13 0.967123241635709
27136 13.25 0.967128954179313
27648 13.5 0.967134698524219
28160 13.75 0.967140474511091
28672 14 0.967146281793038
29184 14.25 0.967152119762753
29696 14.5 0.967157987594471
30208 14.75 0.967163884357885
30720 15 0.967169809133387
31232 15.25 0.967175761064949
31744 15.5 0.967181739325973
32256 15.75 0.967187743028173
32768 16 0.967193771142961
33280 16.25 0.967199822499194
33792 16.5 0.967205895867671
34304 16.75 0.967211990076874
34816 17 0.967218104077342
35328 17.25 0.967224236909207
35840 17.5 0.967230387602316
36352 17.75 0.967236555090156
