# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.25 1.22431137188719e-07 1.22431137188718e-07 1.22431137188716e-07
1024 0.5 5.40601079253419e-07 5.40601079253414e-07 5.40601079253406e-07
1536 0.75 1.28136912918579e-06 1.28136912918578e-06 1.28136912918577e-06
2048 1 2.60140199946986e-06 2.60140199946986e-06 2.60140199946986e-06
2560 1.25 4.35449366002932e-06 4.35449366002933e-06 4.35449366002934e-06
3072 1.5 6.43017640340672e-06 6.43017640340672e-06 6.43017640340669e-06
3584 1.75 8.66663487844427e-06 8.66663487844426e-06 8.6666348784441e-06
4096 2 1.08609498790811e-05 1.08609498790811e-05 1.08609498790808e-05
4608 2.25 1.27827287732969e-05 1.27827287732969e-05 1.27827287732963e-05
5120 2.5 1.41878072880352e-05 1.41878072880353e-05 1.41878072880345e-05
5632 2.75 1.48290174806578e-05 1.48290174806577e-05 1.48290174806568e-05
6144 3 1.44647587084885e-05 1.44647587084884e-05 1.44647587084886e-05
6656 3.25 1.28690976212137e-05 1.28690976212177e-05 1.28690976212227e-05
7168 3.5 9.84607545114502e-06 9.8460754511479e-06 9.84607545118048e-06
7680 3.75 9.51463189969634e-06 9.51462523811785e-06 9.51463889158342e-06
8192 4 1.1489680444002e-05 1.14896731782914e-05 1.14896856844551e-05
8704 4.25 1.34944421577498e-05 1.34944390226374e-05 1.34944418315268e-05
9216 4.5 1.55309241450369e-05 1.55309197463081e-05 1.55309205648838e-05
9728 4.75 1.75686900244005e-05 1.75686903132723e-05 1.75686879793928e-05
10240 5 1.95192380244099e-05 1.95192522239315e-05 1.95192524280563e-05
10752 5.25 2.24077345177867e-05 2.24077691186793e-05 2.24077739559819e-05
11264 5.5 2.49318239705821e-05 2.49318563025345e-05 2.4931877340184e-05
11776 5.75 2.68832996612123e-05 2.68832936500621e-05 2.68833149524441e-05
12288 6 2.91908698188413e-05 2.91908522930998e-05 2.91908515663924e-05
12800 6.25 3.16331497416453e-05 3.16331588448958e-05 3.16331281931375e-05
13312 6.5 3.39043030149493e-05 3.39043063801201e-05 3.39042853662086e-05
13824 6.75 3.59870231955755e-05 3.59870353214392e-05 3.59870135332199e-05
14336 7 3.84549981593767e-05 3.84549726991577e-05 3.84549814638177e-05
14848 7.25 3.99792408728464e-05 3.99792423003483e-05 3.99792521006241e-05
15360 7.5 4.15109368259846e-05 4.15109210437317e-05 4.15109264164067e-05
