# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.25 -1.30080983681535e-07 -1.30080983681535e-07 -1.30080983681535e-07
1024 0.5 -5.93265616187658e-07 -5.93265616187706e-07 -5.93265616187709e-07
1536 0.75 -8.63165726932157e-07 -8.63165726932164e-07 -8.63165726932168e-07
2048 1 -8.3209585939108e-07 -8.32095859391028e-07 -8.32095859391032e-07
2560 1.25 -9.13105970705924e-07 -9.13105970705896e-07 -9.13105970705336e-07
3072 1.5 -1.30858227225851e-06 -1.30858227225716e-06 -1.30858227225741e-06
3584 1.75 -1.2521315331296e-06 -1.25213153312609e-06 -1.25213153313151e-06
4096 2 -1.56991913882457e-06 -1.56991912358655e-06 -1.56991912382948e-06
4608 2.25 -8.84880157961657e-07 -8.84880157881265e-07 -8.84880154901936e-07
5120 2.5 -7.49249199002561e-07 -7.49249188247284e-07 -7.49249199559481e-07
5632 2.75 -1.14390960994059e-06 -1.1439095642163e-06 -1.14390964815985e-06
6144 3 -8.00407226809337e-07 -8.0040743125511e-07 -8.00407302730144e-07
6656 3.25 -7.3899198557355e-07 -7.38992229452027e-07 -7.38992023509059e-07
7168 3.5 -1.01017473850129e-06 -1.01017415680663e-06 -1.01017500304613e-06
7680 3.75 -9.44480929518227e-07 -9.44480641212099e-07 -9.44481218323643e-07
8192 4 -4.78990923051931e-06 -4.78990928643201e-06 -4.7899092311609e-06
8704 4.25 -1.20806500924836e-05 -1.20806501416351e-05 -1.2080650091189e-05
9216 4.5 -2.19152979473532e-05 -2.19152980274626e-05 -2.19152979457775e-05
9728 4.75 -3.38750534915863e-05 -3.38750536093465e-05 -3.38750535201109e-05
10240 5 -4.79414518541665e-05 -4.7941451628121e-05 -4.79414519640937e-05
10752 5.25 -6.4219730480771e-05 -6.42197289487349e-05 -6.42197306168434e-05
11264 5.5 -8.26863326587027e-05 -8.26863287434323e-05 -8.2686332306316e-05
11776 5.75 -0.000103050757382895 -0.000103050751378234 -0.000103050755230227
12288 6 -0.000124819762668194 -0.000124819757652995 -0.00012481975704539
12800 6.25 -0.000148096522459518 -0.000148096516533054 -0.000148096519249594
13312 6.5 -0.000173145979209603 -0.00017314597551281 -0.00017314597201061
13824 6.75 -0.000198813813050805 -0.00019881381541947 -0.000198813802133292
14336 7 -0.000224970554425938 -0.000224970562431942 -0.000224970543702438
14848 7.25 -0.000251860328636668 -0.00025186033585147 -0.000251860324977019
15360 7.5 -0.000280615528131767 -0.00028061551807353 -0.000280615542723768
15872 7.75 -0.000309481242640901 -0.000309481241025288 -0.000309481245646966
16384 8 -0.000338342618996385 -0.000338342623650661 -0.000338342610395853
16896 8.25 -0.000367521300992191 -0.000367521302927042 -0.000367521295351023
17408 8.5 -0.000397243406784448 -0.000397243405435784 -0.000397243417411029
17920 8.75 -0.000427344086470809 -0.000427344091180202 -0.000427344107885443
18432 9 -0.000457389675239715 -0.000457389690833676 -0.000457389689651226
18944 9.25 -0.00048699774292328 -0.000486997760883791 -0.000486997741266054
19456 9.5 -0.000516049927199137 -0.000516049933253096 -0.000516049913634939
19968 9.75 -0.000544674474361199 -0.000544674462177123 -0.000544674455587365
20480 10 -0.0005730328092687 -0.000573032787290605 -0.000573032792971606
20992 10.25 -0.000601106192941504 -0.000601106178536957 -0.000601106190077664
21504 10.5 -0.000628738677257783 -0.000628738681617594 -0.000628738690566839
