# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 2.72525787353516 0 0.406145334243774 0 2.37201237678528 0 0 0 0 0 0 0 0 0 33.6335553702078 134120.270030121 0 134120.270030121 160 645395 2531 642864 0 0 0 0 2.7239408493042 1718182507.02138 266
512 0.25 882.080592852782 882.080592852782 3.81190085411072 1.02031493186951 1.42742276191711 0 2.38732814788818 3 503005.477984751 503005.477984751 513224 513224 362366.548260304 362366.548260304 369728 369728 76.3269751128512 276878.199116788 7274.54785883251 269603.651257956 186 660410 17546 642864 0 0 0 0 3.80469179153442 1718182508.10802 905
1024 0.5 697.059207237102 697.059207237102 5.37386298179626 2.58227705955505 2.93683862686157 0 2.46801233291626 6 397497.238416727 397497.238416727 1026448 1026448 286358.118414844 286358.118414844 739456 739456 100.122101572735 275035.823356785 7699.96408201791 267335.859274767 284 679398 18966 660432 0 0 0 0 5.35846877098083 1718182509.66999 1544
1536 0.75 633.391681893279 633.391681893279 7.05435109138489 4.26276516914368 4.57327675819397 0 2.48492312431335 9 361190.902831107 361190.902831107 1539672 1539672 260202.933070042 260202.933070042 1109184 1109184 123.333668768582 274326.323437737 8138.40993390593 266187.913503831 310 680829 20397 660432 0 0 0 0 7.03188824653625 1718182511.35047 2183
2048 1 595.850398343275 594.252146173364 8.83337092399597 6.04178500175476 6.26852798461914 0 2.62684082984924 12 339783.027599255 339783.027599255 2052896 2052896 244780.640087403 244780.640087403 1478912 1478912 159.853842785249 387203.046530909 8438.33346195401 378764.713068955 492 1325131 21835 1303296 0 0 0 0 8.80315065383911 1718182513.12949 2822
2560 1.25 578.470628139611 590.18715895569 10.5707190036774 7.77913308143616 7.9302716255188 0 2.64429020881653 15 329872.232951471 329872.232951471 2566120 2566120 237640.876000891 237640.876000891 1848640 1848640 194.663981661494 502305.030189604 8715.94722559849 493589.082964005 518 1326515 23219 1303296 0 0 0 0 10.5332307815552 1718182514.86684 3461
3072 1.5 555.399050660048 583.496466754257 12.5143249034882 9.72273898124695 9.81370377540588 0 2.73426938056946 18 316715.691528836 316715.691528836 3079344 3079344 228162.866891598 228162.866891598 2218368 2218368 213.284267833978 494849.494474993 9059.02710513589 485790.467369857 616 1345529 24665 1320864 0 0 0 0 12.4684808254242 1718182516.81045 4100
3584 1.75 540.826617460883 576.345858027396 14.4404208660126 11.6488349437714 11.6928131580353 0 2.75145483016968 21 308405.777688605 308405.777688605 3592568 3592568 222176.381800641 222176.381800641 2588096 2588096 232.201998177417 490155.853068064 9423.47043387096 480732.382634193 642 1346959 26095 1320864 0 0 0 0 14.3868498802185 1718182518.73654 4739
4096 2 526.189013108696 569.117955367005 16.4748818874359 13.6832959651947 13.6232552528381 0 2.9181272983551 24 300058.700070775 300058.700070775 4105792 4105792 216163.123820724 216163.123820724 2957824 2957824 260.202366957012 581860.535270964 9589.26377956805 572271.271491396 824 1991266 27538 1963728 0 0 0 0 16.4136190414429 1718182520.771 5378
4608 2.25 519.57084992938 562.729839357135 18.3813750743866 15.5897891521454 15.4497663974762 0 2.93557357788086 27 296284.699871284 296284.699871284 4619016 4619016 213444.323558544 213444.323558544 3327552 3327552 288.578761095629 679642.551099222 9795.98683350388 669846.564265718 850 1992651 28923 1963728 0 0 0 0 18.313001871109 1718182522.6775 6017
