# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000180223997873706
512 0.25 0.000180011326857265
1024 0.5 0.000179788034978546
1536 0.75 0.000179557275225059
2048 1 0.000179323676782462
2560 1.25 0.000179092626657964
3072 1.5 0.000178868883340377
3584 1.75 0.000178656427071903
4096 2 0.00017845815000628
4608 2.25 0.00017827529751311
5120 2.5 0.000178107668152189
5632 2.75 0.000177950537372486
6144 3 0.000177797913083014
6656 3.25 0.000177648441579711
7168 3.5 0.000177500853501833
7680 3.75 0.000177353913824903
8192 4 0.000177206466623323
8704 4.25 0.000177057464719322
9216 4.5 0.000176905956816536
9728 4.75 0.000176751040719647
10240 5 0.00017659182408072
10752 5.25 0.000176427420107068
11264 5.5 0.000176256981521815
11776 5.75 0.000176079751423707
12288 6 0.00017589508675085
12800 6.25 0.00017570243726746
13312 6.5 0.000175501300099706
13824 6.75 0.00017529118973779
14336 7 0.000175071656078479
14848 7.25 0.000174842338513959
15360 7.5 0.000174603000534673
15872 7.75 0.000174353541099205
16384 8 0.000174093921509156
16896 8.25 0.00017382406943325
17408 8.5 0.000173543837645209
17920 8.75 0.00017325305660221
18432 9 0.000172951121612617
18944 9.25 0.000172633834216946
19456 9.5 0.000172300113828529
19968 9.75 0.000171950063801377
20480 10 0.000171583727070255
20992 10.25 0.000171200798111161
21504 10.5 0.000170801112024312
22016 10.75 0.000170384899812909
22528 11 0.00016995285178038
23040 11.25 0.00016950597483252
23552 11.5 0.000169045337689275
24064 11.75 0.000168571933139534
24576 12 0.000168086729889273
25088 12.25 0.000167590760651327
25600 12.5 0.000167085122486369
26112 12.75 0.000166570949645644
26624 13 0.00016604941777827
27136 13.25 0.000165521689294583
27648 13.5 0.000164988758076528
28160 13.75 0.000164451363547819
28672 14 0.000163910102075397
29184 14.25 0.000163365563222334
29696 14.5 0.00016281827696617
30208 14.75 0.000162268591345087
30720 15 0.000161716729346608
31232 15.25 0.000161162941738614
31744 15.5 0.000160607464570379
32256 15.75 0.000160050307653462
32768 16 0.000159491202570149
33280 16.25 0.000158929792883874
33792 16.5 0.000158365788250422
34304 16.75 0.000157798931899543
34816 17 0.000157228953039763
35328 17.25 0.000156655610441724
35840 17.5 0.000156078685657977
36352 17.75 0.000155497874115138
36864 18 0.000154912762826261
37376 18.25 0.000154322979827894
37888 18.5 0.000153728327495598
38400 18.75 0.000153128751089221
38912 19 0.000152524233458135
39424 19.25 0.000151914819761642
39936 19.5 0.000151300588252971
40448 19.75 0.000150681557436374
40960 20 0.000150057716852777
41472 20.25 0.000149429231270824
41984 20.5 0.000148796583380697
42496 20.75 0.000148160454878087
43008 21 0.000147521471851049
43520 21.25 0.000146880086240673
44032 21.5 0.000146236682299849
44544 21.75 0.000145591774674701
45056 22 0.000144946112542558
45568 22.25 0.000144300594845934
46080 22.5 0.000143656061024207
46592 22.75 0.000143013144546463
47104 23 0.000142372313546353
47616 23.25 0.000141734011623642
48128 23.5 0.000141098723346185
48640 23.75 0.00014046692362015
49152 24 0.000139838998971798
49664 24.25 0.000139215195897622
50176 24.5 0.000138595598835113
50688 24.75 0.00013798017097239
51200 25 0.000137368873149309
51712 25.25 0.000136761758623155
52224 25.5 0.000136158917916394
52736 25.75 0.0001355603167137
53248 26 0.000134965712493098
53760 26.25 0.000134374699148572
54272 26.5 0.000133786862229594
54784 26.75 0.000133201891743375
55296 27 0.000132619548832448
55808 27.25 0.000132039537649682
56320 27.5 0.000131461446990227
56832 27.75 0.000130884870919673
57344 28 0.000130309598879842
57856 28.25 0.000129735640430571
58368 28.5 0.000129163029981555
58880 28.75 0.000128591640515851
59392 29 0.000128021231725285
59904 29.25 0.000127451660939504
60416 29.5 0.00012688300291309
60928 29.75 0.000126315480730995
61440 30 0.000125749303374394
61952 30.25 0.000125184615054011
62464 30.5 0.000124621561082912
62976 30.75 0.000124060364336497
63488 31 0.000123501350565141
64000 31.25 0.000122944909404216
64512 31.5 0.000122391403621265
65024 31.75 0.000121841061877901
65536 32 0.000121294005325048
66048 32.25 0.000120750382564747
66560 32.5 0.000120210453634592
67072 32.75 0.000119674516110623
67584 33 0.000119142761886264
68096 33.25 0.000118615217629401
68608 33.5 0.000118091826963099
69120 33.75 0.000117572563382753
69632 34 0.000117057438553724
70144 34.25 0.000116546397601139
70656 34.5 0.000116039222374677
71168 34.75 0.000115535566331873
71680 35 0.000115035111204277
72192 35.25 0.000114537685671792
72704 35.5 0.000114043196787876
73216 35.75 0.000113551430846643
73728 36 0.000113061955759652
74240 36.25 0.000112574253910786
74752 36.5 0.00011208793225835
75264 36.75 0.000111602764247655
75776 37 0.000111118544674502
76288 37.25 0.00011063497243239
76800 37.5 0.00011015170810372
77312 37.75 0.000109668510614347
77824 38 0.000109185273188836
78336 38.25 0.00010870193125193
78848 38.5 0.000108218370817804
79360 38.75 0.000107734427157052
79872 39 0.000107249956083064
80384 39.25 0.000106764922995895
80896 39.5 0.000106279466580492
81408 39.75 0.000105793871565604
81920 40 0.000105308450882386
82432 40.25 0.000104823475762129
82944 40.5 0.000104339167892591
83456 40.75 0.000103855765375685
83968 41 0.000103373585357513
84480 41.25 0.000102892999498719
84992 41.5 0.000102414355984835
85504 41.75 0.000101937959115319
86016 42 0.000101464130922907
86528 42.25 0.000100993241091956
87040 42.5 0.000100525609212801
87552 42.75 0.000100061423090033
88064 43 9.96008095891783e-05
