# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.25 0.00127924454573522
1024 0.5 0.00127845089136155
1536 0.75 0.00127763017563079
2048 1 0.00127679882654901
2560 1.25 0.00127597601380264
3072 1.5 0.00127517871596094
3584 1.75 0.00127442117724766
4096 2 0.00127371378976555
4608 2.25 0.00127306108370591
5120 2.5 0.0012724624236359
5632 2.75 0.00127190100162383
6144 3 0.00127135544376505
6656 3.25 0.00127082092859019
7168 3.5 0.00127029292792802
7680 3.75 0.00126976702882817
8192 4 0.00126923909425839
8704 4.25 0.00126870536990674
9216 4.5 0.00126816243875121
9728 4.75 0.0012676070538246
10240 5 0.00126703599748217
10752 5.25 0.00126644606570394
11264 5.5 0.00126583418963657
11776 5.75 0.00126519761813829
12288 6 0.00126453400238568
12800 6.25 0.00126384132083487
13312 6.5 0.0012631177160276
13824 6.75 0.00126236138658609
14336 7 0.00126157065192733
14848 7.25 0.00126074414718941
15360 7.5 0.0012598809486855
15872 7.75 0.0012589806161379
16384 8 0.00125804292999866
16896 8.25 0.00125706754513413
17408 8.5 0.00125605384093202
17920 8.75 0.00125500111047473
18432 9 0.00125390706344253
18944 9.25 0.00125275635814844
19456 9.5 0.00125154491376396
19968 9.75 0.00125027292948153
20480 10 0.00124894037658931
20992 10.25 0.00124754594781902
21504 10.5 0.00124608883392766
22016 10.75 0.00124456965842126
22528 11 0.00124299071809736
23040 11.25 0.00124135547188078
23552 11.5 0.00123966761560316
24064 11.75 0.00123793057941482
24576 12 0.00123614771803841
25088 12.25 0.00123432263592528
25600 12.5 0.00123245919160311
26112 12.75 0.00123056140050586
26624 13 0.00122863345291451
27136 13.25 0.00122667951395251
27648 13.5 0.00122470314798963
28160 13.75 0.00122270699510932
28672 14 0.00122069317891478
29184 14.25 0.00121866381083521
29696 14.5 0.00121662079311424
30208 14.75 0.00121456535938914
30720 15 0.00121249828246029
31232 15.25 0.00121042044437841
31744 15.5 0.00120833267758954
32256 15.75 0.00120623496751241
32768 16 0.00120412624893115
33280 16.25 0.00120200511602252
33792 16.5 0.00119987040304141
34304 16.75 0.00119772106291127
34816 17 0.00119555598720566
35328 17.25 0.00119337417145947
35840 17.5 0.00119117469010437
36352 17.75 0.00118895628069763
36864 18 0.0011867172552361
37376 18.25 0.00118445606936416
37888 18.5 0.00118217183605429
38400 18.75 0.00117986421055838
38912 19 0.00117753298914659
39424 19.25 0.00117517820606703
39936 19.5 0.00117280002268453
40448 19.75 0.00117039836821942
40960 20 0.00116797305717982
41472 20.25 0.00116552458447151
41984 20.5 0.00116305469026688
42496 20.75 0.00116056590772107
43008 21 0.00115806057248962
43520 21.25 0.00115554035467345
44032 21.5 0.00115300667150892
44544 21.75 0.00115046146739116
45056 22 0.00114790763226188
45568 22.25 0.00114534867595353
46080 22.5 0.00114278790295013
46592 22.75 0.00114022782630356
47104 23 0.00113767032110023
47616 23.25 0.00113511718107003
48128 23.5 0.00113257038049894
48640 23.75 0.00113003187251974
49152 24 0.0011275032713994
49664 24.25 0.00112498563989874
50176 24.5 0.00112247939375746
50688 24.75 0.00111998446000741
51200 25 0.00111750075513218
51712 25.25 0.00111502857127338
52224 25.5 0.0011125683550661
52736 25.75 0.00111012004557124
53248 26 0.00110768272653523
53760 26.25 0.00110525480052245
54272 26.5 0.00110283462136769
54784 26.75 0.00110042095971321
55296 27 0.00109801286973932
