# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.25 -0.00267337284366016 -0.00267337284366016 -0.00267337284366016
1024 0.5 -0.00531412993830863 -0.00531412993830863 -0.00531412993830863
1536 0.75 -0.00795414444735142 -0.00795414444735147 -0.00795414444735151
2048 1 -0.0106307309473015 -0.0106307309473092 -0.0106307309442982
2560 1.25 -0.0133268134525086 -0.0133268134058493 -0.0133268130823616
3072 1.5 -0.0160193077691848 -0.0160198890642362 -0.0160193358726062
3584 1.75 -0.0187073376280678 -0.0187065341304048 -0.0187076877551814
4096 2 -0.021222340142892 -0.0212219552888403 -0.0212226775904396
4608 2.25 -0.023917331001709 -0.0239137161821671 -0.0239137955070014
5120 2.5 -0.0266043483042251 -0.0266043570410036 -0.0265941417006395
5632 2.75 -0.0281063880061641 -0.0281023091531754 -0.0281143021840893
6144 3 -0.0307982336024477 -0.0308117015163695 -0.0308162656277744
6656 3.25 -0.0335057764365788 -0.0334884258921084 -0.0335183493311206
7168 3.5 -0.036172037780948 -0.0361750239037826 -0.0361840691280756
7680 3.75 -0.0388687623713639 -0.0388643518877793 -0.038892648225101
8192 4 -0.0415302473407242 -0.0415430872029273 -0.0415748721893678
8704 4.25 -0.0441369794804155 -0.0442332960648418 -0.0442273329027926
9216 4.5 -0.0457916015964226 -0.0457805597401155 -0.0458097910785027
9728 4.75 -0.0484214496268203 -0.0484442377366587 -0.0484460825056008
10240 5 -0.0511113841739959 -0.0510920096551799 -0.0510660084806758
10752 5.25 -0.0537999526989125 -0.053697714497974 -0.0537122145014529
11264 5.5 -0.0564342105556114 -0.0563233428820115 -0.0563428900963444
11776 5.75 -0.0576218590797632 -0.057595075343012 -0.0576188885755228
12288 6 -0.0603441745688449 -0.0602524652935751 -0.0602557036993054
12800 6.25 -0.0630069146863301 -0.0628370501718228 -0.0628365036356325
13312 6.5 -0.0655571749369305 -0.0655779746093148 -0.0654520012013204
13824 6.75 -0.0681673348293652 -0.0682659891920444 -0.0681485068043199
14336 7 -0.0708757130998841 -0.0709172529447884 -0.0707800848255243
14848 7.25 -0.0671554691966723 -0.0671082508611781 -0.0670529432561977
15360 7.5 -0.0697035651702152 -0.0695417712509257 -0.0694526172612266
15872 7.75 -0.0690653424067375 -0.0690721022368479 -0.0690847972601949
16384 8 -0.0718511891577555 -0.0718529536136721 -0.0718699084485536
16896 8.25 -0.0746322641562014 -0.0746304244618331 -0.0746495279627964
17408 8.5 -0.0774134655890288 -0.0774137388087942 -0.0774223635274649
17920 8.75 -0.0801857724322559 -0.0801927242564824 -0.0801967832412998
18432 9 -0.0829587812983692 -0.0829627977358915 -0.0829667358963
18944 9.25 -0.0857239331044167 -0.0857236206963871 -0.0857357087107544
19456 9.5 -0.0884787609375252 -0.0884757285669708 -0.0884988842543235
19968 9.75 -0.0912187794554404 -0.0912306891065846 -0.0912502853170072
20480 10 -0.0939527727265918 -0.0939712660211645 -0.0939873221806015
20992 10.25 -0.0966849424005455 -0.0966952460040681 -0.0967063993966476
21504 10.5 -0.0993987602073703 -0.0994084261324309 -0.0994047307746099
22016 10.75 -0.102104176193256 -0.102110202714271 -0.102106394957682
22528 11 -0.10478984103241 -0.104788248894335 -0.104793069618611
23040 11.25 -0.107446961041645 -0.10747272741107 -0.107487205325833
23552 11.5 -0.110082579627311 -0.110129925235271 -0.110148191801107
24064 11.75 -0.112734986247481 -0.112769782741666 -0.112773736654829
24576 12 -0.115358517481599 -0.11540556263028 -0.115407354605925
25088 12.25 -0.117958590141872 -0.118027352083865 -0.118014481291458
25600 12.5 -0.120563288989442 -0.120619231571745 -0.120618067233821
26112 12.75 -0.123142311269682 -0.123155368495229 -0.123181471874794
26624 13 -0.1256754729545 -0.12565783854063 -0.125739670735712
27136 13.25 -0.128176936280472 -0.128225889811477 -0.128285578931499
27648 13.5 -0.130659191232451 -0.13074007254531 -0.130777646090971
28160 13.75 -0.13315503148848 -0.133191429715914 -0.133232001401988
28672 14 -0.127332821516313 -0.127459890537295 -0.127339785070928
29184 14.25 -0.129266913706262 -0.129429862952002 -0.129306293331113
