# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.25 1.00040112267774
1024 0.5 1.00036762048625
1536 0.75 1.00033683406016
2048 1 1.00030867449169
2560 1.25 1.00028299361023
3072 1.5 1.00025961890199
3584 1.75 1.00026824810187
4096 2 1.00035073246429
4608 2.25 1.00041011694049
5120 2.5 1.00051106066451
5632 2.75 1.00062161024479
6144 3 1.00074333804637
6656 3.25 1.00087537519752
7168 3.5 1.00101495908987
7680 3.75 1.00114973785123
8192 4 1.00131579024086
8704 4.25 1.00143131810456
9216 4.5 1.00160562530788
9728 4.75 1.0016528371745
10240 5 1.00184094062148
10752 5.25 1.00204222569965
11264 5.5 1.00216153386249
11776 5.75 1.00224693957355
12288 6 1.00246489393112
12800 6.25 1.00268791502734
13312 6.5 1.00291249185284
13824 6.75 1.00315701034969
14336 7 1.00340792774772
14848 7.25 1.00360489907122
15360 7.5 1.00392371412607
15872 7.75 1.00425682362239
16384 8 1.00460358283501
16896 8.25 1.00496332097184
17408 8.5 1.00533729267496
17920 8.75 1.00572478485445
18432 9 1.00612497794797
18944 9.25 1.00653784650958
19456 9.5 1.00696222884058
19968 9.75 1.00740060934645
20480 10 1.00785043999298
20992 10.25 1.00830287562137
21504 10.5 1.00876377552924
22016 10.75 1.00877245773064
22528 11 1.0092464358118
23040 11.25 1.00973679111636
23552 11.5 1.01023350169869
24064 11.75 1.01073423473705
24576 12 1.01124171375223
25088 12.25 1.01174934906167
25600 12.5 1.01227129432996
26112 12.75 1.01281086447106
26624 13 1.013353561429
27136 13.25 1.01388931442881
27648 13.5 1.01420616430223
28160 13.75 1.01475534744944
28672 14 1.01379812146339
29184 14.25 1.01423546351835
29696 14.5 1.01331096577766
30208 14.75 1.01377446716375
30720 15 1.01418606072587
31232 15.25 1.0147004452817
31744 15.5 1.01492043089184
32256 15.75 1.01542058476662
32768 16 1.01585841013044
33280 16.25 1.01625067744726
33792 16.5 1.01664090510777
34304 16.75 1.01685913902415
34816 17 1.01666441658797
35328 17.25 1.01710148518375
35840 17.5 1.01753260108114
36352 17.75 1.0179263414
36864 18 1.01827171294003
37376 18.25 1.01858381758662
37888 18.5 1.01302263116819
38400 18.75 1.01011379811287
38912 19 1.01020745432719
39424 19.25 1.01030782832528
39936 19.5 1.00809848028344
40448 19.75 1.00828027928732
