# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000828583928636745
512 0.25 -0.000802649610944397
1024 0.5 -0.000827344649493647
1536 0.75 -0.000854341025834526
2048 1 -0.000881792959303594
2560 1.25 -0.00090685915801434
3072 1.5 -0.000928004920471315
3584 1.75 -0.000946132017319449
4096 2 -0.000963082846556319
4608 2.25 -0.000980077470467281
5120 2.5 -0.000997540525382473
5632 2.75 -0.0010150067097851
6144 3 -0.00103168715023732
6656 3.25 -0.00104725411502065
7168 3.5 -0.0010633598056494
7680 3.75 -0.00108231821633172
8192 4 -0.0011052277589595
8704 4.25 -0.00113107488770436
9216 4.5 -0.00115749470284252
9728 4.75 -0.00118253292087672
10240 5 -0.00120601496070453
10752 5.25 -0.00122943953873297
11264 5.5 -0.00125451832810033
11776 5.75 -0.00128155741675457
12288 6 -0.00130899362553444
12800 6.25 -0.00133445767187498
13312 6.5 -0.001356494711689
13824 6.75 -0.00137554945846901
14336 7 -0.00139347906585419
14848 7.25 -0.00141198147662782
15360 7.5 -0.00143117546098832
15872 7.75 -0.00144940979981598
16384 8 -0.00146436581751642
16896 8.25 -0.00147472659562419
17408 8.5 -0.00148126075464128
17920 8.75 -0.00148646801054309
18432 9 -0.0014934149378069
18944 9.25 -0.00150248169286
19456 9.5 -0.00151178816138025
19968 9.75 -0.00151933637047435
20480 10 -0.00152472165923291
20992 10.25 -0.00152878740123644
21504 10.5 -0.00153361979957896
22016 10.75 -0.00154126825178587
22528 11 -0.0015521733344963
23040 11.25 -0.00156470393433038
23552 11.5 -0.00157671061637584
24064 11.75 -0.00158726453831642
24576 12 -0.00159634604889747
25088 12.25 -0.00160401659932791
25600 12.5 -0.00161160214075516
26112 12.75 -0.00162236848165019
26624 13 -0.00163793385783266
27136 13.25 -0.00165456810295239
27648 13.5 -0.00166673883328401
28160 13.75 -0.00167431834612358
28672 14 -0.00168222452059759
29184 14.25 -0.00169284937722215
29696 14.5 -0.00170387442467617
30208 14.75 -0.00171429591423764
30720 15 -0.00172668869713389
31232 15.25 -0.00174142398408515
31744 15.5 -0.00175430704904197
32256 15.75 -0.00176278092494736
32768 16 -0.00176961069214684
33280 16.25 -0.00177804065521949
33792 16.5 -0.00178823555075762
34304 16.75 -0.00180041433035943
34816 17 -0.00181571986399872
35328 17.25 -0.00183155560180971
35840 17.5 -0.00184205221627238
36352 17.75 -0.00184632201900954
36864 18 -0.00185106996677156
37376 18.25 -0.00186217837471351
37888 18.5 -0.00187833165563215
38400 18.75 -0.00189480113411373
38912 19 -0.00190855016644647
39424 19.25 -0.00191782473881664
39936 19.5 -0.00192254319904932
40448 19.75 -0.00192714043020038
40960 20 -0.00193774244009603
41472 20.25 -0.00195439194416421
41984 20.5 -0.00197050561753741
42496 20.75 -0.00198123222401201
43008 21 -0.00198791034237271
43520 21.25 -0.00199387625401691
44032 21.5 -0.00200105818312334
44544 21.75 -0.00201131272644072
45056 22 -0.00202557529986658
45568 22.25 -0.00204023472631379
46080 22.5 -0.00204922621416957
46592 22.75 -0.00205165083430393
47104 23 -0.00205374631402775
47616 23.25 -0.00206179541339669
48128 23.5 -0.00207565965030409
48640 23.75 -0.0020899751773018
49152 24 -0.00209953618311254
49664 24.25 -0.00210348972202596
50176 24.5 -0.00210619687187371
50688 24.75 -0.00211345638928697
51200 25 -0.00212612514664785
51712 25.25 -0.00213860737629787
52224 25.5 -0.00214551463044056
52736 25.75 -0.00214817254318635
53248 26 -0.00215218706921064
53760 26.25 -0.00216024052724056
54272 26.5 -0.00217017923016088
54784 26.75 -0.00217909320426066
55296 27 -0.00218622324206662
55808 27.25 -0.00219214901520923
56320 27.5 -0.00219779493546974
56832 27.75 -0.00220454996895074
57344 28 -0.00221331559850624
57856 28.25 -0.00222279302180713
58368 28.5 -0.00223014676381149
58880 28.75 -0.00223423843093918
59392 29 -0.00223746542860086
59904 29.25 -0.00224347629000064
60416 29.5 -0.00225308542327758
60928 29.75 -0.00226313681114068
61440 30 -0.00226991587576716
61952 30.25 -0.00227336137100999
62464 30.5 -0.0022770604501214
62976 30.75 -0.0022839299780217
63488 31 -0.00229283254303201
64000 31.25 -0.00230017879659967
64512 31.5 -0.00230433104035431
65024 31.75 -0.00230740685759974
65536 32 -0.0023125334493623
66048 32.25 -0.00232003369960696
66560 32.5 -0.00232714197887901
67072 32.75 -0.0023315868028743
67584 33 -0.00233454770107111
68096 33.25 -0.00233907703765689
68608 33.5 -0.00234599272716833
69120 33.75 -0.00235279525611633
69632 34 -0.00235699234658392
70144 34.25 -0.00235915114032775
70656 34.5 -0.00236186253533542
71168 34.75 -0.00236667404700223
71680 35 -0.00237294638640535
72192 35.25 -0.00237902926446983
72704 35.5 -0.00238366540165754
73216 35.75 -0.0023866862342292
73728 36 -0.00238917016603905
74240 36.25 -0.00239277181055735
74752 36.5 -0.00239823367670819
75264 36.75 -0.00240442163951556
75776 37 -0.00240919720810133
76288 37.25 -0.0024115973712932
76800 37.5 -0.00241316298942836
77312 37.75 -0.00241663189265754
77824 38 -0.00242285971585702
78336 38.25 -0.00242948846350001
78848 38.5 -0.00243354940633732
79360 38.75 -0.00243506461864449
79872 39 -0.00243679430975229
80384 39.25 -0.00244054360221736
80896 39.5 -0.00244542902076963
81408 39.75 -0.00245003920736583
81920 40 -0.00245421366043024
82432 40.25 -0.00245785430297317
82944 40.5 -0.0024601666429783
83456 40.75 -0.00246142896298416
83968 41 -0.00246349698641953
84480 41.25 -0.00246712610972111
84992 41.5 -0.00247090355214582
85504 41.75 -0.0024741247387519
86016 42 -0.0024779081164407
86528 42.25 -0.00248180126406979
87040 42.5 -0.00248290002960637
87552 42.75 -0.0024810249776176
88064 43 -0.00248101557923489
88576 43.25 -0.00248615983319932
89088 43.5 -0.00249259830975384
89600 43.75 -0.00249453501147835
90112 44 -0.00249246140157328
90624 44.25 -0.00249170881434961
91136 44.5 -0.00249448752595367
91648 44.75 -0.00249778996248752
92160 45 -0.00249879408622402
92672 45.25 -0.00249860882873878
93184 45.5 -0.00249971283657352
93696 45.75 -0.00250199395528823
94208 46 -0.00250323493501782
94720 46.25 -0.00250295212838746
95232 46.5 -0.00250331927545656
95744 46.75 -0.00250517447739687
96256 47 -0.00250591862706245
96768 47.25 -0.00250417588550499
97280 47.5 -0.00250352552045856
97792 47.75 -0.00250704517555419
98304 48 -0.00251089023244113
98816 48.25 -0.00250933914875105
99328 48.5 -0.00250428966136499
99840 48.75 -0.0025029613293386
100352 49 -0.0025070924475045
100864 49.25 -0.00251107154475821
101376 49.5 -0.0025106484128814
101888 49.75 -0.00250758690102326
102400 50 -0.002505352347312
102912 50.25 -0.00250500812169534
103424 50.5 -0.0025059900844635
103936 50.75 -0.0025075105753669
104448 51 -0.00250848880558178
104960 51.25 -0.00250788388338051
105472 51.5 -0.00250562205935401
105984 51.75 -0.0025030357301321
106496 52 -0.00250227289749176
107008 52.25 -0.00250410973551095
107520 52.5 -0.00250609240202033
108032 52.75 -0.00250500661695744
108544 53 -0.00250156839629052
109056 53.25 -0.00249955648087609
109568 53.5 -0.00250010769577811
110080 53.75 -0.00250065640682573
110592 54 -0.00249948047406018
111104 54.25 -0.00249748761236929
111616 54.5 -0.00249513051295867
112128 54.75 -0.00249206197552351
112640 55 -0.00248980714711175
113152 55.25 -0.00249013982220255
113664 55.5 -0.0024909636211757
114176 55.75 -0.00248850153484621
114688 56 -0.0024836252140835
115200 56.25 -0.00248138360585218
115712 56.5 -0.00248349156566186
116224 56.75 -0.00248538619761982
116736 57 -0.00248259190639879
117248 57.25 -0.00247719521983671
117760 57.5 -0.002475125938584
118272 57.75 -0.00247785055785502
118784 58 -0.00248013970667446
119296 58.25 -0.00247747859957256
119808 58.5 -0.00247248487736664
120320 58.75 -0.0024705231917237
120832 59 -0.00247150720278484
121344 59.25 -0.0024711836119888
121856 59.5 -0.00246895698056317
122368 59.75 -0.00246800442360954
122880 60 -0.0024679565716054
123392 60.25 -0.00246473872554148
123904 60.5 -0.00245886921065037
124416 60.75 -0.00245644652469986
124928 61 -0.00245915529827788
125440 61.25 -0.00246033508271201
125952 61.5 -0.0024550697991706
126464 61.75 -0.00244800263751586
126976 62 -0.0024458999083602
127488 62.25 -0.00244740551186265
128000 62.5 -0.00244632253029077
128512 62.75 -0.00244174824712173
129024 63 -0.00243829474730342
129536 63.25 -0.00243760102573875
130048 63.5 -0.00243614674754435
130560 63.75 -0.00243210323762417
131072 64 -0.00242861727239427
131584 64.25 -0.0024280444417444
132096 64.5 -0.00242747209277328
132608 64.75 -0.00242344991654459
133120 65 -0.00241803734507384
133632 65.25 -0.0024158194006309
134144 65.5 -0.00241648164907558
134656 65.75 -0.00241515022018003
135168 66 -0.00241015565178124
