# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 2.32760775847129e-06
512 0.25 7.26070067986162e-06
1024 0.5 1.07356451890617e-05
1536 0.75 1.34081168315952e-05
2048 1 1.55160780894717e-05
2560 1.25 1.70455625369046e-05
3072 1.5 1.79440283962594e-05
3584 1.75 1.82996850767107e-05
4096 2 1.82002127532185e-05
4608 2.25 1.79795482580338e-05
5120 2.5 1.78481340083806e-05
5632 2.75 1.79547689301464e-05
6144 3 1.84056381533247e-05
6656 3.25 1.89079110481646e-05
7168 3.5 1.92913772681531e-05
7680 3.75 1.94832530420733e-05
8192 4 1.94707167023523e-05
8704 4.25 1.93327892776296e-05
9216 4.5 1.91562683129035e-05
9728 4.75 1.90310038089604e-05
10240 5 1.90450890190045e-05
10752 5.25 1.93212489066818e-05
11264 5.5 1.96345517628463e-05
11776 5.75 1.9830908860624e-05
12288 6 1.9867831562369e-05
12800 6.25 1.98185670237852e-05
13312 6.5 1.97348669094118e-05
13824 6.75 1.96425115518643e-05
14336 7 1.95952557485451e-05
14848 7.25 1.96380315185455e-05
15360 7.5 1.98523000128553e-05
15872 7.75 2.00476005964211e-05
16384 8 2.01195475545254e-05
16896 8.25 2.00917691303915e-05
17408 8.5 2.00436753229791e-05
17920 8.75 2.0013425486404e-05
18432 9 1.99763146514198e-05
18944 9.25 1.99705453296147e-05
19456 9.5 2.00429924095097e-05
19968 9.75 2.01778664138965e-05
20480 10 2.02701223562029e-05
20992 10.25 2.02799783357858e-05
21504 10.5 2.02555486675951e-05
22016 10.75 2.02265581377361e-05
22528 11 2.02021408254582e-05
23040 11.25 2.01716096596078e-05
23552 11.5 2.01860043270937e-05
24064 11.75 2.0280289576389e-05
24576 12 2.03985832249675e-05
25088 12.25 2.04381355752453e-05
25600 12.5 2.03989445708828e-05
26112 12.75 2.03362618041716e-05
26624 13 2.03234578927865e-05
27136 13.25 2.03436138018901e-05
27648 13.5 2.03583917346154e-05
28160 13.75 2.03801930058121e-05
28672 14 2.04384881897488e-05
29184 14.25 2.05088131758525e-05
29696 14.5 2.05296183147127e-05
30208 14.75 2.05036010430054e-05
30720 15 2.04630138608436e-05
31232 15.25 2.04465135700423e-05
31744 15.5 2.04500281626074e-05
32256 15.75 2.04826365891272e-05
32768 16 2.05311776813388e-05
33280 16.25 2.05786076737055e-05
33792 16.5 2.06035422182413e-05
34304 16.75 2.05976879966999e-05
34816 17 2.05939191324376e-05
35328 17.25 2.05897892419877e-05
35840 17.5 2.05734841179958e-05
36352 17.75 2.05541336984355e-05
36864 18 2.0576058321274e-05
37376 18.25 2.06212281339633e-05
37888 18.5 2.06473367332358e-05
38400 18.75 2.06451456762849e-05
38912 19 2.06533981193706e-05
39424 19.25 2.06604027212528e-05
39936 19.5 2.06646612081116e-05
40448 19.75 2.06411961687797e-05
40960 20 2.06243806293998e-05
41472 20.25 2.06465544675162e-05
41984 20.5 2.06608801058369e-05
42496 20.75 2.06541622511607e-05
43008 21 2.06300552788669e-05
43520 21.25 2.06390854430677e-05
44032 21.5 2.06573759568269e-05
44544 21.75 2.06575860737169e-05
45056 22 2.06428228907282e-05
45568 22.25 2.06516081251101e-05
46080 22.5 2.06757604728076e-05
46592 22.75 2.06759214229421e-05
47104 23 2.06428814687923e-05
47616 23.25 2.06341615254901e-05
48128 23.5 2.0652905943447e-05
48640 23.75 2.06670457742105e-05
49152 24 2.06425049804501e-05
49664 24.25 2.05963073981308e-05
50176 24.5 2.05989627523799e-05
50688 24.75 2.06476536548124e-05
51200 25 2.06867894020391e-05
51712 25.25 2.06777172129461e-05
52224 25.5 2.06618109548351e-05
52736 25.75 2.06699735575013e-05
53248 26 2.0676437788204e-05
53760 26.25 2.06649413165242e-05
54272 26.5 2.06389681686229e-05
54784 26.75 2.06336061660852e-05
55296 27 2.06536719195483e-05
55808 27.25 2.06910720524531e-05
56320 27.5 2.07230882213011e-05
56832 27.75 2.0748655649407e-05
57344 28 2.07682923432995e-05
57856 28.25 2.07617936234383e-05
58368 28.5 2.07421557311182e-05
58880 28.75 2.07286382159298e-05
59392 29 2.0732126937903e-05
59904 29.25 2.07540586947118e-05
60416 29.5 2.07727354084647e-05
60928 29.75 2.08130712893536e-05
61440 30 2.08448209116486e-05
61952 30.25 2.08543261292602e-05
62464 30.5 2.08367741787196e-05
62976 30.75 2.07914411299473e-05
63488 31 2.07754332730133e-05
64000 31.25 2.07924230277453e-05
64512 31.5 2.08131474092314e-05
65024 31.75 2.08224708432774e-05
65536 32 2.084924523378e-05
66048 32.25 2.09035511648222e-05
66560 32.5 2.09388888232799e-05
67072 32.75 2.09340512776918e-05
67584 33 2.08932765947462e-05
68096 33.25 2.08625760324869e-05
68608 33.5 2.0868491580275e-05
69120 33.75 2.08755930071591e-05
69632 34 2.08627369004872e-05
70144 34.25 2.08631770596635e-05
70656 34.5 2.08989801690244e-05
71168 34.75 2.09405257247673e-05
71680 35 2.09554606197172e-05
72192 35.25 2.09388762730028e-05
72704 35.5 2.09306944032692e-05
73216 35.75 2.09555197037807e-05
73728 36 2.09766037345317e-05
74240 36.25 2.09789534871009e-05
74752 36.5 2.09837556610618e-05
75264 36.75 2.09989132236788e-05
75776 37 2.10276270746294e-05
76288 37.25 2.10293650884381e-05
76800 37.5 2.10143556014391e-05
77312 37.75 2.10056420039374e-05
77824 38 2.10255502693691e-05
78336 38.25 2.10437573358121e-05
78848 38.5 2.10511001380217e-05
79360 38.75 2.10504685191413e-05
79872 39 2.10506910110627e-05
80384 39.25 2.1072741082066e-05
80896 39.5 2.10761924493811e-05
81408 39.75 2.10715305564924e-05
81920 40 2.10532236588743e-05
82432 40.25 2.10422631524181e-05
82944 40.5 2.10266833990448e-05
83456 40.75 2.09957313255224e-05
83968 41 2.09594464097351e-05
84480 41.25 2.09168461923931e-05
84992 41.5 2.09002617506241e-05
85504 41.75 2.08944176250217e-05
86016 42 2.08975772276138e-05
86528 42.25 2.09092675378312e-05
87040 42.5 2.09310330999024e-05
87552 42.75 2.09631591318777e-05
88064 43 2.09745022433697e-05
88576 43.25 2.09645261095051e-05
89088 43.5 2.09230561991207e-05
89600 43.75 2.08752174419242e-05
