# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 0.000828583928636745
512 0.25 0.000802649610944397
1024 0.5 0.000827344649493647
1536 0.75 0.000854341025834526
2048 1 0.000881792959303594
2560 1.25 0.00090685915801434
3072 1.5 0.000928004920471315
3584 1.75 0.000946132017319449
4096 2 0.000963082846556319
4608 2.25 0.000980077470467281
5120 2.5 0.000997540525382473
5632 2.75 0.0010150067097851
6144 3 0.00103168715023732
6656 3.25 0.00104725411502065
7168 3.5 0.0010633598056494
7680 3.75 0.00108231821633172
8192 4 0.0011052277589595
8704 4.25 0.00113107488770436
9216 4.5 0.00115749470284252
9728 4.75 0.00118253292087672
10240 5 0.00120601496070453
10752 5.25 0.00122943953873297
11264 5.5 0.00125451832810033
11776 5.75 0.00128155741675457
12288 6 0.00130899362553444
12800 6.25 0.00133445767187498
13312 6.5 0.001356494711689
13824 6.75 0.00137554945846901
14336 7 0.00139347906585419
14848 7.25 0.00141198147662782
15360 7.5 0.00143117546098832
15872 7.75 0.00144940979981598
16384 8 0.00146436581751642
16896 8.25 0.00147472659562419
17408 8.5 0.00148126075464128
17920 8.75 0.00148646801054309
18432 9 0.0014934149378069
18944 9.25 0.00150248169286
19456 9.5 0.00151178816138025
19968 9.75 0.00151933637047435
20480 10 0.00152472165923291
20992 10.25 0.00152878740123644
21504 10.5 0.00153361979957896
22016 10.75 0.00154126825178587
22528 11 0.0015521733344963
23040 11.25 0.00156470393433038
23552 11.5 0.00157671061637584
24064 11.75 0.00158726453831642
24576 12 0.00159634604889747
25088 12.25 0.00160401659932791
25600 12.5 0.00161160214075516
26112 12.75 0.00162236848165019
26624 13 0.00163793385783266
27136 13.25 0.00165456810295239
27648 13.5 0.00166673883328401
28160 13.75 0.00167431834612358
28672 14 0.00168222452059759
29184 14.25 0.00169284937722215
29696 14.5 0.00170387442467617
30208 14.75 0.00171429591423764
30720 15 0.00172668869713389
31232 15.25 0.00174142398408515
31744 15.5 0.00175430704904197
32256 15.75 0.00176278092494736
32768 16 0.00176961069214684
33280 16.25 0.00177804065521949
33792 16.5 0.00178823555075762
34304 16.75 0.00180041433035943
34816 17 0.00181571986399872
35328 17.25 0.00183155560180971
35840 17.5 0.00184205221627238
36352 17.75 0.00184632201900954
36864 18 0.00185106996677156
37376 18.25 0.00186217837471351
37888 18.5 0.00187833165563215
38400 18.75 0.00189480113411373
38912 19 0.00190855016644647
39424 19.25 0.00191782473881664
39936 19.5 0.00192254319904932
40448 19.75 0.00192714043020038
40960 20 0.00193774244009603
41472 20.25 0.00195439194416421
41984 20.5 0.00197050561753741
42496 20.75 0.00198123222401201
43008 21 0.00198791034237271
43520 21.25 0.00199387625401691
44032 21.5 0.00200105818312334
44544 21.75 0.00201131272644072
45056 22 0.00203125698183478
45568 22.25 0.00206194350423956
46080 22.5 0.00208299204887782
46592 22.75 0.00209738513392399
47104 23 0.00211420875895411
47616 23.25 0.00213781824646231
48128 23.5 0.00216490772185893
48640 23.75 0.00219041168988472
49152 24 0.00221144497807871
49664 24.25 0.00222677130299356
50176 24.5 0.00223804578602488
50688 24.75 0.00225154828669021
51200 25 0.00227340897022078
51712 25.25 0.00230194740603845
52224 25.5 0.00232847411693335
52736 25.75 0.00234682929822203
53248 26 0.0023596962326568
53760 26.25 0.00237487430048276
54272 26.5 0.00239682037047974
54784 26.75 0.00242187712856921
55296 27 0.00244149475575754
55808 27.25 0.00245177010788451
56320 27.5 0.00245998683388399
56832 27.75 0.00247810518301068
57344 28 0.00250801763781588
57856 28.25 0.00253749004281677
58368 28.5 0.00255440279426716
58880 28.75 0.00256154644889323
59392 29 0.00257230522377367
59904 29.25 0.00259372493354983
60416 29.5 0.00261952316508048
60928 29.75 0.00263975496983834
61440 30 0.00265215665673914
61952 30.25 0.00266237625144371
62464 30.5 0.00267689954512855
62976 30.75 0.00269791567165614
63488 31 0.00272238861029285
64000 31.25 0.00274391136290206
64512 31.5 0.00275753427181616
65024 31.75 0.00276518442033932
65536 32 0.002774954506473
66048 32.25 0.00279267189946036
66560 32.5 0.00281506298322495
67072 32.75 0.00283363350702492
67584 33 0.00284488914529096
68096 33.25 0.00285424419448346
68608 33.5 0.00286927909272547
69120 33.75 0.00289077653276022
69632 34 0.00291138634347555
70144 34.25 0.00292309337600049
70656 34.5 0.00292635756021745
71168 34.75 0.00293146565606368
71680 35 0.00294850981670997
72192 35.25 0.00297513662006021
72704 35.5 0.0029975445838211
73216 35.75 0.00300644224808913
73728 36 0.0030087783341257
74240 36.25 0.00301878341666544
74752 36.5 0.00303941635313199
75264 36.75 0.00305935134988439
75776 37 0.00306906452372915
76288 37.25 0.00307319608110353
76800 37.5 0.00308324081378669
77312 37.75 0.00310256377533838
77824 38 0.00312372371568413
78336 38.25 0.0031386662706461
78848 38.5 0.00314676952078964
79360 38.75 0.0031529126690819
79872 39 0.00316166500998864
80384 39.25 0.00317478303786143
80896 39.5 0.00319153131385701
81408 39.75 0.00320896346703941
81920 40 0.00322311219393537
82432 40.25 0.00323245550198482
82944 40.5 0.00324007280961026
83456 40.75 0.00325008854075033
83968 41 0.00326203356121037
84480 41.25 0.00327199380712358
84992 41.5 0.00328010445610241
85504 41.75 0.00329203867613554
86016 42 0.00330965741555258
86528 42.25 0.00332506573319399
87040 42.5 0.00333017877733847
87552 42.75 0.00332912148504411
88064 43 0.00333384245385703
88576 43.25 0.00334875500630677
89088 43.5 0.00336666477644769
89600 43.75 0.00337908703184169
90112 44 0.00338415178960102
90624 44.25 0.00338553870548632
91136 44.5 0.00338981057050668
91648 44.75 0.00340244423869691
92160 45 0.00341990178810368
92672 45.25 0.00342962878627048
93184 45.5 0.00342624606144073
93696 45.75 0.00342281758726873
94208 46 0.00343487310375493
94720 46.25 0.00345708085191472
95232 46.5 0.00346938315325048
95744 46.75 0.00346554556962308
96256 47 0.00346142715833667
96768 47.25 0.00347160825570244
97280 47.5 0.00349013611920863
97792 47.75 0.00350135162095581
98304 48 0.00350140544981957
98816 48.25 0.00350014314494447
99328 48.5 0.00350530806610329
99840 48.75 0.0035141236668546
100352 49 0.00352163703126648
100864 49.25 0.00352924179954182
101376 49.5 0.00353958515538044
101888 49.75 0.00354857049950792
102400 50 0.0035503137813982
102912 50.25 0.00354775296154137
103424 50.5 0.00355029961550416
103936 50.75 0.00356113419605707
104448 51 0.0035736664145651
104960 51.25 0.00358084434864335
105472 51.5 0.00358232256051297
105984 51.75 0.00358258239461873
106496 52 0.00358654125724394
107008 52.25 0.0035959661042024
107520 52.5 0.00360667549480594
108032 52.75 0.00361174537455367
108544 53 0.00361051093083549
109056 53.25 0.00361057588465833
109568 53.5 0.00361785074798801
110080 53.75 0.00362911988681059
110592 54 0.00363757151592753
111104 54.25 0.0036411654104468
111616 54.5 0.00364259299600103
112128 54.75 0.00364497952722021
112640 55 0.00365006616891524
113152 55.25 0.00365757719806061
113664 55.5 0.00366498304967493
114176 55.75 0.003669942796771
114688 56 0.00367294076704153
115200 56.25 0.00367617729413668
115712 56.5 0.00368127128448934
116224 56.75 0.00368875162998261
116736 57 0.00369710684192674
117248 57.25 0.00370233912688691
117760 57.5 0.0037027247075918
118272 57.75 0.00370366787185127
118784 58 0.00371173052946566
119296 58.25 0.00372359221867644
119808 58.5 0.00372868288317771
120320 58.75 0.00372495691921586
120832 59 0.00372382163665191
121344 59.25 0.00373437095052966
121856 59.5 0.00374947581589063
122368 59.75 0.0037551225133493
122880 60 0.00375004242114948
123392 60.25 0.00374719444260205
123904 60.5 0.0037552035567967
124416 60.75 0.00376703510091952
124928 61 0.00377193323689511
125440 61.25 0.00377154762658159
125952 61.5 0.00377542320078213
126464 61.75 0.0037843068592027
126976 62 0.00378937083025092
127488 62.25 0.00378833978325797
128000 62.5 0.00379019263848832
128512 62.75 0.00379964355037577
129024 63 0.00380847174873348
129536 63.25 0.00380944404240936
130048 63.5 0.00380863163469843
130560 63.75 0.00381446423472141
131072 64 0.00382316817810845
131584 64.25 0.00382635947144885
132096 64.5 0.00382652483442444
132608 64.75 0.00383231256713101
133120 65 0.00384245151378125
133632 65.25 0.00384750525004284
134144 65.5 0.00384630931225145
134656 65.75 0.00384787722126242
135168 66 0.00385580896859571
135680 66.25 0.00386271438795608
136192 66.5 0.00386358828316363
136704 66.75 0.00386421086577576
137216 67 0.00387065694828472
137728 67.25 0.0038788664420048
138240 67.5 0.00388183397305734
138752 67.75 0.00388139139150465
139264 68 0.0038848734500725
139776 68.25 0.00389287420160684
140288 68.5 0.00389879417734543
140800 68.75 0.00390011067734148
141312 69 0.00390247748654859
141824 69.25 0.0039100121457702
142336 69.5 0.00391779568253701
142848 69.75 0.00391915930631206
143360 70 0.00391667947454805
143872 70.25 0.00391944305315971
