# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 1.1093723486875e-05 1.10937234868614e-05 1.10937234868479e-05
1024 0.5 1.58171358602005e-05 1.5817135860215e-05 1.58171358602291e-05
1536 0.75 2.05819433471e-05 2.05819433470913e-05 2.05819433470826e-05
2048 1 2.74914849356388e-05 2.74914849356465e-05 2.74914849356548e-05
2560 1.25 3.44744677306084e-05 3.44744677306107e-05 3.44744677306133e-05
3072 1.5 4.12573527997198e-05 4.12573527997222e-05 4.1257352799722e-05
3584 1.75 4.7418092654712e-05 4.74180926547108e-05 4.74180926547045e-05
4096 2 5.26053140741383e-05 5.26053140741334e-05 5.26053140741203e-05
4608 2.25 5.67524097451769e-05 5.67524097451879e-05 5.67524097451919e-05
5120 2.5 6.01229871711047e-05 6.01229871711121e-05 6.01229871711266e-05
5632 2.75 6.31378409554138e-05 6.3137840955475e-05 6.31378409554469e-05
6144 3 6.60803576863748e-05 6.60803576864594e-05 6.60803576863763e-05
6656 3.25 6.89266025359642e-05 6.89266025361163e-05 6.89266025359977e-05
7168 3.5 7.14049949731878e-05 7.1404994973187e-05 7.14049949734344e-05
7680 3.75 7.32418180722745e-05 7.32418180722305e-05 7.32418180723742e-05
8192 4 7.43947725948954e-05 7.43947725951537e-05 7.43947725942411e-05
8704 4.25 7.50566054513263e-05 7.50566054505371e-05 7.50566054486675e-05
9216 4.5 7.54197647774024e-05 7.54197647714687e-05 7.54197647759835e-05
9728 4.75 7.54260519676737e-05 7.54260519338237e-05 7.54260519700146e-05
10240 5 7.47395357220119e-05 7.47395356383735e-05 7.47395357178446e-05
10752 5.25 7.29828991827918e-05 7.29828991232554e-05 7.29828991428001e-05
11264 5.5 7.00657998614979e-05 7.00658000509192e-05 7.00657997533332e-05
11776 5.75 6.63881859299291e-05 6.63881865726765e-05 6.63881858507322e-05
12288 6 6.27421607198464e-05 6.2742161530245e-05 6.27421610381199e-05
12800 6.25 5.98473548209397e-05 5.98473546712289e-05 5.98473558528496e-05
13312 6.5 5.79868097263639e-05 5.79868063535413e-05 5.79868220773937e-05
13824 6.75 5.55954375033994e-05 5.55954333723593e-05 5.55954362812783e-05
14336 7 5.42483464903217e-05 5.42483451429452e-05 5.42483580049945e-05
14848 7.25 5.1246606764609e-05 5.1246606942409e-05 5.12465995735922e-05
15360 7.5 4.58918760180813e-05 4.58918701819363e-05 4.58918030291274e-05
15872 7.75 4.36681154183724e-05 4.36681188714731e-05 4.36680353461923e-05
16384 8 4.04143259407645e-05 4.0414371856465e-05 4.04143096678078e-05
16896 8.25 3.8800038055422e-05 3.88003076289766e-05 3.88006352751303e-05
17408 8.5 3.73672793149862e-05 3.73673929139881e-05 3.73674175519939e-05
17920 8.75 3.7288602363596e-05 3.72887168089344e-05 3.72889606983811e-05
18432 9 3.39369238157223e-05 3.3938311062662e-05 3.39372037669178e-05
18944 9.25 3.20628113469539e-05 3.20637402215459e-05 3.20630904582323e-05
19456 9.5 3.07277003759457e-05 3.07276039846993e-05 3.07274257598539e-05
19968 9.75 3.13221090267241e-05 3.13221494507479e-05 3.13221568972208e-05
20480 10 3.36316835203802e-05 3.36325669848724e-05 3.36315941579845e-05
20992 10.25 3.53438495978784e-05 3.53438696456476e-05 3.53437850389049e-05
21504 10.5 3.86452883517042e-05 3.86454078425645e-05 3.8645140605366e-05
22016 10.75 3.3079214098786e-05 3.3079178629513e-05 3.30790107724693e-05
22528 11 3.14667044033123e-05 3.14666460740889e-05 3.1466533239931e-05
23040 11.25 2.92703471658017e-05 2.92703570786163e-05 2.92702654413139e-05
23552 11.5 2.66633591006047e-05 2.66633643429941e-05 2.66632435449443e-05
24064 11.75 2.87503379364034e-05 2.87506914402145e-05 2.87504278632301e-05
24576 12 2.90331047036273e-05 2.90331531128866e-05 2.90330994786591e-05
25088 12.25 2.86635670093696e-05 2.86635037103153e-05 2.86634086103121e-05
25600 12.5 2.49102697586952e-05 2.49105105148e-05 2.49101709845155e-05
26112 12.75 2.34409553966449e-05 2.34410897038967e-05 2.34406914108505e-05
26624 13 2.36015860594578e-05 2.36016500937449e-05 2.36014464528957e-05
27136 13.25 2.50921883607931e-05 2.50923135633535e-05 2.50923011326028e-05
27648 13.5 2.46925300726304e-05 2.46927562832293e-05 2.46925307417174e-05
28160 13.75 2.39982642440299e-05 2.39984589428248e-05 2.39982171294566e-05
28672 14 2.77310107085895e-05 2.77311006366615e-05 2.77311450904767e-05
29184 14.25 3.13672427028553e-05 3.13674493827232e-05 3.13674003827743e-05
29696 14.5 3.13618841739193e-05 3.13623144554263e-05 3.13621976234671e-05
30208 14.75 3.16482784691131e-05 3.1648289008876e-05 3.16483436160066e-05
30720 15 3.18972672406198e-05 3.18970097115479e-05 3.18971229009562e-05
31232 15.25 3.12231442579186e-05 3.12231506414623e-05 3.12232125486308e-05
31744 15.5 3.14268176079121e-05 3.14266297741291e-05 3.14261507735964e-05
32256 15.75 3.01029049433809e-05 3.01026734169678e-05 3.01021223671352e-05
32768 16 2.89358721710936e-05 2.89355911086054e-05 2.89353850561892e-05
33280 16.25 3.08711996437442e-05 3.08696106489095e-05 3.0867995283579e-05
33792 16.5 3.12380232100279e-05 3.12380555101666e-05 3.12379972338795e-05
34304 16.75 2.83181466323393e-05 2.83180573501821e-05 2.83181751586021e-05
34816 17 2.31453999760234e-05 2.31492519120899e-05 2.31441156688511e-05
35328 17.25 2.22109392413502e-05 2.2210526772758e-05 2.2210911499052e-05
35840 17.5 2.2928601330365e-05 2.29281740367353e-05 2.29284951518158e-05
36352 17.75 2.39839169494874e-05 2.39832081825271e-05 2.39837794887963e-05
36864 18 2.34651141155231e-05 2.34647872762326e-05 2.34648839058023e-05
