# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 -1.14224874918869e-05 -1.14224874918814e-05 -1.1422487491876e-05
1024 0.5 -1.61059356340104e-05 -1.61059356340005e-05 -1.61059356339747e-05
1536 0.75 -1.74039117144441e-05 -1.74039117144318e-05 -1.74039117144128e-05
2048 1 -1.39087996492401e-05 -1.39087996491242e-05 -1.3908799649116e-05
2560 1.25 -1.21021837626236e-05 -1.21021837624904e-05 -1.21021837624772e-05
3072 1.5 -1.55700882270452e-05 -1.55700882265286e-05 -1.55700882282239e-05
3584 1.75 -2.13911135964843e-05 -2.13911135975203e-05 -2.13911135955451e-05
4096 2 -1.6000147049127e-05 -1.60001469588907e-05 -1.60001469939503e-05
4608 2.25 -1.81168611026854e-05 -1.81168534775818e-05 -1.8116853193409e-05
5120 2.5 -1.89021402359897e-05 -1.89021510476386e-05 -1.89021449881151e-05
5632 2.75 -9.89644338057764e-06 -9.89644030682639e-06 -9.89644333704073e-06
6144 3 -1.32479993871557e-05 -1.32480026875738e-05 -1.32479976535072e-05
6656 3.25 -1.36568263484913e-05 -1.36568281044488e-05 -1.36568273142594e-05
7168 3.5 -1.81503870568864e-05 -1.81503595127725e-05 -1.81503904884811e-05
7680 3.75 -1.4381412014879e-05 -1.43814198934005e-05 -1.43814177361942e-05
8192 4 -1.30147142597176e-05 -1.30146630902349e-05 -1.30147809634032e-05
8704 4.25 -1.2616048812126e-05 -1.2616160737889e-05 -1.26159420343175e-05
9216 4.5 -3.09182138215804e-05 -3.09181580779743e-05 -3.09182992631475e-05
9728 4.75 -2.90487843193966e-05 -2.90488680519019e-05 -2.90486853019607e-05
10240 5 -2.44374952231008e-05 -2.44374678874707e-05 -2.44375826346586e-05
10752 5.25 -2.34231526966301e-05 -2.34232468125996e-05 -2.34231648053211e-05
11264 5.5 -2.03267726008089e-05 -2.03267737112527e-05 -2.03268695920869e-05
11776 5.75 -3.01055725020246e-05 -3.01056288625333e-05 -3.010565988044e-05
12288 6 -1.91779958617704e-05 -1.9177961930462e-05 -1.91778511076098e-05
12800 6.25 -2.67676227429817e-05 -2.67675580271107e-05 -2.67676112050471e-05
13312 6.5 -1.63221794157763e-05 -1.63220836092332e-05 -1.63220293897077e-05
13824 6.75 -1.28263516824423e-05 -1.28263467085465e-05 -1.28262858597197e-05
14336 7 -2.14401262512627e-05 -2.1439548730312e-05 -2.14396928030674e-05
14848 7.25 -1.31668097303298e-05 -1.31667057144869e-05 -1.31659301669158e-05
15360 7.5 -1.48785593205091e-05 -1.48786806631823e-05 -1.48784093722433e-05
15872 7.75 -1.39301616053694e-05 -1.39299518063152e-05 -1.39294978872597e-05
16384 8 -1.2116303931377e-05 -1.21163062868458e-05 -1.21163019892651e-05
16896 8.25 -1.65006546243202e-05 -1.6500657636325e-05 -1.65006573474986e-05
17408 8.5 -2.10996925730603e-05 -2.10996943312631e-05 -2.10997009361415e-05
17920 8.75 -2.54426537768397e-05 -2.54426527323141e-05 -2.54426640474045e-05
18432 9 -3.01780420323573e-05 -3.0178039817002e-05 -3.01780567090763e-05
18944 9.25 -3.62487270861113e-05 -3.62487267249732e-05 -3.62487371528371e-05
19456 9.5 -3.80366471033813e-05 -3.80366488182427e-05 -3.80366426126378e-05
19968 9.75 -3.78299893011314e-05 -3.78299898741155e-05 -3.78299708891514e-05
20480 10 -3.94348058635516e-05 -3.94348132727914e-05 -3.94348055892773e-05
20992 10.25 -4.03580091256894e-05 -4.03580199189802e-05 -4.03580318369303e-05
21504 10.5 -4.04174381731342e-05 -4.04174433304661e-05 -4.04174695868678e-05
22016 10.75 -4.0733160028766e-05 -4.07331580093873e-05 -4.07331405806794e-05
22528 11 -4.6260135703246e-05 -4.62601467463563e-05 -4.62601218209519e-05
23040 11.25 -5.1547953309521e-05 -5.15479691161805e-05 -5.1547956610621e-05
23552 11.5 -5.60845140875458e-05 -5.60845617407664e-05 -5.60844978619667e-05
24064 11.75 -5.90721149432395e-05 -5.90721387609148e-05 -5.90721488346427e-05
24576 12 -5.9576064765684e-05 -5.95760811845924e-05 -5.95760851766024e-05
25088 12.25 -5.72847227767497e-05 -5.72847226944979e-05 -5.72847709106674e-05
25600 12.5 -5.31190322231337e-05 -5.31190165358714e-05 -5.31190902297132e-05
26112 12.75 -4.79935354943111e-05 -4.79935133208253e-05 -4.79935972471782e-05
26624 13 -4.72715003787693e-05 -4.72715310721249e-05 -4.72714931738139e-05
27136 13.25 -4.65946062694959e-05 -4.65946111434851e-05 -4.65945879504383e-05
27648 13.5 -4.65641657358926e-05 -4.65641174819432e-05 -4.6564112667893e-05
28160 13.75 -4.73193607288943e-05 -4.73192536419718e-05 -4.73192994908779e-05
28672 14 -4.79103297982684e-05 -4.79102210714945e-05 -4.79103141464732e-05
29184 14.25 -4.7012511283828e-05 -4.70124676162651e-05 -4.70125466324262e-05
29696 14.5 -4.43954173935308e-05 -4.43954344784876e-05 -4.43954712274837e-05
30208 14.75 -4.18565440962886e-05 -4.18566164749845e-05 -4.18565102570885e-05
30720 15 -3.98545241837362e-05 -3.98547475968593e-05 -3.98546506034964e-05
31232 15.25 -3.90856421171942e-05 -3.90858829640345e-05 -3.90856966197251e-05
31744 15.5 -4.04268909846243e-05 -4.04273789706917e-05 -4.04270024866426e-05
32256 15.75 -4.09441621406211e-05 -4.09443124378113e-05 -4.09441047054367e-05
32768 16 -4.0566418438807e-05 -4.05658796258761e-05 -4.05661372113998e-05
33280 16.25 -3.88411017949236e-05 -3.88403878888286e-05 -3.88409083739141e-05
33792 16.5 -3.51020733674436e-05 -3.51021514126699e-05 -3.51023659527862e-05
34304 16.75 -3.42539030245291e-05 -3.42549947123833e-05 -3.42545061582409e-05
34816 17 -3.34272591557401e-05 -3.34295538794478e-05 -3.34271354235466e-05
35328 17.25 -3.12606411084213e-05 -3.12629184703676e-05 -3.12605357719223e-05
35840 17.5 -3.22512254041026e-05 -3.22512263640442e-05 -3.22490172439926e-05
36352 17.75 -3.09104446528435e-05 -3.0908105004683e-05 -3.09091798080786e-05
36864 18 -3.1506941590014e-05 -3.14639300172496e-05 -3.14692027991743e-05
37376 18.25 -3.17688701216386e-05 -3.17125529244764e-05 -3.17221835981992e-05
37888 18.5 -2.77399504810584e-05 -2.76738931289452e-05 -2.77438741326982e-05
38400 18.75 -2.77267215635732e-05 -2.77501413708542e-05 -2.77283008448656e-05
38912 19 -2.66307746954403e-05 -2.66416034483491e-05 -2.66290233092012e-05
39424 19.25 -3.00669224020793e-05 -3.00649233380188e-05 -3.00797444626674e-05
39936 19.5 -3.02959129090776e-05 -3.02963821176462e-05 -3.02994555447468e-05
40448 19.75 -2.64815800395204e-05 -2.64816843054054e-05 -2.64817283970207e-05
40960 20 -2.51995705608681e-05 -2.51998534403752e-05 -2.51998115190598e-05
41472 20.25 -2.69036349733399e-05 -2.69912347783035e-05 -2.69180382022734e-05
41984 20.5 -2.56741385838567e-05 -2.56742212394897e-05 -2.56745202198424e-05
42496 20.75 -2.55558376174966e-05 -2.53701970867476e-05 -2.55051421283138e-05
43008 21 -2.49504440141961e-05 -2.50563768607589e-05 -2.49353777397204e-05
