# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 7.6591250765868e-08 7.6591250676426e-08 7.65912505869762e-08
1024 0.5 2.01166970196345e-07 2.01166970021457e-07 2.01166969840347e-07
1536 0.75 3.5735486047924e-07 3.57354859782955e-07 3.57354858585827e-07
2048 1 5.30857260703561e-07 5.30857261076617e-07 5.30857260525672e-07
2560 1.25 7.24886737429107e-07 7.2488674691812e-07 7.24886734818054e-07
3072 1.5 8.77914718016975e-07 8.7791475104178e-07 8.77914705944905e-07
3584 1.75 9.50358462852037e-07 9.5035847825301e-07 9.50358471651058e-07
4096 2 9.62622279884002e-07 9.62622284861016e-07 9.62622241798597e-07
4608 2.25 1.00495013900506e-06 1.00495013688532e-06 1.00495006151212e-06
5120 2.5 1.00177685695281e-06 1.00177690975528e-06 1.00177679654069e-06
5632 2.75 9.62853336820174e-07 9.62853362860854e-07 9.62853303185987e-07
6144 3 9.83054692876346e-07 9.83054711229783e-07 9.83054616417805e-07
6656 3.25 1.08022672227616e-06 1.08022672650543e-06 1.08022664862638e-06
7168 3.5 1.14048535755493e-06 1.14048537372701e-06 1.14048523846327e-06
7680 3.75 1.13313887589124e-06 1.13313890142182e-06 1.1331388174166e-06
8192 4 1.07057543045383e-06 1.07057540127083e-06 1.0705754344906e-06
8704 4.25 1.08119215579706e-06 1.08119210747407e-06 1.08119212724702e-06
9216 4.5 1.16209823716007e-06 1.16209820859715e-06 1.16209823336732e-06
9728 4.75 1.19175222017597e-06 1.19175223358606e-06 1.19175216267609e-06
10240 5 1.19005555327948e-06 1.19005551019753e-06 1.19005546527461e-06
10752 5.25 1.21047825357701e-06 1.21047823272256e-06 1.21047819691688e-06
11264 5.5 1.23126970518788e-06 1.23126967747406e-06 1.23126964660252e-06
11776 5.75 1.22300442545519e-06 1.22300436647042e-06 1.22300430499715e-06
12288 6 1.21575080381878e-06 1.21575078996932e-06 1.21575071480313e-06
12800 6.25 1.22876995646769e-06 1.22876994894801e-06 1.22876986792423e-06
13312 6.5 1.28566649680875e-06 1.28566646402121e-06 1.28566640192626e-06
13824 6.75 1.30381676327031e-06 1.30381674244774e-06 1.30381671168626e-06
14336 7 1.28327743291091e-06 1.28327741075383e-06 1.2832773644063e-06
14848 7.25 1.26036673813313e-06 1.26036671269134e-06 1.26036668796479e-06
15360 7.5 1.26654046423965e-06 1.26654047647833e-06 1.26654047981549e-06
15872 7.75 1.31923522606591e-06 1.3192352840906e-06 1.31923527160284e-06
16384 8 1.3445674604909e-06 1.34456750313178e-06 1.34456751425822e-06
16896 8.25 1.37166902281504e-06 1.37166904875373e-06 1.37166905368468e-06
17408 8.5 1.37261324069219e-06 1.37261323957439e-06 1.37261326514771e-06
17920 8.75 1.36169026184197e-06 1.36169029145155e-06 1.36169021274923e-06
18432 9 1.38317980027127e-06 1.38317984397803e-06 1.38317975505606e-06
18944 9.25 1.42314346008048e-06 1.4231435100308e-06 1.42314342091378e-06
19456 9.5 1.45317821539086e-06 1.45317826178372e-06 1.45317817385662e-06
19968 9.75 1.45447313729609e-06 1.45447310550912e-06 1.45447306228228e-06
20480 10 1.45749334432524e-06 1.45749333196994e-06 1.4574933638544e-06
20992 10.25 1.47330148777091e-06 1.47330150376083e-06 1.47330150780179e-06
21504 10.5 1.49396742172208e-06 1.49396739121917e-06 1.49396739959505e-06
22016 10.75 1.51482238153235e-06 1.51482236273671e-06 1.51482237971021e-06
22528 11 1.52053739416145e-06 1.5205374390519e-06 1.52053729441414e-06
23040 11.25 1.53261848584659e-06 1.53261862114078e-06 1.53261848906198e-06
23552 11.5 1.53445616545973e-06 1.53445635133705e-06 1.53445620985651e-06
24064 11.75 1.55467319167083e-06 1.55467282222153e-06 1.55467319109193e-06
24576 12 1.55612762982727e-06 1.55612786158966e-06 1.55612730464631e-06
25088 12.25 1.56152939943091e-06 1.56153052649316e-06 1.56152945634869e-06
25600 12.5 1.57983674318966e-06 1.57983846080119e-06 1.57983670918675e-06
26112 12.75 1.59255407841321e-06 1.59255545700634e-06 1.59255390641823e-06
26624 13 1.60695178954861e-06 1.60695362098052e-06 1.60695189201393e-06
27136 13.25 1.59965381380847e-06 1.59965325484007e-06 1.59965444922871e-06
27648 13.5 1.59671395316164e-06 1.59671309126632e-06 1.59671519978014e-06
28160 13.75 1.59360950629025e-06 1.5936033714192e-06 1.59360308316558e-06
28672 14 1.61881455986083e-06 1.61881017223684e-06 1.61880667736116e-06
29184 14.25 1.65215581691271e-06 1.65214990330271e-06 1.65213906845259e-06
29696 14.5 1.68209079321401e-06 1.68207475829384e-06 1.68207319623977e-06
30208 14.75 1.69346992426433e-06 1.69344492705205e-06 1.69344536971297e-06
30720 15 1.68418754962103e-06 1.68417135109526e-06 1.68416845430319e-06
31232 15.25 1.6897988871937e-06 1.6897863267705e-06 1.68977214117991e-06
31744 15.5 1.71816054063423e-06 1.7181442246604e-06 1.71811592186955e-06
32256 15.75 1.74717476351174e-06 1.74717173773273e-06 1.7471582855635e-06
32768 16 1.76353257053816e-06 1.76351512145231e-06 1.7635411124947e-06
33280 16.25 1.77060775736686e-06 1.77057618310364e-06 1.77061361671845e-06
33792 16.5 1.79153388270693e-06 1.79148164900993e-06 1.79153173162117e-06
34304 16.75 1.81193763568663e-06 1.81189397268155e-06 1.81193637364937e-06
34816 17 1.82355933011502e-06 1.82351263560424e-06 1.82355844058454e-06
35328 17.25 1.82147801089692e-06 1.82141529993069e-06 1.82145909780843e-06
35840 17.5 1.81009149241958e-06 1.81000226447433e-06 1.81005471699998e-06
36352 17.75 1.80777280186809e-06 1.80766974532823e-06 1.8077101600372e-06
36864 18 1.80883610651319e-06 1.80874586973641e-06 1.80876580130972e-06
37376 18.25 1.80362471273811e-06 1.80357505281817e-06 1.80355089703944e-06
37888 18.5 1.79294644128853e-06 1.7929738956865e-06 1.79290581545789e-06
38400 18.75 1.78435213717297e-06 1.78442722595037e-06 1.78438935538417e-06
38912 19 1.78225685532006e-06 1.78235869222168e-06 1.78235797139898e-06
39424 19.25 1.76996823623179e-06 1.7699743543756e-06 1.77005860195953e-06
39936 19.5 1.75344447565431e-06 1.75339564618343e-06 1.75352187249915e-06
40448 19.75 1.74725071823196e-06 1.74720946804729e-06 1.74728721584244e-06
40960 20 1.74137109893309e-06 1.74132365234824e-06 1.74133014121789e-06
41472 20.25 1.71695548321111e-06 1.71693619045273e-06 1.71686855381475e-06
41984 20.5 1.68940943394209e-06 1.68938168224969e-06 1.68930778069476e-06
42496 20.75 1.68155233819298e-06 1.68148171158006e-06 1.68148841394292e-06
43008 21 1.69333001283924e-06 1.69325631764134e-06 1.69334592834659e-06
43520 21.25 1.70985849030907e-06 1.70983503091792e-06 1.70993394668568e-06
44032 21.5 1.717650803378e-06 1.71761256095797e-06 1.71775824879363e-06
44544 21.75 1.72906499551349e-06 1.72901056893001e-06 1.72917575786299e-06
45056 22 1.74655120040444e-06 1.74652967707487e-06 1.74664614606591e-06
45568 22.25 1.76909288614477e-06 1.76904834729677e-06 1.76914265937124e-06
46080 22.5 1.77702315555897e-06 1.77697416507268e-06 1.77707275361983e-06
46592 22.75 1.79285802733458e-06 1.79283126150494e-06 1.7929211598293e-06
47104 23 1.82925227062252e-06 1.82926723828766e-06 1.82933620753231e-06
47616 23.25 1.86958178510194e-06 1.86957588112976e-06 1.86961666472402e-06
48128 23.5 1.90524720934293e-06 1.90531039642353e-06 1.90528239305458e-06
48640 23.75 1.93738293969082e-06 1.93748675815973e-06 1.93749417052399e-06
49152 24 1.99281007225364e-06 1.9928757338971e-06 1.99290287886942e-06
49664 24.25 2.05392013282021e-06 2.0540070828934e-06 2.05400320631705e-06
50176 24.5 2.10704617206713e-06 2.10716239732627e-06 2.10717964888727e-06
50688 24.75 2.14920746714185e-06 2.14928937416038e-06 2.14935651622189e-06
51200 25 2.19643075938653e-06 2.19650738831638e-06 2.19652669413783e-06
51712 25.25 2.24448139167764e-06 2.2444781128581e-06 2.24451406971764e-06
52224 25.5 2.28875015580449e-06 2.28874762446485e-06 2.28877021099299e-06
52736 25.75 2.32874034817065e-06 2.3286989257986e-06 2.3287378066479e-06
53248 26 2.36687057705009e-06 2.36684097847102e-06 2.36689320597934e-06
53760 26.25 2.40304115360072e-06 2.40303361040696e-06 2.40308317444201e-06
54272 26.5 2.42825775110164e-06 2.42828967104001e-06 2.42829470086038e-06
54784 26.75 2.44702711812509e-06 2.44709272397589e-06 2.44707795189054e-06
55296 27 2.45696910568804e-06 2.45705041485273e-06 2.45702915388303e-06
55808 27.25 2.46015471670819e-06 2.46020255209769e-06 2.46016809175549e-06
56320 27.5 2.47610089016767e-06 2.47612623318168e-06 2.47611708718533e-06
56832 27.75 2.51298425865287e-06 2.51300024541218e-06 2.51294715214563e-06
57344 28 2.5559730820199e-06 2.55596012597163e-06 2.55592897373563e-06
57856 28.25 2.58660616208443e-06 2.58655752512155e-06 2.5865543191664e-06
58368 28.5 2.60146913886803e-06 2.60142870067059e-06 2.60147490868945e-06
58880 28.75 2.60677917307177e-06 2.60671431904655e-06 2.60685232930995e-06
59392 29 2.61446550105149e-06 2.61445807713796e-06 2.61452662088373e-06
59904 29.25 2.63378698087489e-06 2.63380358568586e-06 2.6337984009681e-06
60416 29.5 2.65027265046922e-06 2.65032413240491e-06 2.6502352107851e-06
60928 29.75 2.66279279338112e-06 2.66282181607563e-06 2.66274455943735e-06
61440 30 2.67120464015281e-06 2.67120598568961e-06 2.67117808475876e-06
61952 30.25 2.67781216699825e-06 2.67772521071171e-06 2.67778877134137e-06
62464 30.5 2.68971522042395e-06 2.68963833363763e-06 2.68972153838533e-06
62976 30.75 2.69826174433004e-06 2.69817310989001e-06 2.69826247138554e-06
63488 31 2.70533436823573e-06 2.70522086290276e-06 2.70525182298914e-06
64000 31.25 2.71351223265486e-06 2.71334562445161e-06 2.71338807547573e-06
64512 31.5 2.71944553309729e-06 2.71937909366794e-06 2.71939015738399e-06
65024 31.75 2.71987244765467e-06 2.71973664182541e-06 2.71971575964504e-06
65536 32 2.71261648087579e-06 2.71245121941148e-06 2.71243901192472e-06
66048 32.25 2.69829405061771e-06 2.69815193575012e-06 2.69819518927329e-06
66560 32.5 2.6792375127703e-06 2.67917541684373e-06 2.67922614762059e-06
67072 32.75 2.65851832623324e-06 2.65849014841298e-06 2.65854206171594e-06
67584 33 2.64052032182904e-06 2.64048847370884e-06 2.64062336072921e-06
68096 33.25 2.62590769402437e-06 2.62589149176626e-06 2.62593099118146e-06
68608 33.5 2.61122652683477e-06 2.61115291214795e-06 2.61120269935417e-06
69120 33.75 2.59440336392555e-06 2.59436255734711e-06 2.59442158283645e-06
69632 34 2.58681356537811e-06 2.58681733550235e-06 2.58683657435464e-06
70144 34.25 2.58463307364329e-06 2.58471705156779e-06 2.58465572987547e-06
70656 34.5 2.57017658737377e-06 2.57025805901846e-06 2.57022185304089e-06
71168 34.75 2.54874144488351e-06 2.54877482041212e-06 2.54877172186988e-06
71680 35 2.52213549256149e-06 2.52217704971278e-06 2.52214369555345e-06
72192 35.25 2.49677081987106e-06 2.49684010099776e-06 2.4967784171285e-06
72704 35.5 2.47450551804245e-06 2.47453315551036e-06 2.4745072957805e-06
73216 35.75 2.44979553524708e-06 2.44978298148716e-06 2.44982597616544e-06
73728 36 2.41839957531464e-06 2.41842100475426e-06 2.41849160062895e-06
74240 36.25 2.37924887716871e-06 2.37926109591765e-06 2.37932577068665e-06
74752 36.5 2.33765776108485e-06 2.33764520967139e-06 2.33774595536164e-06
75264 36.75 2.30572099764186e-06 2.30571388488933e-06 2.30579324002731e-06
75776 37 2.28112907097209e-06 2.2811848299324e-06 2.28121366940055e-06
76288 37.25 2.25841053250948e-06 2.25848730566426e-06 2.25853679232054e-06
76800 37.5 2.23743562972064e-06 2.23750931164811e-06 2.23754331030017e-06
77312 37.75 2.21296049135944e-06 2.21303426884539e-06 2.21310013450065e-06
77824 38 2.18048116624888e-06 2.18062801121032e-06 2.18065048892118e-06
78336 38.25 2.13986335471982e-06 2.14001218339903e-06 2.14004174817116e-06
78848 38.5 2.09836952203935e-06 2.0985407361881e-06 2.09849899787492e-06
79360 38.75 2.05791760672089e-06 2.05805644321422e-06 2.05801825762632e-06
79872 39 2.01694057198909e-06 2.01710197408605e-06 2.01716577811105e-06
80384 39.25 1.97360669722926e-06 1.97385894505624e-06 1.97389271311557e-06
80896 39.5 1.93655959510225e-06 1.93686351117353e-06 1.93689001584787e-06
81408 39.75 1.90122183354833e-06 1.9015109079968e-06 1.90152208635508e-06
81920 40 1.8554457311754e-06 1.85568559559595e-06 1.85563923452224e-06
82432 40.25 1.80210667519486e-06 1.80228358123997e-06 1.80221158864307e-06
82944 40.5 1.7529269998824e-06 1.75304061057304e-06 1.75300581968717e-06
83456 40.75 1.71623210142746e-06 1.71639024558516e-06 1.71634192327965e-06
83968 41 1.70258048459358e-06 1.70277925202143e-06 1.70272004410072e-06
84480 41.25 1.69832661259821e-06 1.69855503303628e-06 1.69847992179829e-06
84992 41.5 1.70545831902378e-06 1.70570725347863e-06 1.70561269970545e-06
85504 41.75 1.71663451279027e-06 1.71683243976449e-06 1.71677468457558e-06
86016 42 1.72240219933398e-06 1.72256032569658e-06 1.72251951467336e-06
86528 42.25 1.73024719800039e-06 1.73037255662107e-06 1.73028872160472e-06
87040 42.5 1.74544801097454e-06 1.74556983182996e-06 1.74543310775082e-06
87552 42.75 1.76266152341062e-06 1.76277602808871e-06 1.76267897495129e-06
88064 43 1.78221667194547e-06 1.7823474356593e-06 1.78226153743908e-06
88576 43.25 1.80765554151537e-06 1.80774857271188e-06 1.80772389899999e-06
89088 43.5 1.82783294154325e-06 1.82784256512508e-06 1.82785299449915e-06
89600 43.75 1.84076546717554e-06 1.84077005661732e-06 1.84073562756081e-06
90112 44 1.85618060340964e-06 1.8562206545649e-06 1.85619785249653e-06
90624 44.25 1.87772925689893e-06 1.87777351194651e-06 1.87777046424054e-06
91136 44.5 1.89704765427977e-06 1.89708098000998e-06 1.89713227032755e-06
91648 44.75 1.90712818972411e-06 1.90713429281841e-06 1.90718093750224e-06
92160 45 1.90928938244669e-06 1.90932596283734e-06 1.90932661815186e-06
92672 45.25 1.9065547766367e-06 1.90658039623444e-06 1.90659965114589e-06
93184 45.5 1.89993941765214e-06 1.90001824491319e-06 1.90000885569521e-06
93696 45.75 1.8893391396934e-06 1.88938727008673e-06 1.88935868605091e-06
94208 46 1.87990113889815e-06 1.87995245274992e-06 1.87992069405674e-06
94720 46.25 1.87723369181385e-06 1.87722934517178e-06 1.87722968166912e-06
95232 46.5 1.88452120254547e-06 1.8845571513346e-06 1.8845449525363e-06
95744 46.75 1.89859384569263e-06 1.89870664880026e-06 1.89866422170045e-06
96256 47 1.9095144572839e-06 1.90957742988242e-06 1.90964372025071e-06
96768 47.25 1.91155797383751e-06 1.91166509407882e-06 1.91171595719014e-06
97280 47.5 1.90116317754874e-06 1.90120144903067e-06 1.9013064679846e-06
97792 47.75 1.88729192937644e-06 1.88730578032317e-06 1.88738332262055e-06
98304 48 1.87664273508018e-06 1.87663709542333e-06 1.87666455256562e-06
98816 48.25 1.87155250023158e-06 1.87159135891695e-06 1.87161376902174e-06
99328 48.5 1.87166116509307e-06 1.87162408425676e-06 1.87171099501821e-06
99840 48.75 1.87940053955001e-06 1.87930669846056e-06 1.87941199391723e-06
100352 49 1.88383822339064e-06 1.88371396078893e-06 1.88382159271697e-06
100864 49.25 1.88975624151177e-06 1.88965027675858e-06 1.88977192686177e-06
101376 49.5 1.89956518569962e-06 1.89940636248888e-06 1.89955677208065e-06
101888 49.75 1.91748072468296e-06 1.91731720218115e-06 1.91744708145079e-06
102400 50 1.93539437489425e-06 1.93534697922888e-06 1.93537371030899e-06
102912 50.25 1.94981761636365e-06 1.9498359118673e-06 1.94979679987082e-06
103424 50.5 1.96840310931292e-06 1.96841152546618e-06 1.96837244052957e-06
103936 50.75 1.98897831149094e-06 1.98898369323942e-06 1.9889531658078e-06
104448 51 2.00839796868798e-06 2.00835965571701e-06 2.00838577532573e-06
104960 51.25 2.02194353607636e-06 2.02182673881172e-06 2.0219352602601e-06
105472 51.5 2.02607377709493e-06 2.02597921992297e-06 2.02604779144417e-06
105984 51.75 2.02025589204609e-06 2.02019088391813e-06 2.02023009211199e-06
106496 52 2.01094187091027e-06 2.01092350917231e-06 2.01094521612308e-06
107008 52.25 2.00371510420032e-06 2.00370340980762e-06 2.00373769743246e-06
107520 52.5 1.99571461295527e-06 1.9957210551644e-06 1.99570946137388e-06
108032 52.75 1.98893013053765e-06 1.98889027356132e-06 1.98886762635156e-06
108544 53 1.98546830746284e-06 1.98543770219405e-06 1.9853853093365e-06
109056 53.25 1.98556718323467e-06 1.98554295263958e-06 1.98551307112489e-06
109568 53.5 1.98865498910263e-06 1.9886284287934e-06 1.98861809641107e-06
110080 53.75 1.99091347946469e-06 1.99091892911941e-06 1.99092835741412e-06
110592 54 1.98988127080553e-06 1.98995246220189e-06 1.98993149783985e-06
111104 54.25 1.98436337187156e-06 1.98444088387587e-06 1.98444284647291e-06
111616 54.5 1.97519345165436e-06 1.97516933407576e-06 1.97527273665031e-06
112128 54.75 1.96388011926196e-06 1.96380856181918e-06 1.96390312221582e-06
112640 55 1.9530206020206e-06 1.95297739406187e-06 1.95297942074107e-06
113152 55.25 1.94641258307985e-06 1.94644423461878e-06 1.94640933402742e-06
113664 55.5 1.94874815552137e-06 1.94881291541461e-06 1.94873035846169e-06
114176 55.75 1.95858714920467e-06 1.9586885515849e-06 1.95861766539194e-06
114688 56 1.96534261739444e-06 1.96544988138908e-06 1.96538949591637e-06
115200 56.25 1.96956104633546e-06 1.9696146096441e-06 1.96961032237746e-06
115712 56.5 1.9712087517112e-06 1.97122457980399e-06 1.97128173129827e-06
116224 56.75 1.97063803370595e-06 1.97064496278619e-06 1.97066095637376e-06
116736 57 1.97071915248083e-06 1.97074746438762e-06 1.97067168558612e-06
117248 57.25 1.97021790887305e-06 1.97023417541444e-06 1.97014402131031e-06
117760 57.5 1.96869318413169e-06 1.96875460972428e-06 1.96868295856291e-06
118272 57.75 1.96637149475827e-06 1.96641108667208e-06 1.96638244054227e-06
118784 58 1.96357314895097e-06 1.96360591828751e-06 1.96362545123466e-06
119296 58.25 1.95601186807507e-06 1.95602081606885e-06 1.95607960878081e-06
119808 58.5 1.94197599588175e-06 1.94197758111527e-06 1.94204419530374e-06
120320 58.75 1.92791056154387e-06 1.92796115886692e-06 1.92797681391425e-06
120832 59 1.91730601167235e-06 1.91736676853348e-06 1.91736038258165e-06
121344 59.25 1.90992315603479e-06 1.91001856352834e-06 1.91001935124975e-06
121856 59.5 1.9005343776681e-06 1.90057919496598e-06 1.90059498715883e-06
122368 59.75 1.88558853487188e-06 1.88559890953255e-06 1.88561784590255e-06
122880 60 1.86982570149786e-06 1.8698232097685e-06 1.86984455623104e-06
123392 60.25 1.85802377846337e-06 1.85805842103487e-06 1.85806084844499e-06
123904 60.5 1.84401049753654e-06 1.84404339490379e-06 1.84403680795539e-06
124416 60.75 1.83037463952749e-06 1.83037150583679e-06 1.8303637002552e-06
124928 61 1.81755302227552e-06 1.81759614056423e-06 1.8175544953295e-06
125440 61.25 1.80773182200942e-06 1.80778922306419e-06 1.80775921210631e-06
125952 61.5 1.8014803931001e-06 1.80152604959304e-06 1.80151279674172e-06
126464 61.75 1.79627156091874e-06 1.7962701869412e-06 1.79627678088716e-06
126976 62 1.7830498713407e-06 1.78301253165825e-06 1.78304175363936e-06
127488 62.25 1.76931320992776e-06 1.76923507324501e-06 1.76929463460202e-06
128000 62.5 1.75676761148792e-06 1.75668269153489e-06 1.7567399076869e-06
128512 62.75 1.73913419487124e-06 1.73910712978216e-06 1.73913380441656e-06
129024 63 1.71905880719052e-06 1.7190669628102e-06 1.71904630893427e-06
129536 63.25 1.70133142293395e-06 1.70132723561873e-06 1.70126912415323e-06
130048 63.5 1.69247938033402e-06 1.69241102627563e-06 1.69245380387833e-06
130560 63.75 1.69300961613899e-06 1.69293258508333e-06 1.69302019350197e-06
131072 64 1.69064165404257e-06 1.69057450423159e-06 1.69065273000073e-06
131584 64.25 1.68540850253544e-06 1.68533205462363e-06 1.68541203553694e-06
132096 64.5 1.67834183497552e-06 1.678286816527e-06 1.67836559163783e-06
132608 64.75 1.67359102268458e-06 1.67353529604699e-06 1.67363442201299e-06
133120 65 1.6708227445851e-06 1.67074483220662e-06 1.6708567705315e-06
133632 65.25 1.67008761845827e-06 1.66994627837854e-06 1.67012115266196e-06
134144 65.5 1.67386242944045e-06 1.67380550942676e-06 1.67389043418707e-06
134656 65.75 1.67718288091801e-06 1.67715538559505e-06 1.6771893224056e-06
135168 66 1.67562447184257e-06 1.67560564567472e-06 1.67562926641085e-06
135680 66.25 1.6732050338716e-06 1.67311446895874e-06 1.67321292634438e-06
136192 66.5 1.67211852874084e-06 1.67201298494546e-06 1.67215599366477e-06
136704 66.75 1.66948634583862e-06 1.66935209045863e-06 1.66951982523176e-06
137216 67 1.66466326113191e-06 1.66452479954963e-06 1.66468312166774e-06
137728 67.25 1.65581409373556e-06 1.65568100063102e-06 1.65584686212115e-06
138240 67.5 1.64491230362748e-06 1.64478243620051e-06 1.64491249020185e-06
138752 67.75 1.63220813296221e-06 1.6320867699489e-06 1.63221580135044e-06
139264 68 1.61836334655933e-06 1.61823521339723e-06 1.61839820109785e-06
139776 68.25 1.60605324264729e-06 1.60591913689607e-06 1.6061001662072e-06
140288 68.5 1.58998741769382e-06 1.58988669895988e-06 1.59000904750648e-06
140800 68.75 1.57562275024326e-06 1.57554293400321e-06 1.57568865577119e-06
141312 69 1.56302843571224e-06 1.56297637888894e-06 1.5630945977418e-06
141824 69.25 1.55239831339061e-06 1.55236438281418e-06 1.55247023733182e-06
142336 69.5 1.54283707517082e-06 1.5428053304541e-06 1.54291672204966e-06
142848 69.75 1.53346560533889e-06 1.53345168978242e-06 1.53353249626197e-06
143360 70 1.52070269273895e-06 1.52073815535885e-06 1.52080628638431e-06
143872 70.25 1.50802639706576e-06 1.50802875521159e-06 1.50811188260747e-06
144384 70.5 1.49384457600908e-06 1.49383683259784e-06 1.49391308020901e-06
144896 70.75 1.47991184257954e-06 1.47990774779171e-06 1.47998078460116e-06
145408 71 1.46640522591612e-06 1.46639105590476e-06 1.4664505747914e-06
145920 71.25 1.45203058861877e-06 1.45196185100576e-06 1.45208431716254e-06
146432 71.5 1.43930492670159e-06 1.43921770131775e-06 1.43936525619753e-06
146944 71.75 1.42630009204454e-06 1.42623500231709e-06 1.42639494216191e-06
147456 72 1.41327220160722e-06 1.41319689694152e-06 1.41335169441962e-06
147968 72.25 1.40074674815072e-06 1.40064357297509e-06 1.40080546492099e-06
148480 72.5 1.39137804282111e-06 1.39126613914213e-06 1.39140944198418e-06
148992 72.75 1.38145653635282e-06 1.38129235701449e-06 1.38146468312379e-06
149504 73 1.37286816681641e-06 1.37273513046089e-06 1.3728698875339e-06
150016 73.25 1.36220668910018e-06 1.36212553186475e-06 1.36220015746762e-06
150528 73.5 1.3551904805669e-06 1.35510262166378e-06 1.35520480566459e-06
151040 73.75 1.35051946445997e-06 1.3504476708303e-06 1.35055824462119e-06
151552 74 1.34752230254054e-06 1.34743764951729e-06 1.34753732303788e-06
152064 74.25 1.34321558191686e-06 1.3431446152226e-06 1.34322540110733e-06
152576 74.5 1.33442869450148e-06 1.33438140325016e-06 1.33444928595251e-06
153088 74.75 1.32134828945143e-06 1.32132135314095e-06 1.32138814700289e-06
153600 75 1.30831382607802e-06 1.3082736581143e-06 1.30833189615628e-06
154112 75.25 1.29773145687284e-06 1.29762604184819e-06 1.29769412311002e-06
154624 75.5 1.28628883062919e-06 1.28620318666261e-06 1.28617720930048e-06
155136 75.75 1.27351187663256e-06 1.27343965501627e-06 1.27342701126738e-06
155648 76 1.25889726717778e-06 1.25879912591623e-06 1.25886306148563e-06
156160 76.25 1.24150795404804e-06 1.24138910042015e-06 1.24149721716609e-06
156672 76.5 1.22066051662631e-06 1.22051278201798e-06 1.22062007896957e-06
157184 76.75 1.20008885548085e-06 1.20002709165099e-06 1.20008729589345e-06
157696 77 1.18149453623413e-06 1.18141674953876e-06 1.18150794690277e-06
158208 77.25 1.16603972017919e-06 1.16588822560937e-06 1.16604097344888e-06
158720 77.5 1.15035842702756e-06 1.15019221217359e-06 1.15037727315306e-06
159232 77.75 1.13355544799273e-06 1.13337559506116e-06 1.13353664801806e-06
159744 78 1.11297508237387e-06 1.11281259386309e-06 1.11298017907856e-06
160256 78.25 1.08931342718963e-06 1.08915641260616e-06 1.08933156219455e-06
160768 78.5 1.06576429347267e-06 1.06558627608001e-06 1.06574680538105e-06
161280 78.75 1.0421768938025e-06 1.04202541423161e-06 1.0421538927123e-06
161792 79 1.01630390115124e-06 1.01620627035544e-06 1.01628129601437e-06
162304 79.25 9.89592919696816e-07 9.8944111801549e-07 9.89507859951127e-07
162816 79.5 9.66468256722298e-07 9.66328301455491e-07 9.66434034916103e-07
163328 79.75 9.48192328797583e-07 9.48067519713769e-07 9.48179009664183e-07
163840 80 9.33768360589055e-07 9.33632756012449e-07 9.33752786546491e-07
164352 80.25 9.18419689309485e-07 9.18306650535785e-07 9.18445571153746e-07
164864 80.5 8.98355814533566e-07 8.98344556480664e-07 8.98483938294917e-07
165376 80.75 8.74627360898905e-07 8.74598208937242e-07 8.74726472598758e-07
165888 81 8.52814536897738e-07 8.52775794604201e-07 8.52862701785473e-07
166400 81.25 8.35642803363786e-07 8.35546022337662e-07 8.35611599529884e-07
166912 81.5 8.21256799532455e-07 8.21115184882591e-07 8.2124134905488e-07
167424 81.75 8.07301188815087e-07 8.0719563384082e-07 8.07340673038793e-07
167936 82 7.92577831256453e-07 7.9251712903419e-07 7.92625852639331e-07
168448 82.25 7.78400112506996e-07 7.78357604643816e-07 7.78527577116583e-07
