# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 1.14224874918869e-05 1.14224874918814e-05 1.1422487491876e-05
1024 0.5 1.61059356340104e-05 1.61059356340005e-05 1.61059356339747e-05
1536 0.75 2.05819433471e-05 2.05819433470913e-05 2.05819433470826e-05
2048 1 2.74914849356388e-05 2.74914849356465e-05 2.74914849356548e-05
2560 1.25 3.44744677306084e-05 3.44744677306107e-05 3.44744677306133e-05
3072 1.5 4.12573527997198e-05 4.12573527997222e-05 4.1257352799722e-05
3584 1.75 4.7418092654712e-05 4.74180926547108e-05 4.74180926547045e-05
4096 2 5.26053140741383e-05 5.26053140741334e-05 5.26053140741203e-05
4608 2.25 5.67524097451769e-05 5.67524097451879e-05 5.67524097451919e-05
5120 2.5 6.01229871711047e-05 6.01229871711121e-05 6.01229871711266e-05
5632 2.75 6.31378409554138e-05 6.3137840955475e-05 6.31378409554469e-05
6144 3 6.60803576863748e-05 6.60803576864594e-05 6.60803576863763e-05
6656 3.25 6.89266025359642e-05 6.89266025361163e-05 6.89266025359977e-05
7168 3.5 7.14049949731878e-05 7.1404994973187e-05 7.14049949734344e-05
7680 3.75 7.32418180722745e-05 7.32418180722305e-05 7.32418180723742e-05
8192 4 7.43947725948954e-05 7.43947725951537e-05 7.43947725942411e-05
8704 4.25 7.50566054513263e-05 7.50566054505371e-05 7.50566054486675e-05
9216 4.5 7.54197647774024e-05 7.54197647714687e-05 7.54197647759835e-05
9728 4.75 7.54260519676737e-05 7.54260519338237e-05 7.54260519700146e-05
10240 5 7.47395357220119e-05 7.47395356383735e-05 7.47395357178446e-05
10752 5.25 7.29828991827918e-05 7.29828991232554e-05 7.29828991428001e-05
11264 5.5 7.00657998614979e-05 7.00658000509192e-05 7.00657997533332e-05
11776 5.75 6.63881859299291e-05 6.63881865726765e-05 6.63881858507322e-05
12288 6 6.27421607198464e-05 6.2742161530245e-05 6.27421610381199e-05
12800 6.25 5.98473548209397e-05 5.98473546712289e-05 5.98473558528496e-05
13312 6.5 5.79868097263639e-05 5.79868063535413e-05 5.79868220773937e-05
13824 6.75 5.55954375033994e-05 5.55954333723593e-05 5.55954362812783e-05
14336 7 5.42483464903217e-05 5.42483451429452e-05 5.42483580049945e-05
14848 7.25 5.1246606764609e-05 5.1246606942409e-05 5.12465995735922e-05
15360 7.5 4.58918760180813e-05 4.58918701819363e-05 4.58918030291274e-05
15872 7.75 4.36681154183724e-05 4.36681188714731e-05 4.36680353461923e-05
16384 8 4.04143259407645e-05 4.0414371856465e-05 4.04143096678078e-05
16896 8.25 3.8800038055422e-05 3.88003076289766e-05 3.88006352751303e-05
17408 8.5 3.73672793149862e-05 3.73673929139881e-05 3.73674175519939e-05
17920 8.75 3.7288602363596e-05 3.72887168089344e-05 3.72889606983811e-05
18432 9 3.39369238157223e-05 3.3938311062662e-05 3.39372037669178e-05
18944 9.25 3.62487270861113e-05 3.62487267249732e-05 3.62487371528371e-05
19456 9.5 3.80366471033813e-05 3.80366488182427e-05 3.80366426126378e-05
19968 9.75 3.78299893011314e-05 3.78299898741155e-05 3.78299708891514e-05
20480 10 3.94348058635516e-05 3.94348132727914e-05 3.94348055892773e-05
20992 10.25 4.03580091256894e-05 4.03580199189802e-05 4.03580318369303e-05
21504 10.5 4.04174381731342e-05 4.04174433304661e-05 4.04174695868678e-05
22016 10.75 4.0733160028766e-05 4.07331580093873e-05 4.07331405806794e-05
22528 11 4.6260135703246e-05 4.62601467463563e-05 4.62601218209519e-05
23040 11.25 5.1547953309521e-05 5.15479691161805e-05 5.1547956610621e-05
23552 11.5 5.60845140875458e-05 5.60845617407664e-05 5.60844978619667e-05
24064 11.75 5.90721149432395e-05 5.90721387609148e-05 5.90721488346427e-05
24576 12 5.9576064765684e-05 5.95760811845924e-05 5.95760851766024e-05
25088 12.25 5.72847227767497e-05 5.72847226944979e-05 5.72847709106674e-05
25600 12.5 5.31190322231337e-05 5.31190165358714e-05 5.31190902297132e-05
26112 12.75 4.79935354943111e-05 4.79935133208253e-05 4.79935972471782e-05
26624 13 4.72715003787693e-05 4.72715310721249e-05 4.72714931738139e-05
27136 13.25 4.65946062694959e-05 4.65946111434851e-05 4.65945879504383e-05
27648 13.5 4.65641657358926e-05 4.65641174819432e-05 4.6564112667893e-05
28160 13.75 4.73193607288943e-05 4.73192536419718e-05 4.73192994908779e-05
28672 14 4.79103297982684e-05 4.79102210714945e-05 4.79103141464732e-05
29184 14.25 4.7012511283828e-05 4.70124676162651e-05 4.70125466324262e-05
29696 14.5 4.43954173935308e-05 4.43954344784876e-05 4.43954712274837e-05
30208 14.75 4.18565440962886e-05 4.18566164749845e-05 4.18565102570885e-05
30720 15 3.98545241837362e-05 3.98547475968593e-05 3.98546506034964e-05
31232 15.25 3.90856421171942e-05 3.90858829640345e-05 3.90856966197251e-05
31744 15.5 4.04268909846243e-05 4.04273789706917e-05 4.04270024866426e-05
32256 15.75 4.09441621406211e-05 4.09443124378113e-05 4.09441047054367e-05
32768 16 4.0566418438807e-05 4.05658796258761e-05 4.05661372113998e-05
33280 16.25 3.88411017949236e-05 3.88403878888286e-05 3.88409083739141e-05
33792 16.5 3.51020733674436e-05 3.51021514126699e-05 3.51023659527862e-05
34304 16.75 3.42539030245291e-05 3.42549947123833e-05 3.42545061582409e-05
34816 17 3.34272591557401e-05 3.34295538794478e-05 3.34271354235466e-05
35328 17.25 3.12606411084213e-05 3.12629184703676e-05 3.12605357719223e-05
35840 17.5 3.22512254041026e-05 3.22512263640442e-05 3.22490172439926e-05
36352 17.75 3.09104446528435e-05 3.0908105004683e-05 3.09091798080786e-05
36864 18 3.1506941590014e-05 3.14639300172496e-05 3.14692027991743e-05
37376 18.25 3.17688701216386e-05 3.17125529244764e-05 3.17221835981992e-05
37888 18.5 2.77399504810584e-05 2.76738931289452e-05 2.77438741326982e-05
38400 18.75 2.77267215635732e-05 2.77501413708542e-05 2.77283008448656e-05
38912 19 2.66307746954403e-05 2.66416034483491e-05 2.66290233092012e-05
39424 19.25 3.00669224020793e-05 3.00649233380188e-05 3.00797444626674e-05
39936 19.5 3.02959129090776e-05 3.02963821176462e-05 3.02994555447468e-05
40448 19.75 2.64815800395204e-05 2.64816843054054e-05 2.64817283970207e-05
40960 20 2.51995705608681e-05 2.51998534403752e-05 2.51998115190598e-05
41472 20.25 2.69036349733399e-05 2.69912347783035e-05 2.69180382022734e-05
41984 20.5 2.56741385838567e-05 2.56742212394897e-05 2.56745202198424e-05
42496 20.75 2.55558376174966e-05 2.53701970867476e-05 2.55051421283138e-05
43008 21 2.49504440141961e-05 2.50563768607589e-05 2.49353777397204e-05
43520 21.25 2.44326294979978e-05 2.47605694614308e-05 2.45091035436513e-05
44032 21.5 2.48353095284933e-05 2.48409745783872e-05 2.4913299252575e-05
44544 21.75 2.53423257022844e-05 2.54464893799343e-05 2.53957689844373e-05
45056 22 2.58817835761904e-05 2.59451903399105e-05 2.59505961354394e-05
45568 22.25 2.38871464970626e-05 2.42687299067033e-05 2.39664448438923e-05
46080 22.5 2.51651683014088e-05 2.50587485373852e-05 2.52732262255799e-05
46592 22.75 2.39926811998751e-05 2.38094219815957e-05 2.40681345982636e-05
