# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.125 1.7070507646335e-08 1.7070507646335e-08 1.7070507646335e-08
1024 0.25 8.19295197148273e-08 8.19295197148279e-08 8.19295197148287e-08
1536 0.375 2.29110558020971e-07 2.29110558020971e-07 2.29110558020971e-07
2048 0.5 5.59277672702871e-07 5.59277672702871e-07 5.59277672702871e-07
2560 0.625 1.04307045710539e-06 1.04307045710539e-06 1.04307045710539e-06
3072 0.75 1.6313859257804e-06 1.6313859257804e-06 1.6313859257804e-06
3584 0.875 2.25028489278434e-06 2.25028489278434e-06 2.25028489278435e-06
4096 1 2.82220655057386e-06 2.82220655057386e-06 2.82220655057386e-06
4608 1.125 3.29630304573971e-06 3.29630304573971e-06 3.29630304573974e-06
5120 1.25 4.16911618958782e-06 4.16911618958783e-06 4.16911618958786e-06
5632 1.375 5.10940593555821e-06 5.10940593555834e-06 5.10940593555823e-06
6144 1.5 6.09845099186548e-06 6.09845099186577e-06 6.09845099186549e-06
6656 1.625 7.11510112152804e-06 7.11510112152893e-06 7.11510112152892e-06
7168 1.75 8.13558589241329e-06 8.1355858924233e-06 8.13558589241369e-06
7680 1.875 9.13400870069523e-06 9.13400870070138e-06 9.13400870068446e-06
8192 2 1.00834166167369e-05 1.00834166167199e-05 1.00834166167384e-05
8704 2.125 1.09568323081563e-05 1.0956832308142e-05 1.09568323082273e-05
9216 2.25 1.17276224035367e-05 1.17276224035265e-05 1.17276224035984e-05
9728 2.375 1.2369047345917e-05 1.2369047345936e-05 1.23690473458195e-05
10240 2.5 1.28534289344774e-05 1.28534289345523e-05 1.28534289343308e-05
10752 2.625 1.3151648999916e-05 1.31516490000703e-05 1.31516490000101e-05
11264 2.75 1.32334884678852e-05 1.32334884680351e-05 1.32334884680847e-05
11776 2.875 1.30687618935515e-05 1.30687618934921e-05 1.30687618935333e-05
12288 3 1.26286590984386e-05 1.26286590981662e-05 1.26286590983133e-05
12800 3.125 1.18866014300448e-05 1.18866014298453e-05 1.18866014299836e-05
13312 3.25 1.08184220319227e-05 1.08184220319377e-05 1.08184220317447e-05
13824 3.375 9.41345446258458e-06 9.41345446265183e-06 9.41345446298497e-06
14336 3.5 8.27125718263869e-06 8.27125700351013e-06 8.27125821452297e-06
14848 3.625 9.17683784528836e-06 9.17683901962146e-06 9.1768373592767e-06
15360 3.75 1.01395069307571e-05 1.01395092930272e-05 1.01395064929689e-05
15872 3.875 1.11401714240673e-05 1.11401744343863e-05 1.11401709363194e-05
16384 4 1.21607664074069e-05 1.21607689914088e-05 1.21607660801148e-05
16896 4.125 1.31872216263594e-05 1.31872233554135e-05 1.31872219296424e-05
17408 4.25 1.42347745079855e-05 1.42347757952644e-05 1.42347750689958e-05
17920 4.375 1.53264345697744e-05 1.53264355538779e-05 1.53264343600047e-05
18432 4.5 1.64519674120318e-05 1.64519675757164e-05 1.64519667405205e-05
18944 4.625 1.75830578448866e-05 1.75830571176076e-05 1.75830583654042e-05
19456 4.75 1.87179684715917e-05 1.8717968030079e-05 1.87179705169669e-05
19968 4.875 1.98685241199441e-05 1.98685255221117e-05 1.9868526431306e-05
20480 5 2.10405938417383e-05 2.10405969550724e-05 2.10405946959384e-05
20992 5.125 2.23101535407126e-05 2.23101559185047e-05 2.23101535568409e-05
21504 5.25 2.36068807302561e-05 2.36068796913185e-05 2.36068812196405e-05
22016 5.375 2.48337061653818e-05 2.48337036151961e-05 2.48337063206057e-05
22528 5.5 2.59718374785168e-05 2.59718368800281e-05 2.59718365991038e-05
23040 5.625 2.71292805936742e-05 2.71292814491323e-05 2.71292814068352e-05
23552 5.75 2.83189665923839e-05 2.83189708748261e-05 2.83189700595677e-05
24064 5.875 2.94678812399662e-05 2.94678848614773e-05 2.94678844725089e-05
24576 6 3.07565529086764e-05 3.07565594635816e-05 3.07565572802582e-05
25088 6.125 3.20179513347357e-05 3.2017953379841e-05 3.20179529005176e-05
25600 6.25 3.30850714026272e-05 3.30850637282205e-05 3.30850658185341e-05
