# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.00370720323063203
512 0.125 0.0037066513979034
1024 0.25 0.00370604452435229
1536 0.375 0.00370539486809771
2048 0.5 0.00370471700628015
2560 0.625 0.00370402470246265
3072 0.75 0.00370333043501624
3584 0.875 0.00370264507708201
4096 1 0.00370197717386249
4608 1.125 0.00370133121451279
5120 1.25 0.00370070841325777
5632 1.375 0.00370010472983869
6144 1.5 0.00369950495828904
6656 1.625 0.00369890374241131
7168 1.75 0.00369829906498342
7680 1.875 0.00369768902703237
8192 2 0.00369707180680647
8704 2.125 0.00369644562849403
9216 2.25 0.00369580874276777
9728 2.375 0.0036951594167345
10240 2.5 0.00369449592989768
10752 2.625 0.00369381657502977
11264 2.75 0.00369311960010173
11776 2.875 0.00369240315522424
12288 3 0.00369166545402625
12800 3.125 0.00369090481569069
13312 3.25 0.00369011938515379
13824 3.375 0.00368929767417763
14336 3.5 0.00368843361363047
14848 3.625 0.00368752553985603
15360 3.75 0.00368657256587468
15872 3.875 0.00368557362619622
16384 4 0.00368452798337037
16896 4.125 0.00368343598634001
17408 4.25 0.00368229893773147
17920 4.375 0.00368111891916043
18432 4.5 0.00367989861875952
18944 4.625 0.00367864113591845
19456 4.75 0.00367734979624399
19968 4.875 0.00367602799533955
20480 5 0.00367467906439489
20992 5.125 0.00367330615741518
21504 5.25 0.00367191216005392
22016 5.375 0.00367049962110874
22528 5.5 0.00366907070383985
23040 5.625 0.00366762716148052
23552 5.75 0.00366617034231631
24064 5.875 0.00366470120638476
24576 6 0.0036632203470917
25088 6.125 0.00366172801728025
25600 6.25 0.00366022415653812
26112 6.375 0.00365870842528345
26624 6.5 0.00365718025830162
27136 6.625 0.00365563892774106
27648 6.75 0.00365408356933093
28160 6.875 0.00365251319540185
28672 7 0.0036509267051123
29184 7.125 0.0036493228935483
29696 7.25 0.00364770046147265
30208 7.375 0.00364605802654265
30720 7.5 0.00364439414372854
31232 7.625 0.00364270734585622
31744 7.75 0.00364099614568469
32256 7.875 0.00363925870129413
32768 8 0.00363749281718874
33280 8.125 0.00363569637893013
33792 8.25 0.00363386742286065
34304 8.375 0.00363200416211848
34816 8.5 0.00363010497866388
35328 8.625 0.0036281683814448
35840 8.75 0.00362619298642257
36352 8.875 0.00362417758544987
36864 9 0.00362212132416714
37376 9.125 0.00362002392810096
37888 9.25 0.00361788585525
38400 9.375 0.00361570820289797
38912 9.5 0.00361349214215164
39424 9.625 0.00361123841543671
39936 9.75 0.00360894722258128
40448 9.875 0.00360661859427345
40960 10 0.00360425296497623
41472 10.125 0.00360185147220194
41984 10.25 0.00359941575656377
42496 10.375 0.00359694748534088
43008 10.5 0.00359444801866943
43520 10.625 0.00359191840945519
44032 10.75 0.00358935957621443
44544 10.875 0.00358677240526
45056 11 0.00358415773483187
45568 11.125 0.00358151632805675
46080 11.25 0.00357884887988151
46592 11.375 0.00357615599657333
47104 11.5 0.00357343812963773
47616 11.625 0.00357069554140744
48128 11.75 0.00356792833902121
48640 11.875 0.00356513650045718
49152 12 0.00356231984259077
49664 12.125 0.0035594780169415
50176 12.25 0.00355661061365427
50688 12.375 0.00355371727872254
51200 12.5 0.00355079769335498
51712 12.625 0.00354785145610992
52224 12.75 0.00354487806132508
52736 12.875 0.00354187703199164
53248 13 0.00353884804819136
53760 13.125 0.00353579094442688
54272 13.25 0.00353270564581843
54784 13.375 0.00352959214516559
55296 13.5 0.00352645048847333
55808 13.625 0.00352328072431392
56320 13.75 0.00352008290326227
56832 13.875 0.00351685719662879
57344 14 0.00351360400417249
57856 14.125 0.00351032388595265
58368 14.25 0.00350701739809923
58880 14.375 0.00350368505446525
59392 14.5 0.0035003274318205
59904 14.625 0.00349694520956847
60416 14.75 0.00349353905437379
60928 14.875 0.00349010952103733
61440 15 0.00348665711380246
61952 15.125 0.00348318239974002
62464 15.25 0.00347968600165584
62976 15.375 0.00347616849061384
63488 15.5 0.00347263031785424
64000 15.625 0.00346907182787669
64512 15.75 0.00346549329128778
65024 15.875 0.00346189492638081
65536 16 0.00345827692013896
66048 16.125 0.00345463943469877
66560 16.25 0.00345098259017398
67072 16.375 0.00344730646573968
67584 16.5 0.00344361113794618
68096 16.625 0.00343989669320482
68608 16.75 0.00343616317752235
69120 16.875 0.00343241056959153
69632 17 0.00342863886130277
70144 17.125 0.00342484816734383
70656 17.25 0.00342103872223679
71168 17.375 0.00341721078195584
71680 17.5 0.00341336458449409
72192 17.625 0.00340950042348977
72704 17.75 0.0034056187168652
73216 17.875 0.00340171997410357
73728 18 0.00339780472662476
74240 18.125 0.00339387352810495
74752 18.25 0.00338992701081593
75264 18.375 0.00338596590029396
75776 18.5 0.00338199095602398
76288 18.625 0.00337800290797889
76800 18.75 0.00337400246454557
77312 18.875 0.00336999040778097
77824 19 0.00336596758436172
78336 19.125 0.00336193480780168
78848 19.25 0.00335789272921095
79360 19.375 0.00335384182289474
79872 19.5 0.00334978245873441
80384 19.625 0.00334571498894274
80896 19.75 0.00334163976958756
81408 19.875 0.00333755711670292
81920 20 0.0033334672575365
82432 20.125 0.00332937034922114
82944 20.25 0.00332526654881291
83456 20.375 0.00332115608417194
83968 20.5 0.00331703929632315
84480 20.625 0.00331291666960801
84992 20.75 0.00330878885132282
85504 20.875 0.00330465663158475
86016 21 0.0033005208661608
86528 21.125 0.00329638236819095
87040 21.25 0.0032922418043504
87552 21.375 0.0032880995915607
88064 21.5 0.00328395578310502
88576 21.625 0.00327980993450164
89088 21.75 0.00327566099882143
89600 21.875 0.00327150734549107
90112 22 0.00326734692176231
90624 22.125 0.00326317752508345
91136 22.25 0.00325899710228132
91648 22.375 0.00325480401551703
92160 22.5 0.00325059728396988
92672 22.625 0.00324637677833193
93184 22.75 0.00324214332565814
93696 22.875 0.00323789865838437
94208 23 0.00323364516976142
94720 23.125 0.00322938551327116
95232 23.25 0.0032251221382721
95744 23.375 0.00322085689103212
96256 23.5 0.00321659091030941
96768 23.625 0.00321232467351173
97280 23.75 0.00320805806964841
97792 23.875 0.0032037906579478
98304 24 0.00319952201741552
98816 24.125 0.00319525194356822
99328 24.25 0.00319098072920421
99840 24.375 0.00318670929682499
100352 24.5 0.00318243911948713
100864 24.625 0.00317817187034802
101376 24.75 0.00317390898591145
101888 24.875 0.00316965131271043
102400 25 0.00316539895658022
102912 25.125 0.00316115135552038
103424 25.25 0.00315690750533737
103936 25.375 0.00315266624198044
104448 25.5 0.00314842651527649
104960 25.625 0.00314418761974911
105472 25.75 0.00313994933629195
105984 25.875 0.00313571191438646
106496 26 0.00313147585927083
