# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 1.1053990159357e-10
512 0.125 1.1053990159357e-10
1024 0.25 1.1053990159357e-10
1536 0.375 1.1053990159357e-10
2048 0.5 1.1053990159357e-10
2560 0.625 1.1053990159357e-10
3072 0.75 1.1053990159357e-10
3584 0.875 1.1053990159357e-10
4096 1 1.1053990159357e-10
4608 1.125 1.1053990159357e-10
5120 1.25 1.1053990159357e-10
5632 1.375 1.1053990159357e-10
6144 1.5 1.1053990159357e-10
6656 1.625 1.1053990159357e-10
7168 1.75 1.1053990159357e-10
7680 1.875 1.1053990159357e-10
8192 2 1.1053990159357e-10
8704 2.125 1.1053990159357e-10
9216 2.25 1.1053990159357e-10
9728 2.375 1.1053990159357e-10
10240 2.5 1.1053990159357e-10
10752 2.625 1.1053990159357e-10
11264 2.75 1.1053990159357e-10
11776 2.875 1.1053990159357e-10
12288 3 1.1053990159357e-10
12800 3.125 1.10539931771058e-10
13312 3.25 1.10540042905559e-10
13824 3.375 1.10540154915083e-10
14336 3.5 1.10540267733705e-10
14848 3.625 1.10540381345015e-10
15360 3.75 1.10540495761507e-10
15872 3.875 1.10540610993741e-10
16384 4 1.10540727029782e-10
16896 4.125 1.10540843834006e-10
17408 4.25 1.10540961360479e-10
17920 4.375 1.10541079569537e-10
18432 4.5 1.1054119843841e-10
18944 4.625 1.10541317962752e-10
19456 4.75 1.10541438150604e-10
19968 4.875 1.1054155901234e-10
20480 5 1.10541680550853e-10
20992 5.125 1.10541802756293e-10
21504 5.25 1.10541925608009e-10
22016 5.375 1.10542049082787e-10
22528 5.5 1.10542173164598e-10
23040 5.625 1.1054229784997e-10
23552 5.75 1.10542423145839e-10
24064 5.875 1.10542549061661e-10
24576 6 1.10542675601045e-10
25088 6.125 1.10542802757934e-10
25600 6.25 1.10542930518975e-10
26112 6.375 1.10543058869788e-10
26624 6.5 1.10543187800959e-10
27136 6.625 1.10543317310504e-10
27648 6.75 1.10543447402085e-10
28160 6.875 1.10543578080644e-10
28672 7 1.10543709348052e-10
29184 7.125 1.10543841200896e-10
29696 7.25 1.10543973631163e-10
30208 7.375 1.10544106629215e-10
30720 7.5 1.10544240187429e-10
31232 7.625 1.10544374302643e-10
31744 7.75 1.10544508976133e-10
32256 7.875 1.10544644211172e-10
32768 8 1.10544780009557e-10
33280 8.125 1.10544916369135e-10
33792 8.25 1.1054505328372e-10
34304 8.375 1.10545190745355e-10
34816 8.5 1.10545328747416e-10
35328 8.625 1.10545467286704e-10
35840 8.75 1.10545606363389e-10
36352 8.875 1.10545745979071e-10
36864 9 1.10545886134255e-10
37376 9.125 1.10546026826688e-10
37888 9.25 1.10546168051351e-10
38400 9.375 1.10546309801895e-10
38912 9.5 1.10546452072612e-10
39424 9.625 1.10546594859879e-10
39936 9.75 1.10546738162383e-10
40448 9.875 1.10546881980094e-10
40960 10 1.10547026312588e-10
41472 10.125 1.10547171157633e-10
41984 10.25 1.10547316510781e-10
42496 10.375 1.10547462366187e-10
43008 10.5 1.10547608718141e-10
43520 10.625 1.1054775556244e-10
44032 10.75 1.10547902896812e-10
44544 10.875 1.1054805072018e-10
45056 11 1.10548199031258e-10
45568 11.125 1.10548347827316e-10
46080 11.25 1.10548497103813e-10
46592 11.375 1.10548646855018e-10
47104 11.5 1.10548797075205e-10
47616 11.625 1.10548947759697e-10
48128 11.75 1.10549098905216e-10
48640 11.875 1.10549250509423e-10
49152 12 1.10549402569949e-10
49664 12.125 1.10549555083472e-10
50176 12.25 1.10549708045312e-10
50688 12.375 1.10549861449732e-10
51200 12.5 1.10550015290742e-10
51712 12.625 1.1055016956297e-10
52224 12.75 1.10550324262104e-10
52736 12.875 1.10550479384693e-10
53248 13 1.10550634927414e-10
53760 13.125 1.10550790886255e-10
54272 13.25 1.10550947256059e-10
54784 13.375 1.10551104030693e-10
55296 13.5 1.10551261203705e-10
55808 13.625 1.10551418769073e-10
