# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 1.50619567579048
512 0.125 1.50619567579855
1024 0.25 1.50619567582542
1536 0.375 1.50619567587827
2048 0.5 1.50619567594701
2560 0.625 1.50619567603726
3072 0.75 1.50619567614284
3584 0.875 1.50619567626383
4096 1 1.50619567640067
4608 1.125 1.50619567653431
5120 1.25 1.50619567667909
5632 1.375 1.5061956768462
6144 1.5 1.50619567702238
6656 1.625 1.50619567719988
7168 1.75 1.50619567738032
7680 1.875 1.50619567757209
8192 2 1.50619567777555
8704 2.125 1.50619567798228
9216 2.25 1.50619567818346
9728 2.375 1.50619567838659
10240 2.5 1.50619567859456
10752 2.625 1.50619567880683
11264 2.75 1.50619567902595
11776 2.875 1.50619567925126
12288 3 1.50619567947315
12800 3.125 1.50619567969552
13312 3.25 1.50619567991147
13824 3.375 1.50619568013437
14336 3.5 1.50619568036174
14848 3.625 1.50619568059004
15360 3.75 1.50619568082009
15872 3.875 1.50619568105406
16384 4 1.50619568127846
16896 4.125 1.50619568150894
17408 4.25 1.50619568173137
17920 4.375 1.50619568196
18432 4.5 1.50619568218652
18944 4.625 1.50619568241915
19456 4.75 1.50619568264966
19968 4.875 1.50619568288355
20480 5 1.50619568311075
20992 5.125 1.50619568333902
21504 5.25 1.50619568356811
22016 5.375 1.50619568379453
22528 5.5 1.50619568402285
23040 5.625 1.50619568424897
23552 5.75 1.50619568447301
24064 5.875 1.50619568469918
24576 6 1.50619568492546
25088 6.125 1.50619568515215
25600 6.25 1.50619568537751
26112 6.375 1.50619568560389
26624 6.5 1.50619568583192
27136 6.625 1.50619568605356
27648 6.75 1.50619568627664
28160 6.875 1.50619568649662
28672 7 1.50619568671771
29184 7.125 1.50619568693985
29696 7.25 1.50619568715856
30208 7.375 1.5061956873785
30720 7.5 1.50619568759774
31232 7.625 1.50619568781875
31744 7.75 1.50619568804089
32256 7.875 1.5061956882614
32768 8 1.50619568848022
33280 8.125 1.5061956886984
33792 8.25 1.50619568890834
34304 8.375 1.50619568912237
34816 8.5 1.50619568933506
35328 8.625 1.50619568955008
35840 8.75 1.50619568976913
36352 8.875 1.50619568998702
36864 9 1.50619569020427
37376 9.125 1.506195690418
37888 9.25 1.50619569063159
38400 9.375 1.50619569084454
38912 9.5 1.50619569105679
39424 9.625 1.50619569126889
39936 9.75 1.50619569147944
40448 9.875 1.5061956916862
40960 10 1.50619569189523
41472 10.125 1.50619569210427
41984 10.25 1.50619569230903
42496 10.375 1.50619569251743
43008 10.5 1.5061956927253
43520 10.625 1.5061956929341
44032 10.75 1.50619569313999
44544 10.875 1.50619569334401
45056 11 1.50619569354647
45568 11.125 1.5061956937444
46080 11.25 1.50619569394224
46592 11.375 1.50619569413636
47104 11.5 1.50619569433781
47616 11.625 1.50619569453783
48128 11.75 1.50619569473406
48640 11.875 1.50619569493465
