# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 1.1e-08
512 0.125 1.1e-08
1024 0.25 1.1e-08
1536 0.375 1.1e-08
2048 0.5 1.1e-08
2560 0.625 1.1e-08
3072 0.75 1.1e-08
3584 0.875 1.1e-08
4096 1 1.1e-08
4608 1.125 1.1e-08
5120 1.25 1.1e-08
5632 1.375 1.1e-08
6144 1.5 1.1e-08
6656 1.625 1.1e-08
7168 1.75 1.1e-08
7680 1.875 1.1e-08
8192 2 1.1e-08
8704 2.125 1.1e-08
9216 2.25 1.1e-08
9728 2.375 1.1e-08
10240 2.5 1.1e-08
10752 2.625 1.1e-08
11264 2.75 1.1e-08
11776 2.875 1.1e-08
12288 3 1.1e-08
12800 3.125 1.1e-08
13312 3.25 1.1e-08
13824 3.375 1.1e-08
14336 3.5 1.1e-08
14848 3.625 1.1e-08
15360 3.75 1.1e-08
15872 3.875 1.1e-08
16384 4 1.1e-08
16896 4.125 1.1e-08
17408 4.25 1.1e-08
17920 4.375 1.1e-08
18432 4.5 1.1e-08
18944 4.625 1.1e-08
19456 4.75 1.1e-08
19968 4.875 1.1e-08
20480 5 1.1e-08
20992 5.125 1.1e-08
21504 5.25 1.1e-08
22016 5.375 1.1e-08
22528 5.5 1.1e-08
23040 5.625 1.1e-08
23552 5.75 1.1e-08
24064 5.875 1.1e-08
24576 6 1.1e-08
25088 6.125 1.1e-08
