# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.125 0.0169771278662927 0.0169771278662927 0.0169771278662927
1024 0.25 0.0164455771971174 0.0164455771971174 0.0164455771971174
1536 0.375 0.0159215868899613 0.0159215868899613 0.0159215868899613
2048 0.5 0.0154109660046888 0.0154109660046888 0.0154109660046888
2560 0.625 0.0149149293843372 0.0149149293843372 0.0149149293843372
3072 0.75 0.0144336418459055 0.0144336418459055 0.0144336418459055
3584 0.875 0.0139670372111002 0.0139670372111001 0.0139670372111002
4096 1 0.0135151192299779 0.0135151192299779 0.0135151192299779
4608 1.125 0.0130776719221001 0.0130776719221001 0.0130776719221001
5120 1.25 0.0126543587772769 0.012654358777277 0.012654358777277
5632 1.375 0.012245127135646 0.0122451271356462 0.0122451271356451
6144 1.5 0.0118498900243112 0.0118498900243086 0.0118498900243073
6656 1.625 0.0114683691741969 0.0114683691741892 0.0114683691920911
7168 1.75 0.0111002097199379 0.0111002097183585 0.0111002099079484
7680 1.875 0.0107450797298554 0.010745079736097 0.010745080186607
8192 2 0.010402667254094 0.0104026672793063 0.0104026680553729
8704 2.125 0.0100697550412532 0.0100697550889155 0.010069756253891
9216 2.25 0.00973748794817058 0.00973748806153573 0.00973748966436094
9728 2.375 0.00939237665690225 0.0093923768788511 0.00939237900658958
10240 2.5 0.00902617711507609 0.00902617753291969 0.0090261802493244
10752 2.625 0.00864400039605457 0.00864400088334151 0.00864400424412614
