# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.125 -0.00145849818416065 -0.00145849818416065 -0.00145849818416065
1024 0.25 -0.00291498928451105 -0.00291498928451105 -0.00291498928451105
1536 0.375 -0.00435514170975598 -0.00435514170975598 -0.00435514170975598
2048 0.5 -0.00580338201342741 -0.00580338201342741 -0.00580338201342741
2560 0.625 -0.00726061969996124 -0.00726061969996124 -0.00726061969996124
3072 0.75 -0.0087204005183071 -0.0087204005183071 -0.0087204005183071
3584 0.875 -0.0101568309055459 -0.0101568309055459 -0.0101568309055459
4096 1 -0.0116188536086553 -0.0116188536086553 -0.0116188536086553
4608 1.125 -0.0125768382139767 -0.0125768382139767 -0.0125768382021466
5120 1.25 -0.0140373521395644 -0.0140373521395644 -0.014037352163114
5632 1.375 -0.0155029190891455 -0.0155029190892079 -0.0155029190287313
6144 1.5 -0.0169591508672352 -0.0169591513427573 -0.0169593717782336
6656 1.625 -0.0184203577153901 -0.0184190781661734 -0.018422977634866
7168 1.75 -0.0198790644552257 -0.0198766455777533 -0.0198767285958282
7680 1.875 -0.0213232328940556 -0.0213242626853697 -0.0213292848632792
8192 2 -0.0227749953551167 -0.0227843019856166 -0.0227906781696819
8704 2.125 -0.023729833850323 -0.0237310230204797 -0.0237312378303182
9216 2.25 -0.0251839865612693 -0.0251805091976594 -0.025181727209344
9728 2.375 -0.0266437708292348 -0.0266395399098824 -0.0266406119084834
10240 2.5 -0.0280978452090744 -0.0280921907553374 -0.0280792252573027
10752 2.625 -0.0295350430307256 -0.0292104554530068 -0.0294978045601223
11264 2.75 -0.0306420990264726 -0.0306626646531498 -0.0306464298538082
11776 2.875 -0.0320672911122904 -0.0320996797359131 -0.0320466920892423
12288 3 -0.0331130379883874 -0.0331419758992991 -0.0334679227291087
12800 3.125 -0.0345281205501153 -0.0345684004327847 -0.0345609264223061
13312 3.25 -0.03592962585972 -0.0359847166137038 -0.0359569566850373
13824 3.375 -0.0373174312622951 -0.0373807221383889 -0.0373933757832741
14336 3.5 -0.037749555643987 -0.0377664830472163 -0.0376542901739866
14848 3.625 -0.0391658439704164 -0.0391761466349622 -0.039033307369996
15360 3.75 -0.0405860937121922 -0.0405740266246312 -0.0405068407670937
15872 3.875 -0.0419889007014175 -0.0419593845585898 -0.0419544692665398
16384 4 -0.043366922391855 -0.0434235018819225 -0.0434093301096191
16896 4.125 -0.043466105671549 -0.0434653148823057 -0.0435589867946683
17408 4.25 -0.0449416835408233 -0.0448831622992717 -0.0449802424342216
17920 4.375 -0.0463586169764313 -0.0463321250999514 -0.0463820343753104
18432 4.5 -0.0477652296449781 -0.0477790210379474 -0.047791529245228
18944 4.625 -0.0491656861537438 -0.0491957316821474 -0.0491878058600317
19456 4.75 -0.0505262658719627 -0.0505792790489132 -0.0505402304136576
19968 4.875 -0.0518542318200388 -0.0519477735632734 -0.0518618874427891
20480 5 -0.0524501638940332 -0.0524124670701332 -0.0525081695440528
20992 5.125 -0.053852966275641 -0.0538461291064291 -0.0539308364099752
21504 5.25 -0.0552121093306954 -0.0552605185951572 -0.055319162899888
22016 5.375 -0.0565670052965356 -0.0566389740564427 -0.0566738572666472
22528 5.5 -0.0568675378701839 -0.0569316397573714 -0.0570049505842698
23040 5.625 -0.0583227476256581 -0.0583756797598515 -0.0583428139395536
23552 5.75 -0.0597417147587502 -0.0597810284512139 -0.0596425902455247
24064 5.875 -0.061118672375377 -0.0611470499435758 -0.0584008269658702
24576 6 -0.0597903699303472 -0.0598249887735125 -0.0597539762507453
25088 6.125 -0.0611424893711486 -0.0611543096087619 -0.0610915311967425
25600 6.25 -0.0625994677248418 -0.0626039906740236 -0.062531014754929
26112 6.375 -0.0640430618775594 -0.0640173915285862 -0.0639803312914856
26624 6.5 -0.065470695099954 -0.0654386397258056 -0.0654194003773326
27136 6.625 -0.0668893067714767 -0.0668268011309102 -0.0668143662727423
27648 6.75 -0.0682677274575883 -0.0681778658730576 -0.0681894272118338
28160 6.875 -0.0695734170537657 -0.0694874213878074 -0.069520045526255
28672 7 -0.070866122268167 -0.0707695590269837 -0.0708505282604781
29184 7.125 -0.0721116531159897 -0.0720117383812882 -0.0720829395628985
29696 7.25 -0.0724891618396218 -0.0727909886349035 -0.0726515066237625
30208 7.375 -0.0739091017966832 -0.0741634293728004 -0.0740888596638977
30720 7.5 -0.0752770244161846 -0.0754775970281165 -0.0754792245845564
31232 7.625 -0.0766298353806627 -0.0767315637444684 -0.0768187447695055
31744 7.75 -0.0768058751301357 -0.0772881757265448 -0.0768427110866497
32256 7.875 -0.0781162693004131 -0.0783276227052112 -0.0783028264565267
32768 8 -0.0795860355888091 -0.0795927076531236 -0.0797129597637515
33280 8.125 -0.0810163868747757 -0.0810639797409397 -0.0810807887888364
33792 8.25 -0.0823935908886046 -0.0824915354606734 -0.0823951165538856
34304 8.375 -0.0833700531297791 -0.0830805394433008 -0.083218400654646
34816 8.5 -0.0846329536153028 -0.0844348073464264 -0.084426722100923
35328 8.625 -0.0858400007694083 -0.0858791568831116 -0.0855797774671496
35840 8.75 -0.0866349070631161 -0.0866753610682907 -0.086691099409452
36352 8.875 -0.0880201027373844 -0.088042217954394 -0.0879397070930728
36864 9 -0.0893855498010668 -0.0893708828464242 -0.089249557206475
37376 9.125 -0.0907280038787453 -0.0906719883646377 -0.0905457023969389
37888 9.25 -0.0920145084408 -0.0920063713127572 -0.0918587566037363
38400 9.375 -0.0931834302336937 -0.0933451059245794 -0.093247967391312
38912 9.5 -0.0945235512821477 -0.0946540511057649 -0.0946112899779689
39424 9.625 -0.0916552855070747 -0.0916167787680545 -0.0915418467596128
39936 9.75 -0.0929906444857933 -0.0929726019670351 -0.0929143498888671
40448 9.875 -0.0943125466681244 -0.0943081523272045 -0.0942662506794792
40960 10 -0.0956268753431325 -0.0956213773657235 -0.0955944792984365
41472 10.125 -0.0960040156667462 -0.0958399863934904 -0.0957677017508659
41984 10.25 -0.0972448111354223 -0.0970478176373049 -0.0970242988427031
42496 10.375 -0.0984090962556369 -0.098178332563547 -0.0981952067438025
43008 10.5 -0.0994907906696546 -0.0992316735843554 -0.0992723504972205
43520 10.625 -0.100326460238973 -0.100229028391054 -0.10040527556365
44032 10.75 -0.101384056701788 -0.101443049716282 -0.101446515757244
44544 10.875 -0.10246906842835 -0.102594526898034 -0.102013570286662
45056 11 -0.10361654062329 -0.103735521059393 -0.103277269732083
45568 11.125 -0.10461247604794 -0.104746250332057 -0.104491816315333
46080 11.25 -0.105626306877572 -0.105667289892714 -0.105620534744515
46592 11.375 -0.103588702801865 -0.103697405755818 -0.10363260620788
47104 11.5 -0.104808047105149 -0.104957178575913 -0.10495279190487
47616 11.625 -0.105966639207357 -0.106152155838318 -0.106213191132177
48128 11.75 -0.107125847309468 -0.107260553597435 -0.107402767705048
48640 11.875 -0.108510093576654 -0.108297186160103 -0.108491272189908
49152 12 -0.109760534720361 -0.109334440317978 -0.109512464395652
49664 12.125 -0.110902997073785 -0.110547987598415 -0.110447110574091
50176 12.25 -0.111927076849634 -0.111816834628175 -0.111488871511482
50688 12.375 -0.113060995928226 -0.113179542791391 -0.112693099740441
51200 12.5 -0.114078729195005 -0.114188244724728 -0.114063753306305
51712 12.625 -0.115355990996154 -0.115071353158028 -0.115385041104875
52224 12.75 -0.116609620753114 -0.115822003434358 -0.116632238942301
52736 12.875 -0.117519289859415 -0.116324112128348 -0.102856538740447
53248 13 -0.117371195738601 -0.116704372766164 -0.0936847438292591
53760 13.125 -0.113714119711805 -0.115007030519112 -0.0840194697909357
54272 13.25 -0.0666207505451155 -0.0651925881827398 -0.0685727826969416
54784 13.375 -0.0677834034938418 -0.0663933764244253 -0.06948458780214
55296 13.5 -0.0650862817457536 -0.0677515835458825 -0.0632969555593671
55808 13.625 -0.0661526081868727 -0.0608382395470401 -0.0644140403388814
56320 13.75 -0.0672034821539529 -0.0618363072628446 -0.0610604880847249
56832 13.875 -0.0639159366313128 -0.0631384242245586 -0.0609591604826297
57344 14 -0.0640568539172015 -0.0645347970654531 -0.062343756503849
57856 14.125 -0.065327898782916 -0.0658442707009215 -0.0637835396409798
58368 14.25 -0.066524330440997 -0.0670696094118558 -0.0651295050056646
58880 14.375 -0.0679300737181351 -0.0682418231468715 -0.0664320281482113
59392 14.5 -0.0692942946653036 -0.0694621572662157 -0.0676893576724022
59904 14.625 -0.0706598175696252 -0.0708409499097148 -0.0689409774451527
60416 14.75 -0.0719572707570514 -0.0721755302983215 -0.0701034380824956
60928 14.875 -0.0732249331155615 -0.073462951265715 -0.0603777522024315
61440 15 -0.0739082160189672 -0.0652568294755854 -0.0615385672668743
61952 15.125 -0.0560666259150479 -0.0651940409887555 -0.0626933724646005
62464 15.25 -0.0572939966476578 -0.0642749004054827 -0.0638461183840193
62976 15.375 -0.0585745132913012 -0.0619221387269415 -0.0649729692672924
63488 15.5 -0.0597521990808813 -0.0568443699923157 -0.0660215961476065
64000 15.625 -0.0610831255067815 -0.0579196416102399 -0.0668969070465793
64512 15.75 -0.0623675698047131 -0.0589632566079514 -0.0679042934064608
65024 15.875 -0.0636360056516181 -0.0594718105404717 -0.0689630708199376
65536 16 -0.0648846216850688 -0.0606980733920535 -0.0699657272953029
66048 16.125 -0.0610496430886743 -0.0588722528236663 -0.0709128430436199
66560 16.25 -0.0621878144914767 -0.0599762230049437 -0.0718113983745125
67072 16.375 -0.0632942871957852 -0.0610504791390225 -0.0726513730077502
67584 16.5 -0.0643711323770792 -0.0620921145414259 -0.0641931037312755
68096 16.625 -0.0634304626392913 -0.0630980277651438 -0.065154117037776
68608 16.75 -0.0600798774133896 -0.0605615789529252 -0.0620406755805337
69120 16.875 -0.0613843828572686 -0.0612856707631288 -0.0622568131845137
69632 17 -0.0627720673856435 -0.0624334362181524 -0.0622049916367341
70144 17.125 -0.0628726031097056 -0.0626987219272225 -0.0622673199814068
70656 17.25 -0.0639529584832746 -0.0640991944057327 -0.0634523564071194
71168 17.375 -0.0649910286343756 -0.0654636544661365 -0.0599638428230804
71680 17.5 -0.0638205815195256 -0.0667883352931804 -0.0612848588980512
72192 17.625 -0.0647877384557671 -0.0639799919835018 -0.0625243572271052
72704 17.75 -0.0657760412648933 -0.0651397844397192 -0.063769643854221
73216 17.875 -0.0666797490005197 -0.0662705478708378 -0.0640776711023451
73728 18 -0.0675871436816613 -0.0673732650524691 -0.0646333276434986
74240 18.125 -0.0687889697702011 -0.0651511092151354 -0.0658827063867328
74752 18.25 -0.069954131945717 -0.0661716423270298 -0.0671592830082719
75264 18.375 -0.0710810923643699 -0.0675014191739635 -0.0684004310017707
75776 18.5 -0.0667275357841181 -0.0687953328628031 -0.0696050969672367
76288 18.625 -0.0663801322788414 -0.0700522547072133 -0.0701194847617528
76800 18.75 -0.067419468471824 -0.0699000777285621 -0.0696335177414432
77312 18.875 -0.0684333088984031 -0.0711260547905673 -0.0708110039465563
77824 19 -0.069421580571637 -0.0723476536925322 -0.0719544914351144
78336 19.125 -0.0703843122638184 -0.0640681074470456 -0.0646442524262618
78848 19.25 -0.0713220841968187 -0.0645581079467506 -0.0652425712972589
79360 19.375 -0.0721144442073699 -0.0656003598961239 -0.0663982264864869
79872 19.5 -0.0728577990956077 -0.0665665769897692 -0.0675175023529904
80384 19.625 -0.0736474980306698 -0.0675548796613739 -0.0682577295950589
80896 19.75 -0.0745796911837469 -0.0686478337857354 -0.0645357320133761
81408 19.875 -0.0756457092816713 -0.0632347057654313 -0.0657363617086737
81920 20 -0.0668465124506612 -0.0644446333327881 -0.0636621040168945
82432 20.125 -0.0679620238163687 -0.0657272546773696 -0.0646452169155982
82944 20.25 -0.0692943801301027 -0.0669743430332629 -0.0655601800801614
83456 20.375 -0.0706072710368279 -0.0681871249824838 -0.0663956380107009
83968 20.5 -0.0718710701787983 -0.0693620910071188 -0.0671337766505206
84480 20.625 -0.0730792135256089 -0.0705831707343925 -0.0677569448481817
84992 20.75 -0.0742281747887537 -0.0718542563615635 -0.0681829670852495
85504 20.875 -0.0710890440671381 -0.0730820448955936 -0.0686187901150087
86016 21 -0.0721979550895143 -0.0742647272622952 -0.0690999431585893
86528 21.125 -0.0678514455047034 -0.0754014332944684 -0.0696395654260308
87040 21.25 -0.068706734233242 -0.0715524810909395 -0.0697015809539123
87552 21.375 -0.069991709485378 -0.0725314293124551 -0.0694669275183007
88064 21.5 -0.0712358238951513 -0.0722223197192561 -0.0703762201449082
88576 21.625 -0.0724379353764899 -0.0734131448528164 -0.0707990315101534
89088 21.75 -0.0736016946580289 -0.0744618716137384 -0.0711306004466617
89600 21.875 -0.0747229773340019 -0.0753126914603327 -0.0713873332521172
90112 22 -0.0757904797589208 -0.0757951270047073 -0.0713935165393179
90624 22.125 -0.0767992801482022 -0.0757242574726211 -0.0709655779800702
91136 22.25 -0.0778595339753103 -0.0752407749963094 -0.0718728546936195
91648 22.375 -0.0788811037820067 -0.0739231586144452 -0.0731229943966073
92160 22.5 -0.0797873301161016 -0.071716421666382 -0.0743543207768667
92672 22.625 -0.0781990140404792 -0.0686334205291648 -0.0638691451864444
93184 22.75 -0.0598967862360888 -0.0618423138126334 -0.0545556380384563
93696 22.875 -0.0591682833043722 -0.0602035609898693 -0.0552107123249647
94208 23 -0.0597083062014775 -0.0511282807625768 -0.0558490149035054
