# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000823908503868376
512 0.125 -0.000817204496269583
1024 0.25 -0.000823441034967207
1536 0.375 -0.000830296668539863
2048 0.5 -0.000837295877716069
2560 0.625 -0.000843718500786852
3072 0.75 -0.000849148104231126
3584 0.875 -0.000853775520861501
4096 1 -0.000858079874322059
4608 1.125 -0.000862441792280273
5120 1.25 -0.000867051594843837
5632 1.375 -0.000871696698617327
6144 1.5 -0.000876094110135548
6656 1.625 -0.000880101150789937
7168 1.75 -0.000884021243646307
7680 1.875 -0.000888413720008138
8192 2 -0.000893629935643023
8704 2.125 -0.000899526424546284
9216 2.25 -0.000905560965398773
9728 2.375 -0.000911181786096531
10240 2.5 -0.000916210030886075
10752 2.625 -0.000920915583698422
11264 2.75 -0.000925695219309529
11776 2.875 -0.00093072092759295
12288 3 -0.000935724848417257
12800 3.125 -0.00094016752433961
13312 3.25 -0.000943662792736697
13824 3.375 -0.000946434773033785
14336 3.5 -0.000948932678130067
14848 3.625 -0.000951616846914295
15360 3.75 -0.000954720492751247
15872 3.875 -0.000958194427862326
16384 4 -0.000961618376697549
16896 4.125 -0.000964746161339616
17408 4.25 -0.000967718454548872
17920 4.375 -0.00097094081517407
18432 4.5 -0.000974743811421338
18944 4.625 -0.00097910326338788
19456 4.75 -0.000983639251611786
19968 4.875 -0.000987894901420141
20480 5 -0.000991678570714003
20992 5.125 -0.000995192959566693
21504 5.25 -0.000998838893925232
