# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 2.34188553800153e-05
512 0.125 2.8107796236684e-05
1024 0.25 3.49148543995607e-05
1536 0.375 4.08586133638496e-05
2048 0.5 4.57268600628538e-05
2560 0.625 4.93966863321631e-05
3072 0.75 5.17503840566983e-05
3584 0.875 5.2876485913756e-05
4096 1 5.31144964978464e-05
4608 1.125 5.29369735209704e-05
5120 1.25 5.27802865807409e-05
5632 1.375 5.29182294975934e-05
6144 1.5 5.34080080098972e-05
6656 1.625 5.41096436473625e-05
7168 1.75 5.47783975798617e-05
7680 1.875 5.51992740843869e-05
8192 2 5.52923816996218e-05
8704 2.125 5.51322959810003e-05
9216 2.25 5.48883518101362e-05
9728 2.375 5.47351848940938e-05
10240 2.5 5.47786043415725e-05
10752 2.625 5.50175021914759e-05
11264 2.75 5.53526870058616e-05
11776 2.875 5.56446161340841e-05
12288 3 5.57909342114117e-05
12800 3.125 5.57740665624022e-05
13312 3.25 5.56557169077533e-05
13824 3.375 5.55349095632743e-05
14336 3.5 5.54984482012363e-05
14848 3.625 5.55825917049647e-05
15360 3.75 5.57581460429421e-05
15872 3.875 5.59490527775943e-05
16384 4 5.6077305251663e-05
16896 4.125 5.61054331426047e-05
17408 4.25 5.60503827743388e-05
17920 4.375 5.59671989759415e-05
18432 4.5 5.59182483880713e-05
18944 4.625 5.59431807848515e-05
19456 4.75 5.60407929944171e-05
19968 4.875 5.61709393574887e-05
20480 5 5.62778876745239e-05
20992 5.125 5.63222479230458e-05
21504 5.25 5.63007038286822e-05
22016 5.375 5.62430986179166e-05
22528 5.5 5.61938353547316e-05
23040 5.625 5.61895662235165e-05
23552 5.75 5.62415352546264e-05
24064 5.875 5.63303475052132e-05
24576 6 5.64174155883383e-05
25088 6.125 5.64673223723094e-05
25600 6.25 5.64669974348777e-05
26112 6.375 5.64299830612437e-05
26624 6.5 5.63865340966159e-05
27136 6.625 5.63676888978654e-05
27648 6.75 5.63902550434115e-05
28160 6.875 5.64483984749239e-05
28672 7 5.65168198416253e-05
29184 7.125 5.65656486527005e-05
29696 7.25 5.65775456000771e-05
30208 7.375 5.65557937949374e-05
30720 7.5 5.65203499982641e-05
31232 7.625 5.6496253026319e-05
31744 7.75 5.65012392992497e-05
32256 7.875 5.65371868471737e-05
32768 8 5.65891238180548e-05
33280 8.125 5.66337153589776e-05
33792 8.25 5.66526190985046e-05
34304 8.375 5.66422855146631e-05
34816 8.5 5.6614514333086e-05
35328 8.625 5.65889030344338e-05
35840 8.75 5.65826343718171e-05
