# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.125 5.70480913368998e-06 5.70480913360883e-06 5.70480913352754e-06
1024 0.25 8.25842583946881e-06 8.25842583956226e-06 8.25842583965561e-06
1536 0.375 1.00641079070441e-05 1.00641079071687e-05 1.00641079072941e-05
2048 0.5 1.34264624660525e-05 1.34264624659337e-05 1.34264624658154e-05
2560 0.625 1.67943367005685e-05 1.67943367004529e-05 1.67943367003376e-05
3072 0.75 2.05229190340513e-05 2.05229190341417e-05 2.05229190342321e-05
3584 0.875 2.40161341861282e-05 2.40161341862174e-05 2.40161341863066e-05
4096 1 2.65511551367978e-05 2.65511551366879e-05 2.65511551365772e-05
4608 1.125 2.95892912940483e-05 2.95892912939987e-05 2.9589291293939e-05
5120 1.25 3.25415168462799e-05 3.25415168462826e-05 3.25415168462752e-05
5632 1.375 3.54496409216196e-05 3.54496409216829e-05 3.54496409218436e-05
6144 1.5 3.83340620397562e-05 3.83340620397813e-05 3.83340620397401e-05
6656 1.625 4.11748729212874e-05 4.11748729211269e-05 4.11748729222273e-05
7168 1.75 4.39278731850462e-05 4.39278731853131e-05 4.3927873184283e-05
7680 1.875 4.65584751778126e-05 4.65584751777686e-05 4.65584751754686e-05
8192 2 4.90651857713951e-05 4.90651857758226e-05 4.90651857750217e-05
8704 2.125 5.14708441247531e-05 5.14708441300792e-05 5.1470844136109e-05
9216 2.25 5.37895911871848e-05 5.37895911932144e-05 5.37895911910578e-05
9728 2.375 5.60001304857337e-05 5.60001304927062e-05 5.60001304762794e-05
10240 2.5 5.80510669332336e-05 5.80510669399378e-05 5.80510669269185e-05
10752 2.625 5.98973606729319e-05 5.98973606756637e-05 5.98973606697542e-05
11264 2.75 6.15399983880961e-05 6.15399983772579e-05 6.1539998379041e-05
11776 2.875 6.30346282029843e-05 6.30346281902613e-05 6.3034628202532e-05
12288 3 6.44552405856439e-05 6.44552405878024e-05 6.44552405966881e-05
12800 3.125 6.58372384315536e-05 6.58372384371512e-05 6.58372384443145e-05
13312 3.25 6.71436489560985e-05 6.71436489496603e-05 6.71436489602882e-05
13824 3.375 6.82887026204795e-05 6.82887026027677e-05 6.82887026174952e-05
14336 3.5 6.92026480374745e-05 6.92026480238913e-05 6.92026480268196e-05
14848 3.625 6.98870970342676e-05 6.98870970506422e-05 6.98870970651909e-05
15360 3.75 7.05361360150965e-05 7.05361360098161e-05 7.05361360245223e-05
15872 3.875 7.10557934687178e-05 7.10557934375181e-05 7.10557934459531e-05
16384 4 7.14049298733804e-05 7.14049298623601e-05 7.1404929860595e-05
16896 4.125 7.1535838024115e-05 7.15358380485522e-05 7.15358380321778e-05
17408 4.25 7.14518242451991e-05 7.14518242766035e-05 7.14518242424197e-05
17920 4.375 7.12220607621789e-05 7.12220607756793e-05 7.12220607420241e-05
18432 4.5 7.09344986067975e-05 7.09344986031705e-05 7.0934498602308e-05
18944 4.625 7.0625622194106e-05 7.06256221898531e-05 7.06256222324136e-05
19456 4.75 7.02473255436045e-05 7.02473255466366e-05 7.02473255918132e-05
19968 4.875 6.97016177784857e-05 6.97016177803583e-05 6.97016177979825e-05
20480 5 6.89190689315769e-05 6.89190689285594e-05 6.89190689377329e-05
20992 5.125 6.79161487934123e-05 6.79161487823926e-05 6.79161487957321e-05
21504 5.25 6.67809387159923e-05 6.6780938701528e-05 6.67809386899502e-05
22016 5.375 6.56003255423361e-05 6.56003255190153e-05 6.56003254757816e-05
22528 5.5 6.44233539622643e-05 6.44233540302208e-05 6.44233540238521e-05
23040 5.625 6.33285580706439e-05 6.33285580980881e-05 6.33285580922679e-05
23552 5.75 6.18679233137065e-05 6.18679233150309e-05 6.18679233468966e-05
24064 5.875 6.0475025319617e-05 6.04750253483358e-05 6.04750253213368e-05
24576 6 5.8919930850602e-05 5.89199308658935e-05 5.89199308955977e-05
25088 6.125 5.73989162964761e-05 5.73989163258363e-05 5.73989163263751e-05
25600 6.25 5.58007662558662e-05 5.58007662900624e-05 5.58007659003271e-05
26112 6.375 5.44919431416405e-05 5.44919431676453e-05 5.44919428128011e-05
26624 6.5 5.29967291552137e-05 5.29967292184585e-05 5.29967288515203e-05
27136 6.625 5.0817030906758e-05 5.0817030954276e-05 5.08170308647441e-05
27648 6.75 4.94105693956744e-05 4.94105692733741e-05 4.94105682632169e-05
28160 6.875 4.73706684215361e-05 4.73706689876946e-05 4.73706674043335e-05
28672 7 4.56399789953964e-05 4.56399788629474e-05 4.56399785629806e-05
29184 7.125 4.40724874891621e-05 4.40724940884727e-05 4.40724904658621e-05
29696 7.25 4.34684114036573e-05 4.34684160658299e-05 4.34683976324428e-05
30208 7.375 4.20890314170417e-05 4.20890243771766e-05 4.20890006370489e-05
30720 7.5 4.05165084964358e-05 4.0516493822733e-05 4.05164832922885e-05
31232 7.625 3.93800633131602e-05 3.93800624785058e-05 3.93800463864613e-05
31744 7.75 3.85129269091311e-05 3.85129405008101e-05 3.85129332715207e-05
32256 7.875 3.72515606623967e-05 3.7251648228154e-05 3.72515871370196e-05
32768 8 3.60493071662185e-05 3.60493092446011e-05 3.60493311960523e-05
33280 8.125 3.52006553993119e-05 3.52007016607521e-05 3.52006852894225e-05
33792 8.25 3.43588392989304e-05 3.43588277594512e-05 3.43588785104666e-05
34304 8.375 3.38075417583523e-05 3.38075604014403e-05 3.380763968436e-05
34816 8.5 3.30261975871337e-05 3.30262491496536e-05 3.30261291955755e-05
35328 8.625 3.18899796695979e-05 3.18900759328904e-05 3.18899630252918e-05
35840 8.75 3.11609193284693e-05 3.11609174112491e-05 3.11609748164699e-05
36352 8.875 3.05068938385999e-05 3.05069752870535e-05 3.05068470394593e-05
36864 9 2.94986686220625e-05 2.94987365056095e-05 2.94987317177839e-05
37376 9.125 2.89488241847233e-05 2.89488543110513e-05 2.89488577970561e-05
37888 9.25 2.86022597782295e-05 2.86118212307906e-05 2.86143686732446e-05
38400 9.375 2.82273302818905e-05 2.82272690141288e-05 2.82282365649945e-05
38912 9.5 2.8357166899353e-05 2.83579227954907e-05 2.83580160040721e-05
39424 9.625 2.76052785473442e-05 2.76056624505051e-05 2.76056751723575e-05
39936 9.75 2.65475120493337e-05 2.65499292023983e-05 2.65509464823273e-05
40448 9.875 2.6327917591626e-05 2.63262434875237e-05 2.63263058836874e-05
40960 10 2.69270459069631e-05 2.69299852890625e-05 2.69299348339859e-05
41472 10.125 2.8207877634599e-05 2.82108133189585e-05 2.82110586170162e-05
41984 10.25 2.7787138787547e-05 2.77860801187913e-05 2.77874230021316e-05
42496 10.375 2.60279778496484e-05 2.60242353809383e-05 2.6024524235125e-05
43008 10.5 2.64162775831938e-05 2.64115810391016e-05 2.64119394465345e-05
43520 10.625 2.38193191612675e-05 2.38204616699969e-05 2.38201458067652e-05
44032 10.75 2.39429539387545e-05 2.394255300116e-05 2.39434321450161e-05
44544 10.875 2.52861812676696e-05 2.52832293257514e-05 2.52824274738217e-05
45056 11 2.54382972917741e-05 2.54331277176484e-05 2.54294296503344e-05
45568 11.125 2.42910791208378e-05 2.42934223490075e-05 2.42928626131926e-05
46080 11.25 2.38216069859623e-05 2.38216160114058e-05 2.38216150568729e-05
46592 11.375 2.42901885696919e-05 2.42901985934837e-05 2.42901940899106e-05
47104 11.5 2.33463649349088e-05 2.33463805413635e-05 2.33463671323918e-05
47616 11.625 2.26749078893357e-05 2.26748937204441e-05 2.2674896254536e-05
48128 11.75 2.44433496825121e-05 2.44433302481285e-05 2.44433409533874e-05
48640 11.875 2.50467334067836e-05 2.50467207071997e-05 2.50467373607092e-05
49152 12 2.44493886024574e-05 2.44493883012517e-05 2.44494050462169e-05
49664 12.125 2.35516792550276e-05 2.35516916790068e-05 2.35516850759357e-05
50176 12.25 2.61091061621765e-05 2.61091252468858e-05 2.61091134864331e-05
50688 12.375 2.75932973556047e-05 2.75932629507701e-05 2.75932765918621e-05
51200 12.5 2.79391392043502e-05 2.79391090133751e-05 2.79391211708242e-05
51712 12.625 2.71832566873336e-05 2.7183250664034e-05 2.71832511801383e-05
52224 12.75 2.56510912542493e-05 2.56510959838313e-05 2.56510763610601e-05
52736 12.875 2.74895030971198e-05 2.74894648507065e-05 2.74894588059831e-05
