# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 -9.39461692993403e-07 -9.39461692993406e-07 -9.39461692993399e-07
1024 1 -3.61485624652471e-06 -3.61485624652471e-06 -3.61485624652471e-06
1536 1.5 -5.8383496575649e-06 -5.83834965756489e-06 -5.83834965756488e-06
2048 2 -5.27772177242559e-06 -5.27772177242557e-06 -5.27772177242555e-06
2560 2.5 -5.98488500801355e-06 -5.98488500801353e-06 -5.98488500801352e-06
3072 3 -6.90511929638994e-06 -6.90511929639002e-06 -6.90511929639005e-06
3584 3.5 -7.99314966407204e-06 -7.99314966407218e-06 -7.99314966407222e-06
4096 4 -1.13146884478478e-05 -1.13146884478478e-05 -1.13146884478478e-05
4608 4.5 -1.94102805886724e-05 -1.94102805886724e-05 -1.94102805886741e-05
5120 5 -3.90744799317594e-05 -3.90744799317593e-05 -3.90744799317609e-05
5632 5.5 -7.23965081618233e-05 -7.23965081618228e-05 -7.23965081618249e-05
6144 6 -0.000113889989109902 -0.000113889989109893 -0.000113889989109903
6656 6.5 -0.000161398705137868 -0.000161398705137841 -0.000161398705137862
7168 7 -0.000212235803891048 -0.00021223580389106 -0.000212235803891039
7680 7.5 -0.000265758447942124 -0.000265758447942097 -0.000265758447942125
8192 8 -0.000322162754322312 -0.000322162754322397 -0.000322162754322365
8704 8.5 -0.000382759051945053 -0.000382759051944987 -0.000382759051945133
9216 9 -0.000445397038326507 -0.000445397038326353 -0.000445397038326459
9728 9.5 -0.000507597617048353 -0.000507597617048368 -0.000507597617048147
10240 10 -0.000567885347586347 -0.000567885347586549 -0.000567885347586281
10752 10.5 -0.000625977401646863 -0.000625977401646946 -0.000625977401647012
11264 11 -0.000682643692640818 -0.000682643692640648 -0.000682643692640843
11776 11.5 -0.000739016195837952 -0.000739016195837784 -0.000739016195837742
12288 12 -0.000795233830182413 -0.000795233830182412 -0.000795233830182214
12800 12.5 -0.000850379737886829 -0.000850379737886808 -0.00085037973788674
13312 13 -0.000904083122366932 -0.00090408312236678 -0.000904083122367001
13824 13.5 -0.000957185822997624 -0.000957185822997573 -0.000957185822997979
14336 14 -0.00101055196701048 -0.0010105519670106 -0.00101055196701079
14848 14.5 -0.00106433189499849 -0.00106433189499855 -0.00106433189499824
15360 15 -0.00111867764715833 -0.00111867764715825 -0.00111867764715785
15872 15.5 -0.00117399693464605 -0.00117399693464603 -0.00117399693464602
16384 16 -0.00123011351007952 -0.00123011351007968 -0.00123011351007981
16896 16.5 -0.00128617614289016 -0.00128617614289038 -0.0012861761428903
17408 17 -0.00134170554428713 -0.00134170554428721 -0.00134170554428709
17920 17.5 -0.00139692658905364 -0.00139692658905351 -0.00139692658905356
18432 18 -0.00145203797092963 -0.00145203797092941 -0.00145203797092947
18944 18.5 -0.00150707271405767 -0.00150707271405764 -0.0015070727140576
19456 19 -0.00156240886574297 -0.00156240886574317 -0.00156240886574315
19968 19.5 -0.0016184120007309 -0.00161841200073093 -0.0016184120007312
20480 20 -0.00167454011138605 -0.00167454011138567 -0.00167454011138618
20992 20.5 -0.00172964587646603 -0.00172964587646579 -0.00172964587646592
21504 21 -0.00178330941380137 -0.00178330941380172 -0.00178330941380107
22016 21.5 -0.00183639551106185 -0.0018363955110623 -0.0018363955110616
22528 22 -0.0018902408346296 -0.00189024083462955 -0.00189024083462967
23040 22.5 -0.00194546952884693 -0.00194546952884657 -0.00194546952884718
23552 23 -0.00200141577905241 -0.00200141577905217 -0.00200141577905251
24064 23.5 -0.00205659272017941 -0.00205659272017941 -0.00205659272017926
24576 24 -0.00210997735064087 -0.00210997735064113 -0.00210997735064065
25088 24.5 -0.00216186686480565 -0.00216186686480605 -0.00216186686480562
25600 25 -0.00221325646495548 -0.00221325646495566 -0.00221325646495567
26112 25.5 -0.00226467934646638 -0.00226467934646615 -0.00226467934646643
26624 26 -0.00231610474995765 -0.00231610474995728 -0.00231610474995743
27136 26.5 -0.00236740137657423 -0.00236740137657405 -0.00236740137657405
27648 27 -0.00241790055098817 -0.00241790055098822 -0.00241790055098825
28160 27.5 -0.00246586167333857 -0.00246586167333876 -0.0024658616733389
28672 28 -0.00250972219865693 -0.00250972219865704 -0.00250972219865724
29184 28.5 -0.00255008727117342 -0.00255008727117325 -0.00255008727117331
29696 29 -0.00258942378657834 -0.00258942378657808 -0.00258942378657786
30208 29.5 -0.00262952012156756 -0.00262952012156761 -0.00262952012156735
30720 30 -0.00267012777022447 -0.00267012777022474 -0.00267012777022476
31232 30.5 -0.00271011866948479 -0.00271011866948488 -0.00271011866948501
31744 31 -0.00274868293930752 -0.00274868293930741 -0.00274868293930732
32256 31.5 -0.00278500544579398 -0.00278500544579385 -0.00278500544579375
32768 32 -0.00281813894938215 -0.00281813894938196 -0.00281813894938206
33280 32.5 -0.00284816909537122 -0.002848169095371 -0.00284816909537108
33792 33 -0.00287676997066464 -0.00287676997066469 -0.00287676997066473
34304 33.5 -0.00290571354087447 -0.00290571354087482 -0.00290571354087497
34816 34 -0.00293504810980362 -0.00293504810980398 -0.00293504810980397
35328 34.5 -0.002963182073413 -0.00296318207341308 -0.00296318207341276
35840 35 -0.00298853697363276 -0.00298853697363247 -0.00298853697363231
36352 35.5 -0.00301085621169716 -0.00301085621169671 -0.00301085621169702
36864 36 -0.00303120480446635 -0.00303120480446608 -0.00303120480446656
37376 36.5 -0.0030510310168595 -0.0030510310168596 -0.00305103101685994
37888 37 -0.00307099521632129 -0.00307099521632183 -0.00307099521632171
38400 37.5 -0.00309030613992717 -0.00309030613992778 -0.00309030613992713
38912 38 -0.00310726832493414 -0.00310726832493407 -0.00310726832493371
39424 38.5 -0.00312083859075011 -0.0031208385907494 -0.00312083859074992
39936 39 -0.00313171877000475 -0.00313171877000445 -0.00313171877000512
40448 39.5 -0.0031417077303234 -0.00314170773032379 -0.00314170773032381
40960 40 -0.00315185378353362 -0.00315185378353373 -0.00315185378353333
41472 40.5 -0.00316131535033352 -0.00316131535033336 -0.00316131535033297
41984 41 -0.00316823326604659 -0.00316823326604712 -0.00316823326604684
42496 41.5 -0.00317186196691342 -0.00317186196691397 -0.00317186196691416
43008 42 -0.0031735792727094 -0.00317357927270855 -0.0031735792727092
43520 42.5 -0.0031752878351175 -0.00317528783511613 -0.00317528783511648
44032 43 -0.00317694124698681 -0.0031769412469871 -0.00317694124698665
44544 43.5 -0.003176501843826 -0.00317650184382758 -0.00317650184382697
45056 44 -0.00317261057498461 -0.0031726105749851 -0.00317261057498521
45568 44.5 -0.00316637324521318 -0.00316637324521218 -0.00316637324521287
46080 45 -0.00315981362046687 -0.00315981362046626 -0.00315981362046661
46592 45.5 -0.00315326075544362 -0.00315326075544423 -0.0031532607554438
47104 46 -0.00314524121237698 -0.00314524121237747 -0.00314524121237702
47616 46.5 -0.00313470025053131 -0.00313470025053077 -0.00313470025053112
48128 47 -0.00312234019393917 -0.00312234019393856 -0.00312234019393917
48640 47.5 -0.00311270736906941 -0.00311270736906976 -0.00311270736906916
