# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 2.44348406791687 0 0.165432929992676 0 2.33374762535095 0 0 0 0 0 0 0 0 0 34.239793260776 50063.8454077562 0 50063.8454077562 160 427679 2591 425088 0 0 0 0 2.44254040718079 1718188340.06425 266
512 0.5 3290.1591313689 3290.1591313689 3.05508208274841 0.547086000442505 0.713460206985474 0 2.34337568283081 3 437459.55810681 437459.55810681 239328 239328 214781.588095762 214781.588095762 117504 117504 77.7239066152392 189110.805883516 7575.09151396216 181535.714369554 186 443022 17934 425088 0 0 0 0 3.04891610145569 1718188340.67585 905
1024 1 3172.28464875856 3172.28464875856 3.64282488822937 1.13482880592346 1.26591372489929 0 2.40031981468201 6 421786.966898937 421786.966898937 478656 478656 207086.741870958 207086.741870958 235008 235008 102.65423620551 189069.750242741 8048.26040414513 181021.489838596 284 458234 19322 438912 0 0 0 0 3.6321120262146 1718188341.26359 1544
1536 1.5 3036.29568638533 3036.29568638533 4.28647899627686 1.77848291397095 1.87949013710022 0 2.40867400169373 9 403705.874461794 403705.874461794 717984 717984 198209.382407234 198209.382407234 352512 352512 127.129794902613 190867.106945045 8518.11171532115 182348.995229724 310 459615 20703 438912 0 0 0 0 4.27104806900024 1718188341.90724 2183
2048 2 2899.32243830045 2899.32243830045 4.99133491516113 2.48333883285522 2.51962375640869 0 2.52947092056274 12 385493.911396428 385493.911396428 957312 957312 189267.768772253 189267.768772253 470016 470016 165.8769871019 232586.238066006 8870.77760779573 223715.460458211 492 886117 22117 864000 0 0 0 0 4.97091627120972 1718188342.6121 2822
2560 2.5 2791.86989140039 2791.86989140039 5.73164200782776 3.22364592552185 3.19541001319885 0 2.53845715522766 15 371207.020760596 371207.020760596 1196640 1196640 182253.266510617 182253.266510617 587520 587520 202.662848307458 349843.390462324 9180.54817118843 340662.842291136 518 887484 23484 864000 0 0 0 0 5.70570182800293 1718188343.35241 3461
3072 3 2421.09262384357 2421.09262384357 6.96879196166992 4.46079587936401 4.38380241394043 0 2.61806964874268 18 321908.475266241 321908.475266241 1435968 1435968 158048.926484508 158048.926484508 705024 705024 222.82488550328 345799.850829239 9557.09860478912 336242.75222445 616 902720 24896 877824 0 0 0 0 6.93477988243103 1718188344.58956 4100
3584 3.5 2356.38754451648 2356.38754451648 7.85516405105591 5.34716796875 5.22860884666443 0 2.62891626358032 21 313305.287918911 313305.287918911 1675296 1675296 153824.978906036 153824.978906036 822528 822528 242.903708604066 344135.923162298 9924.78663932725 334211.136522971 642 904093 26269 877824 0 0 0 0 7.81516432762146 1718188345.47593 4739
4096 4 2351.25077298984 2342.47794036711 8.63239598274231 6.1243999004364 5.92924308776855 0 2.76852965354919 24 312622.302776729 312622.302776729 1914624 1914624 153489.650460777 153489.650460777 940032 940032 274.494277175248 377101.495773844 10169.975975505 366931.519798339 824 1330593 27681 1302912 0 0 0 0 8.58655381202698 1718188346.25316 5378
4608 4.5 2364.92007555468 2343.6010286939 9.35812187194824 6.85012578964233 6.58173942565918 0 2.77920341491699 27 314439.77324575 314439.77324575 2153952 2153952 154381.982532209 154381.982532209 1057536 1057536 304.71306326359 479677.431248729 10393.3807961397 469284.050452589 850 1331969 29057 1302912 0 0 0 0 9.30639743804932 1718188346.97889 6017
