# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000180223997873706
512 0.5 0.000179320585383703
1024 1 0.000178409354646913
1536 1.5 0.000177523169126453
2048 2 0.000176640710614524
2560 2.5 0.00017577131672561
3072 3 0.000174933853111233
3584 3.5 0.000174142730480413
4096 4 0.0001734085409458
4608 4.5 0.000172738410033947
5120 5 0.00017210555331874
5632 5.5 0.000171492196675013
6144 6 0.00017089574630464
6656 6.5 0.0001703134141975
7168 7 0.000169741909915462
7680 7.5 0.000169177839572242
8192 8 0.000168625766431547
8704 8.5 0.000168085796343976
9216 9 0.000167547066304224
9728 9.5 0.000166999699565734
10240 10 0.000166438689985051
10752 10.5 0.00016587298930968
11264 11 0.000165301773907193
11776 11.5 0.00016471829431604
12288 12 0.000164117071052265
12800 12.5 0.00016349738407176
13312 13 0.000162861200850968
13824 13.5 0.00016220781223057
14336 14 0.000161532580875036
14848 14.5 0.000160831693357436
15360 15 0.000160105509330533
15872 15.5 0.000159355430361808
16384 16 0.000158579478942843
16896 16.5 0.000157773837990171
17408 17 0.000156937942806483
17920 17.5 0.000156075020657177
18432 18 0.000155187299269107
18944 18.5 0.000154273188462682
19456 19 0.000153330119314199
19968 19.5 0.00015235784419234
20480 20 0.000151347036097094
20992 20.5 0.000150291401662638
21504 21 0.000149192085458877
22016 21.5 0.000148050649683912
22528 22 0.0001468684410298
23040 22.5 0.000145646833933415
23552 23 0.00014438818469334
24064 23.5 0.000143096570042918
24576 24 0.000141777676703382
25088 24.5 0.000140437982401708
25600 25 0.00013908309418115
26112 25.5 0.000137716503589715
26624 26 0.000136340371531787
27136 26.5 0.000134957795289304
27648 27 0.000133573962468186
28160 27.5 0.000132194636070198
28672 28 0.000130823611237572
29184 28.5 0.000129461888966048
29696 29 0.00012810897535454
30208 29.5 0.000126764513043684
30720 30 0.000125429049941392
31232 30.5 0.000124104085107816
31744 31 0.000122791431231512
32256 31.5 0.000121491839574388
32768 32 0.000120204049086967
33280 32.5 0.000118925773649827
33792 33 0.000117656013159565
34304 33.5 0.000116396143156665
34816 34 0.000115148527082265
35328 34.5 0.000113914300921227
35840 35 0.000112692718365233
36352 35.5 0.000111482489761572
36864 36 0.000110283596710252
37376 36.5 0.000109097898910156
37888 37 0.000107928094010536
38400 37.5 0.000106775978470206
38912 38 0.00010564158140443
39424 38.5 0.000104524051192356
39936 39 0.000103423507091737
40448 39.5 0.000102341958400085
40960 40 0.000101282187676197
41472 40.5 0.000100245644951284
