# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.5 0.00127678782099919
1024 1 0.00127353964369502
1536 1.5 0.00127037277680949
2048 2 0.00126721136435491
2560 2.5 0.00126408902421543
3072 3 0.00126107404840345
3584 3.5 0.00125821927009569
4096 4 0.00125556412871882
4608 4.5 0.00125313573970532
5120 5 0.00125083809474339
5632 5.5 0.00124860721196574
6144 6 0.00124643399090307
6656 6.5 0.00124430854912752
7168 7 0.00124221909177035
7680 7.5 0.00124015336138224
8192 8 0.00123812822963297
8704 8.5 0.00123614428528232
9216 9 0.00123416171882789
9728 9.5 0.00123214410154057
10240 10 0.00123007276202024
10752 10.5 0.00122798056436234
11264 11 0.00122586434777927
11776 11.5 0.00122369891690592
12288 12 0.00122146361927092
12800 12.5 0.00121915538599385
13312 13 0.00121678115179864
13824 13.5 0.00121433787506747
14336 14 0.00121180774380876
14848 14.5 0.00120917587771565
15360 15 0.00120644296602764
15872 15.5 0.00120361361348312
16384 16 0.00120067965201094
16896 16.5 0.00119762582557845
17408 17 0.00119444906587432
17920 17.5 0.00119116070458866
18432 18 0.00118776834008958
18944 18.5 0.00118426497519725
19456 19 0.0011806397314946
19968 19.5 0.00117689052627653
20480 20 0.00117298002810671
20992 20.5 0.00116888214532533
21504 21 0.00116459936716014
22016 21.5 0.0011601357666784
22528 22 0.00115549454595228
23040 22.5 0.00115067898506378
23552 23 0.00114569623410769
24064 23.5 0.00114056034889921
24576 24 0.00113529201971596
25088 24.5 0.00112991545299842
25600 25 0.00112445176209706
26112 25.5 0.00111891385479489
26624 26 0.00111330944620813
27136 26.5 0.00110765023725208
27648 27 0.00110195678214292
28160 27.5 0.00109625244301666
28672 28 0.00109055286745082
29184 28.5 0.00108486232459594
29696 29 0.00107917887705312
30208 29.5 0.00107350112437458
30720 30 0.00106783148969128
31232 30.5 0.00106217651806355
31744 31 0.00105654424349778
32256 31.5 0.00105093828023252
32768 32 0.00104535356822885
33280 32.5 0.0010397804560659
33792 33 0.00103421473574515
34304 33.5 0.0010286626055076
34816 34 0.00102313478665177
35328 34.5 0.00101763674944911
35840 35 0.0010121656276844
36352 35.5 0.00100671603724718
36864 36 0.0010012882461666
37376 36.5 0.000995891098966861
37888 37 0.000990537475820513
38400 37.5 0.000985236374361763
38912 38 0.000979988781960054
39424 38.5 0.000974791591676519
39936 39 0.000969646173010534
40448 39.5 0.000964562823252469
40960 40 0.000959555710051639
41472 40.5 0.000954632937317624
41984 41 0.000949792633980204
42496 41.5 0.000945030229710109
43008 42 0.000940349010640498
43520 42.5 0.000935761015671202
44032 43 0.000931276677010818
44544 43.5 0.000926896130431218
45056 44 0.00092261337433329
45568 44.5 0.000918427448120941
46080 45 0.00091434565768309
46592 45.5 0.000910375260983817
47104 46 0.000906515785906785
47616 46.5 0.00090276228852226
48128 47 0.000899113875187727
48640 47.5 0.000895575163204773
49152 48 0.000892149579535877
49664 48.5 0.000888834921348855
50176 49 0.000885627217300989
50688 49.5 0.000882526557959746
51200 50 0.000879536393560993
51712 50.5 0.000876657599506228
52224 51 0.000873885562652082
52736 51.5 0.000871214751759616
53248 52 0.000868645057433057
53760 52.5 0.000866179658306654
54272 53 0.000863819545475409
54784 53.5 0.000861559801752446
55296 54 0.000859392133438436
55808 54.5 0.00085731063985585
56320 55 0.000855313979952583
56832 55.5 0.000853400069686225
57344 56 0.000851556085060579
57856 56.5 0.000849763698358097
58368 57 0.000848021586868339
58880 57.5 0.00084633142450447
59392 58 0.000844692415011951
59904 58.5 0.000843100810117875
60416 59 0.000841554473829993
60928 59.5 0.000840054467482078
61440 60 0.000838600730508831
61952 60.5 0.000837189376600301
62464 61 0.000835817172893577
62976 61.5 0.000834485863683455
63488 62 0.000833199778485473
64000 62.5 0.000831958644207892
64512 63 0.000830758216404799
65024 63.5 0.000829597158482216
65536 64 0.000828479510698476
66048 64.5 0.000827408788369074
66560 65 0.000826382966108806
67072 65.5 0.000825398418650713
67584 66 0.000824462396227909
68096 66.5 0.000823616786977383
68608 67 0.000822870277626297
69120 67.5 0.000822220589774976
69632 68 0.000821666803831243
70144 68.5 0.000821211140145817
70656 69 0.000820855794593609
71168 69.5 0.00082060088130955
71680 70 0.000820445301152712
72192 70.5 0.000820387923664847
72704 71 0.000820425841149069
73216 71.5 0.000820552646665197
73728 72 0.000820760829567343
74240 72.5 0.000821045793712405
74752 73 0.000821405668601504
75264 73.5 0.000821836890873119
75776 74 0.000822331716452683
76288 74.5 0.000822881109850309
76800 75 0.000823479109846203
77312 75.5 0.000824123377221601
77824 76 0.000824812244734599
78336 76.5 0.000825542486308654
78848 77 0.00082630967273946
79360 77.5 0.000827109626322187
79872 78 0.000827939753612415
80384 78.5 0.000828799938487016
80896 79 0.000829691972899718
81408 79.5 0.000830616849541088
81920 80 0.000831539059138299
82432 80.5 0.000832389768065846
82944 81 0.000833182457076741
83456 81.5 0.000833938297168471
83968 82 0.000834679310825573
84480 82.5 0.00083542546039137
84992 83 0.000836195946044213
85504 83.5 0.000837011434551242
86016 84 0.000837892148698551
86528 84.5 0.000838853298604377
87040 85 0.000839903619740359
87552 85.5 0.000841048216658478
88064 86 0.000842291023696397
88576 86.5 0.000843633178118188
89088 87 0.000845070104841843
89600 87.5 0.000846592550210849
90112 88 0.000848189813266249
90624 88.5 0.000849851982820414
91136 89 0.000851569754553973
91648 89.5 0.000853333409589315
92160 90 0.000855133159587018
92672 90.5 0.000856961234643296
93184 91 0.0008588161470465
93696 91.5 0.000860715714323723
94208 92 0.000862665672494621
94720 92.5 0.000864666358159171
95232 93 0.000866717172954795
95744 93.5 0.000868818471972131
96256 94 0.00087097249978012
96768 94.5 0.000873176330666534
97280 95 0.00087542805605495
97792 95.5 0.000877731216904134
98304 96 0.000880089378288785
98816 96.5 0.000882507041948544
99328 97 0.000884989657903218
99840 97.5 0.000887542832434835
100352 98 0.000890171343765735
100864 98.5 0.000892878629182072
