# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.5 1.00071735969707
1024 1 1.00062471371112
1536 1.5 1.00054349191977
2048 2 1.00047277875538
2560 2.5 1.00041290619133
3072 3 1.00049224346358
3584 3.5 1.00066994265768
4096 4 1.00087405928325
4608 4.5 1.00106839245153
5120 5 1.00132283021383
5632 5.5 1.00160696310762
6144 6 1.00186737422622
6656 6.5 1.00225541952333
7168 7 1.0026750233927
7680 7.5 1.00312747428647
8192 8 1.00361963422434
8704 8.5 1.00415090891124
9216 9 1.0047908669053
9728 9.5 1.00549344270709
10240 10 1.00624378675589
10752 10.5 1.0070405757155
11264 11 1.00788374869663
11776 11.5 1.00877117092265
12288 12 1.0097031326751
12800 12.5 1.01067822508144
13312 13 1.01169473674455
13824 13.5 1.01275386636355
14336 14 1.01364636696655
14848 14.5 1.01375428568609
15360 15 1.01302536455567
15872 15.5 1.01388786338402
16384 16 1.01476863391909
16896 16.5 1.01566947509635
17408 17 1.01611573305898
17920 17.5 1.01726907194732
18432 18 1.01845568301524
18944 18.5 1.01927607012466
19456 19 1.02040468750343
19968 19.5 1.01838233226581
20480 20 1.01935894607416
20992 20.5 1.02025792539159
21504 21 1.02108632207654
22016 21.5 1.02179467002547
22528 22 1.02217876920937
23040 22.5 1.02273703823707
23552 23 1.02365705943925
24064 23.5 1.02453648441585
24576 24 1.02526934825365
25088 24.5 1.02503817525465
25600 25 1.01224923529751
26112 25.5 1.01258809466488
26624 26 1.01290013803611
27136 26.5 1.00817043541439
27648 27 1.00889433569971
28160 27.5 1.00652753806022
28672 28 1.00719225640673
29184 28.5 1.00708396112875
29696 29 1.00777533232596
30208 29.5 1.00851498249018
30720 30 1.00928042765178
31232 30.5 1.00721797516613
31744 31 1.00635524613713
32256 31.5 1.00691632786527
32768 32 1.00543281902404
33280 32.5 1.00594960099882
33792 33 1.00647957745938
34304 33.5 1.00706307791646
34816 34 1.00767543330329
35328 34.5 1.00673364276729
35840 35 1.00694910053498
36352 35.5 1.00667225135187
36864 36 1.00726875640804
37376 36.5 1.00790001333336
37888 37 1.00854323111682
38400 37.5 1.0092095684263
38912 38 1.00991334035701
39424 38.5 1.0106315461939
39936 39 1.00809649033139
40448 39.5 1.00872151492863
40960 40 1.00937061424823
41472 40.5 1.01003357926101
41984 41 1.01071802924195
42496 41.5 1.01141799652263
43008 42 1.01213984048531
43520 42.5 1.01286910090673
44032 43 1.01362345106683
44544 43.5 1.01439144400264
45056 44 1.01517215166202
45568 44.5 1.01598998453334
46080 45 1.01682278479053
46592 45.5 1.0176737227795
47104 46 1.01855284657181
47616 46.5 1.01146285891771
48128 47 1.01211738598458
48640 47.5 1.01278626067187
49152 48 1.01348905782117
49664 48.5 1.01421682535453
50176 49 1.01496079432995
50688 49.5 1.0157201719541
51200 50 1.01649498111871
51712 50.5 1.01728793892748
52224 51 1.01083193748447
52736 51.5 1.01145087489328
53248 52 1.00760257944772
53760 52.5 1.00808237460652
54272 53 1.00857305632695
54784 53.5 1.00905805802622
55296 54 1.00946291510495
55808 54.5 1.00987224858627
56320 55 1.01027854464911
56832 55.5 1.0107079123508
57344 56 1.01115645778477
57856 56.5 1.0079798169838
58368 57 1.0083320636858
58880 57.5 1.00649805220079
59392 58 1.00673630452756
59904 58.5 1.00695150449668
60416 59 1.00718721932253
60928 59.5 1.00746025288065
61440 60 1.00776824953778
61952 60.5 1.00811192911232
