# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 -2.2062444130575e-05 -2.20624441305784e-05 -2.20624441305783e-05
1024 1 -3.65118160188183e-05 -3.65118160188223e-05 -3.65118160188264e-05
1536 1.5 -4.95783655221243e-05 -4.95783655221218e-05 -4.95783655221193e-05
2048 2 -3.46200545758247e-05 -3.46200545758172e-05 -3.46200545758097e-05
2560 2.5 -2.92323599719121e-05 -2.92323599719278e-05 -2.92323599719434e-05
3072 3 -4.42050064063142e-05 -4.42050064063136e-05 -4.42050064063124e-05
3584 3.5 -3.59786394495728e-05 -3.59786394495695e-05 -3.59786394495659e-05
4096 4 -2.88964726791235e-05 -2.88964726791246e-05 -2.88964726791278e-05
4608 4.5 -2.62185322854098e-05 -2.62185322853895e-05 -2.62185322853552e-05
5120 5 -3.36318849279452e-05 -3.36318849279513e-05 -3.36318849279231e-05
5632 5.5 -3.71297204970993e-05 -3.71297204971139e-05 -3.71297204971912e-05
6144 6 -2.41918429513836e-05 -2.41918429513696e-05 -2.41918429515574e-05
6656 6.5 -4.53564435381361e-05 -4.53564435381517e-05 -4.53564435381618e-05
7168 7 -3.5905975895934e-05 -3.59059758959959e-05 -3.59059758957405e-05
7680 7.5 -3.52000973867276e-05 -3.52000973865616e-05 -3.52000973870096e-05
8192 8 -3.02533019026816e-05 -3.02533019025167e-05 -3.02533019030207e-05
8704 8.5 -2.12290078979622e-05 -2.1229007897374e-05 -2.1229007897606e-05
9216 9 -3.17658339229376e-05 -3.17658339223702e-05 -3.17658339224863e-05
9728 9.5 -4.42303697969496e-05 -4.4230369796314e-05 -4.42303697964508e-05
10240 10 -5.55162470857018e-05 -5.55162470847484e-05 -5.55162470855511e-05
10752 10.5 -6.83168687516443e-05 -6.83168687511332e-05 -6.83168687519173e-05
11264 11 -8.6132376673882e-05 -8.61323766745969e-05 -8.61323766739739e-05
11776 11.5 -0.000105045959202981 -0.000105045959203999 -0.000105045959202385
12288 12 -0.000115728173334626 -0.000115728173334928 -0.000115728173334831
12800 12.5 -0.000117202927700223 -0.000117202927698077 -0.000117202927700262
13312 13 -0.0001111073338684 -0.000111107333866523 -0.000111107333867061
13824 13.5 -9.4020031700484e-05 -9.40200316996936e-05 -9.40200317000719e-05
14336 14 -8.72932714291362e-05 -8.72932714287592e-05 -8.72932714289902e-05
14848 14.5 -8.16800934094585e-05 -8.16800934094267e-05 -8.1680093409282e-05
