# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.47192056342987e-07 2.47192056342981e-07 2.47192056342974e-07
1024 1 6.20120764318778e-07 6.20120764318806e-07 6.20120764318848e-07
1536 1.5 9.53570733266371e-07 9.5357073326637e-07 9.53570733266431e-07
2048 2 1.01859099467851e-06 1.01859099467855e-06 1.01859099467849e-06
2560 2.5 1.08838594221375e-06 1.08838594221377e-06 1.08838594221378e-06
3072 3 1.09147640392885e-06 1.09147640392882e-06 1.091476403929e-06
3584 3.5 1.22417964171662e-06 1.22417964171681e-06 1.2241796417169e-06
4096 4 1.14503116839518e-06 1.14503116839534e-06 1.1450311683955e-06
4608 4.5 1.2253726419989e-06 1.22537264199899e-06 1.22537264199862e-06
5120 5 1.2500607405263e-06 1.25006074052585e-06 1.25006074052577e-06
5632 5.5 1.28519513945867e-06 1.28519513945959e-06 1.28519513945906e-06
6144 6 1.25781447937213e-06 1.25781447937226e-06 1.25781447937216e-06
6656 6.5 1.33196465703867e-06 1.3319646570392e-06 1.33196465703768e-06
7168 7 1.32864814514809e-06 1.32864814514648e-06 1.32864814514729e-06
7680 7.5 1.30342797315068e-06 1.30342797314752e-06 1.30342797314942e-06
8192 8 1.38168114216332e-06 1.38168114216397e-06 1.38168114217113e-06
8704 8.5 1.41928361215177e-06 1.41928361215281e-06 1.41928361215962e-06
9216 9 1.44506934700628e-06 1.44506934700691e-06 1.44506934700885e-06
9728 9.5 1.52880497475826e-06 1.52880497475787e-06 1.52880497475517e-06
10240 10 1.54951830467622e-06 1.54951830468233e-06 1.549518304684e-06
10752 10.5 1.58563189940592e-06 1.58563189939562e-06 1.58563189939126e-06
11264 11 1.59997370878899e-06 1.59997370878777e-06 1.59997370879153e-06
11776 11.5 1.61244415102084e-06 1.61244415102825e-06 1.61244415103174e-06
12288 12 1.62427284850415e-06 1.62427284850427e-06 1.62427284850803e-06
12800 12.5 1.64313362028111e-06 1.64313362028755e-06 1.64313362028117e-06
13312 13 1.67591777276498e-06 1.67591777276175e-06 1.67591777275017e-06
13824 13.5 1.71834696423186e-06 1.71834696423555e-06 1.71834696422914e-06
14336 14 1.73101168423935e-06 1.73101168425347e-06 1.7310116842419e-06
14848 14.5 1.7413831005446e-06 1.74138310054662e-06 1.74138310055178e-06
15360 15 1.75191877420364e-06 1.75191877420479e-06 1.75191877421563e-06
15872 15.5 1.81059950715866e-06 1.81059950715371e-06 1.81059950715305e-06
16384 16 1.87442257310115e-06 1.8744225731039e-06 1.87442257310656e-06
16896 16.5 1.90918150111367e-06 1.90918150113177e-06 1.90918150113462e-06
17408 17 1.95034721813965e-06 1.95034721812609e-06 1.95034721814013e-06
17920 17.5 1.95359503822045e-06 1.95359503821791e-06 1.95359503821953e-06
18432 18 1.94916428358867e-06 1.94916428359249e-06 1.94916428360344e-06
18944 18.5 1.94049201023362e-06 1.94049201022574e-06 1.94049201023411e-06
19456 19 1.931842383836e-06 1.93184238382755e-06 1.93184238383149e-06
19968 19.5 1.91630736622003e-06 1.91630736622858e-06 1.91630736623443e-06
20480 20 1.90929147414344e-06 1.90929147414735e-06 1.90929147414363e-06
20992 20.5 1.87779500728921e-06 1.8777950072862e-06 1.87779500729726e-06
21504 21 1.8464337503629e-06 1.84643375036497e-06 1.84643375037295e-06
22016 21.5 1.8776356423331e-06 1.87763564232935e-06 1.87763564234101e-06
22528 22 1.90903147849542e-06 1.90903147849786e-06 1.90903147849566e-06
23040 22.5 1.92848329646254e-06 1.92848329646917e-06 1.92848329647255e-06
23552 23 1.95471024793062e-06 1.9547102479378e-06 1.95471024794088e-06
24064 23.5 2.02256538678978e-06 2.02256538680312e-06 2.02256538678664e-06
24576 24 2.09424598677458e-06 2.09424598678416e-06 2.09424598677557e-06
25088 24.5 2.19976132747554e-06 2.19976132746737e-06 2.19976132747275e-06
25600 25 2.30655329573871e-06 2.30655329572242e-06 2.30655329572722e-06
26112 25.5 2.39294456317077e-06 2.39294456316623e-06 2.3929445631725e-06
26624 26 2.4396085232949e-06 2.43960852329202e-06 2.43960852329611e-06
27136 26.5 2.46871840818398e-06 2.46871840818532e-06 2.46871840818713e-06
27648 27 2.48220060215255e-06 2.48220060216747e-06 2.48220060217909e-06
28160 27.5 2.48953408660151e-06 2.48953408659493e-06 2.48953408660204e-06
28672 28 2.55238690378188e-06 2.55238690378417e-06 2.55238690378267e-06
29184 28.5 2.61409217425279e-06 2.61409217424746e-06 2.61409217424706e-06
29696 29 2.6563312663378e-06 2.65633126631907e-06 2.65633126632988e-06
30208 29.5 2.71358135236051e-06 2.71358135234729e-06 2.71358135237102e-06
30720 30 2.7430041568839e-06 2.74300415688551e-06 2.7430041568839e-06
31232 30.5 2.76198826725349e-06 2.76198826724977e-06 2.76198826725973e-06
31744 31 2.77878349167147e-06 2.77878349166859e-06 2.77878349167569e-06
32256 31.5 2.7741189641195e-06 2.77411896412052e-06 2.77411896413299e-06
32768 32 2.75445571543008e-06 2.75445571543045e-06 2.75445571544267e-06
33280 32.5 2.73537103099942e-06 2.73537103099256e-06 2.73537103099529e-06
33792 33 2.7169423432822e-06 2.71694234328286e-06 2.71694234328748e-06
34304 33.5 2.69959145057335e-06 2.69959145057134e-06 2.69959145057889e-06
34816 34 2.66865783272604e-06 2.66865783273051e-06 2.66865783273339e-06
35328 34.5 2.63924658593415e-06 2.63924658593397e-06 2.6392465859267e-06
35840 35 2.59578287576541e-06 2.59578287576247e-06 2.59578287576072e-06
36352 35.5 2.546190126155e-06 2.54619012615137e-06 2.54619012617133e-06
36864 36 2.48697993426257e-06 2.48697993424865e-06 2.48697993425276e-06
37376 36.5 2.40463368278023e-06 2.40463368278034e-06 2.40463368278913e-06
37888 37 2.34024537720418e-06 2.34024537718995e-06 2.34024537719593e-06
38400 37.5 2.26766091697929e-06 2.26766091697039e-06 2.26766091698183e-06
38912 38 2.17247945511679e-06 2.17247945511871e-06 2.17247945511555e-06
39424 38.5 2.09822997952616e-06 2.09822997952596e-06 2.09822997953498e-06
39936 39 2.04541293341251e-06 2.04541293340981e-06 2.04541293343487e-06
40448 39.5 1.97591010327825e-06 1.97591010326133e-06 1.97591010327713e-06
40960 40 1.89919868960154e-06 1.89919868961129e-06 1.89919868959598e-06
41472 40.5 1.81993243317863e-06 1.819932433184e-06 1.81993243318074e-06
41984 41 1.74757420018842e-06 1.74757420018026e-06 1.74757420019387e-06
42496 41.5 1.70333000651827e-06 1.70333000650425e-06 1.70333000651298e-06
43008 42 1.71586946888616e-06 1.7158694688748e-06 1.71586946888073e-06
43520 42.5 1.75294105027827e-06 1.7529410502643e-06 1.75294105029464e-06
44032 43 1.76711502795632e-06 1.76711502795214e-06 1.7671150279693e-06
44544 43.5 1.80800134090879e-06 1.80800134090618e-06 1.8080013409236e-06
45056 44 1.8597923927358e-06 1.85979239271823e-06 1.8597923927256e-06
45568 44.5 1.88972065747173e-06 1.88972065746689e-06 1.88972065747355e-06
46080 45 1.89826204704316e-06 1.89826204702383e-06 1.8982620470297e-06
46592 45.5 1.88627299594473e-06 1.88627299591479e-06 1.88627299590898e-06
47104 46 1.86747901187969e-06 1.8674790118621e-06 1.86747901185692e-06
47616 46.5 1.8735375079467e-06 1.87353750793856e-06 1.87353750794206e-06
48128 47 1.89726973668412e-06 1.8972697366741e-06 1.89726973667298e-06
48640 47.5 1.90466781977835e-06 1.90466781974969e-06 1.90466781975544e-06
49152 48 1.90449285582312e-06 1.90449285580899e-06 1.90449285582887e-06
49664 48.5 1.88776433351255e-06 1.88776433351747e-06 1.8877643335156e-06
50176 49 1.86133110817866e-06 1.8613311081757e-06 1.86133110817753e-06
50688 49.5 1.8627588055253e-06 1.8627588055281e-06 1.86275880553726e-06
51200 50 1.88301819829317e-06 1.88301819829861e-06 1.8830181982888e-06
51712 50.5 1.91752295402525e-06 1.91752295400681e-06 1.91752295399883e-06
52224 51 1.95191056365184e-06 1.95191056365708e-06 1.95191056365207e-06
52736 51.5 1.97611885486601e-06 1.97611885487394e-06 1.97611885488707e-06
53248 52 1.97893274677974e-06 1.9789327467747e-06 1.97893274678911e-06
53760 52.5 1.99300112915747e-06 1.99300112914475e-06 1.9930011291591e-06
54272 53 2.02908357939743e-06 2.02908357939087e-06 2.02908357939985e-06
54784 53.5 2.04171841811803e-06 2.04171841811385e-06 2.04171841812292e-06
55296 54 2.03326195233961e-06 2.03326195233127e-06 2.03326195233868e-06
55808 54.5 2.02215326503571e-06 2.02215326502566e-06 2.02215326503583e-06
56320 55 2.00760265339934e-06 2.00760265341499e-06 2.00760265340176e-06
56832 55.5 1.99230037248378e-06 1.99230037248583e-06 1.99230037247451e-06
57344 56 1.9979983695691e-06 1.99799836956551e-06 1.99799836955863e-06
57856 56.5 2.0490350311531e-06 2.04903503116602e-06 2.04903503116982e-06
58368 57 2.09282159771023e-06 2.09282159772364e-06 2.09282159771961e-06
58880 57.5 2.07817371222153e-06 2.07817371222784e-06 2.0781737122389e-06
59392 58 2.05280927309417e-06 2.05280927310038e-06 2.05280927311075e-06
59904 58.5 2.05745137547677e-06 2.0574513754816e-06 2.05745137548845e-06
60416 59 2.05472257229318e-06 2.05472257230234e-06 2.05472257229397e-06
60928 59.5 2.02465333730186e-06 2.02465333730641e-06 2.02465333730739e-06
61440 60 2.00271665453436e-06 2.00271665452995e-06 2.00271665452479e-06
61952 60.5 1.99276768424632e-06 1.99276768424923e-06 1.99276768424165e-06
62464 61 1.95991854977433e-06 1.9599185497636e-06 1.95991854975637e-06
62976 61.5 1.91906402520963e-06 1.91906402520518e-06 1.91906402520282e-06
63488 62 1.89910401289473e-06 1.89910401288785e-06 1.89910401290627e-06
64000 62.5 1.86909110307458e-06 1.86909110307615e-06 1.86909110309267e-06
