# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.2062444130575e-05 2.20624441305784e-05 2.20624441305783e-05
1024 1 3.65118160188183e-05 3.65118160188223e-05 3.65118160188264e-05
1536 1.5 5.44927108753653e-05 5.44927108753668e-05 5.44927108753669e-05
2048 2 7.18339336480817e-05 7.18339336480744e-05 7.18339336480652e-05
2560 2.5 8.61324186525581e-05 8.61324186525533e-05 8.6132418652547e-05
3072 3 9.38898836698441e-05 9.3889883669839e-05 9.3889883669833e-05
3584 3.5 9.20602379849273e-05 9.20602379849268e-05 9.20602379849252e-05
4096 4 9.08394640191315e-05 9.08394640191283e-05 9.08394640191299e-05
4608 4.5 8.89060671239089e-05 8.89060671239089e-05 8.89060671239167e-05
5120 5 8.46192158048914e-05 8.46192158048894e-05 8.46192158048988e-05
5632 5.5 8.31999229504192e-05 8.3199922950432e-05 8.31999229504514e-05
6144 6 8.42732501601809e-05 8.42732501601396e-05 8.42732501602058e-05
6656 6.5 8.2509357661164e-05 8.25093576610682e-05 8.25093576611759e-05
7168 7 7.56446686088763e-05 7.56446686089144e-05 7.56446686088103e-05
7680 7.5 6.77601577927772e-05 6.77601577928854e-05 6.77601577928269e-05
8192 8 6.30994031754291e-05 6.30994031757021e-05 6.30994031758308e-05
8704 8.5 6.05737522455776e-05 6.05737522455968e-05 6.05737522457553e-05
9216 9 5.65315878574424e-05 5.65315878574521e-05 5.65315878567014e-05
9728 9.5 5.87695511832923e-05 5.87695511832231e-05 5.87695511836505e-05
10240 10 5.55162470857018e-05 5.55162470847484e-05 5.55162470855511e-05
10752 10.5 6.83168687516443e-05 6.83168687511332e-05 6.83168687519173e-05
11264 11 8.6132376673882e-05 8.61323766745969e-05 8.61323766739739e-05
11776 11.5 0.000105045959202981 0.000105045959203999 0.000105045959202385
12288 12 0.000115728173334626 0.000115728173334928 0.000115728173334831
12800 12.5 0.000117202927700223 0.000117202927698077 0.000117202927700262
13312 13 0.0001111073338684 0.000111107333866523 0.000111107333867061
13824 13.5 9.4020031700484e-05 9.40200316996936e-05 9.40200317000719e-05
14336 14 8.72932714291362e-05 8.72932714287592e-05 8.72932714289902e-05
14848 14.5 8.16800934094585e-05 8.16800934094267e-05 8.1680093409282e-05
15360 15 7.61926007352555e-05 7.61926007356576e-05 7.619260073509e-05
15872 15.5 7.33090471952332e-05 7.33090471965191e-05 7.33090471956622e-05
