# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.966875255744351
512 0.5 0.966884141513851
1024 1 0.966891919746971
1536 1.5 0.966899267429123
2048 2 0.966907292985551
2560 2.5 0.966915662729128
3072 3 0.966924064392413
3584 3.5 0.966932585276905
4096 4 0.96694128440886
4608 4.5 0.966950141093017
5120 5 0.966959130753755
5632 5.5 0.966968260804103
6144 6 0.96697755502245
6656 6.5 0.966987009618373
7168 7 0.966996606245823
7680 7.5 0.967006347837615
8192 8 0.96701624573497
8704 8.5 0.967026296690252
9216 9 0.967036492282801
9728 9.5 0.967046832626871
10240 10 0.967057322185158
10752 10.5 0.967067959697341
11264 11 0.96707873875911
11776 11.5 0.967089656905441
12288 12 0.967100715711178
12800 12.5 0.96711191272623
13312 13 0.96712324163886
13824 13.5 0.96713469854381
14336 14 0.967146281798572
14848 14.5 0.967157987388711
15360 15 0.967169808485288
15872 15.5 0.967181739005741
16384 16 0.967193774542702
16896 16.5 0.967205909229582
17408 17 0.96721813462827
17920 17.5 0.967230442498376
18432 18 0.967242825748154
18944 18.5 0.967255276110016
19456 19 0.967267783296035
19968 19.5 0.967280336811256
20480 20 0.967292926840333
20992 20.5 0.967305542850196
21504 21 0.967318172669113
22016 21.5 0.967330803719363
22528 22 0.967343424004499
23040 22.5 0.967356021144032
23552 23 0.967368581840138
24064 23.5 0.967381093077689
24576 24 0.967393541333001
25088 24.5 0.967405907785598
25600 25 0.967418170434302
26112 25.5 0.96743032852454
26624 26 0.96744242226281
27136 26.5 0.967454463189336
27648 27 0.967466275251459
28160 27.5 0.967477475371589
28672 28 0.967487748483226
29184 28.5 0.967496988253312
29696 29 0.967504763675803
30208 29.5 0.967509703472907
30720 30 0.967510004813383
31232 30.5 0.967504589519098
31744 31 0.967493122476683
32256 31.5 0.967475140252805
32768 32 0.967450219839489
33280 32.5 0.967418767370079
33792 33 0.967381578055581
34304 33.5 0.967339125314953
34816 34 0.967292259771651
35328 34.5 0.967242949407874
35840 35 0.967193744036455
36352 35.5 0.967146969409772
36864 36 0.967104119208016
37376 36.5 0.967065839995716
37888 37 0.967033425670945
38400 37.5 0.967009428805761
38912 38 0.966995161356582
39424 38.5 0.966989356844885
39936 39 0.966990757932517
40448 39.5 0.966999429237898
40960 40 0.967014690584658
41472 40.5 0.967034597212929
41984 41 0.967057758203266
42496 41.5 0.967083740832876
43008 42 0.967112027990792
43520 42.5 0.967141558518662
44032 43 0.96717109308855
44544 43.5 0.967199922312486
45056 44 0.967228006389402
45568 44.5 0.967255321554847
46080 45 0.967281617210085
46592 45.5 0.967306730716657
47104 46 0.967330848129711
47616 46.5 0.967354656250849
