# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.66986122441249
512 0.5 0.669771692349371
1024 1 0.669516650031764
1536 1.5 0.669123419555179
2048 2 0.668617889933953
2560 2.5 0.66802771551712
3072 3 0.6673882750886
3584 3.5 0.666744537398116
4096 4 0.666145656959355
4608 4.5 0.665634644072975
5120 5 0.665239429247606
5632 5.5 0.664970903552332
6144 6 0.664827404774969
6656 6.5 0.664801274634839
7168 7 0.66488311860336
7680 7.5 0.66506239896457
8192 8 0.665326527897166
8704 8.5 0.665660018442102
9216 9 0.666042272788996
9728 9.5 0.666444568601365
10240 10 0.666833437297662
10752 10.5 0.667187248379381
11264 11 0.667515941258206
11776 11.5 0.667857682147201
12288 12 0.66824416827133
12800 12.5 0.66866886909093
13312 13 0.669099018652154
13824 13.5 0.669518468327914
14336 14 0.669944071998808
14848 14.5 0.67039479654424
15360 15 0.670862365400543
15872 15.5 0.671327893395771
16384 16 0.671795552184199
16896 16.5 0.672288162850612
17408 17 0.672811809860442
17920 17.5 0.673345586487311
18432 18 0.673871547677194
18944 18.5 0.674398436728922
19456 19 0.674946479634264
19968 19.5 0.675520269443991
20480 20 0.676108586924029
20992 20.5 0.676705679809534
21504 21 0.677321129057621
22016 21.5 0.677969202319253
22528 22 0.678656976661048
23040 22.5 0.679383963759397
23552 23 0.680145683706331
24064 23.5 0.680931989257414
24576 24 0.681723909730774
25088 24.5 0.68249849794554
25600 25 0.683242930370843
26112 25.5 0.683966368311952
26624 26 0.684694922396984
27136 26.5 0.685449625960777
27648 27 0.686227622310682
28160 27.5 0.687006409478525
28672 28 0.687765749534157
29184 28.5 0.688503220278397
29696 29 0.689230850694402
30208 29.5 0.689962114083665
30720 30 0.690701849612011
31232 30.5 0.691442499361587
31744 31 0.692168238609166
32256 31.5 0.692868407747186
32768 32 0.693550445119219
33280 32.5 0.69423570313335
33792 33 0.694938515868031
34304 33.5 0.695651265054855
34816 34 0.696352905496108
35328 34.5 0.697030899049817
35840 35 0.697692873250117
36352 35.5 0.6983581222381
36864 36 0.699039173472472
37376 36.5 0.69973015168606
37888 37 0.700411767450742
38400 37.5 0.701069357022684
38912 38 0.701707750861988
39424 38.5 0.702346891523397
39936 39 0.703000414205322
40448 39.5 0.703659301867688
40960 40 0.704299983512453
41472 40.5 0.704910013668064
41984 41 0.705502789739565
42496 41.5 0.706102677323511
43008 42 0.70671619872929
43520 42.5 0.707324042251881
44032 43 0.707905157887062
44544 43.5 0.708463286994123
45056 44 0.709021586355548
45568 44.5 0.709592528241065
46080 45 0.71016326366682
46592 45.5 0.71071490075729
47104 46 0.711247664014331
47616 46.5 0.711777771752264
48128 47 0.712313023456852
48640 47.5 0.712842636163739
49152 48 0.713353931209268
49664 48.5 0.713850004648001
50176 49 0.714343440844412
50688 49.5 0.714836756335457
51200 50 0.715318070310025
51712 50.5 0.71577753115091
52224 51 0.716221088930587
52736 51.5 0.71666263816449
53248 52 0.717105202037308
53760 52.5 0.717536563193661
54272 53 0.717945587955759
54784 53.5 0.718337477937652
55296 54 0.718726927242502
55808 54.5 0.7191183807103
56320 55 0.719501010587233
56832 55.5 0.719864986234654
57344 56 0.72021465018287
57856 56.5 0.720559816197352
58368 57 0.720900123087958
58880 57.5 0.721226632047532
59392 58 0.721536311840713
59904 58.5 0.721835432639277
60416 59 0.722127639875384
60928 59.5 0.722407753123743
61440 60 0.722671658918557
61952 60.5 0.722924812873728
62464 61 0.723173759319829
62976 61.5 0.723413999629127
63488 62 0.723635225997488
64000 62.5 0.723837171955444
64512 63 0.724030866785079
65024 63.5 0.724222414827827
65536 64 0.724404708252601
66048 64.5 0.72457041428391
66560 65 0.724725446131434
67072 65.5 0.724880822115183
67584 66 0.725034985594811
68096 66.5 0.725173902299956
68608 67 0.725288884671576
69120 67.5 0.725386093278501
69632 68 0.725476625909519
70144 68.5 0.725564245739883
70656 69 0.725646177271959
71168 69.5 0.725719421549291
71680 70 0.725780584478953
72192 70.5 0.72582441599114
72704 71 0.725850013630736
73216 71.5 0.725866380175864
73728 72 0.725884347568946
74240 72.5 0.725902597947331
74752 73 0.725907993888182
75264 73.5 0.725891579589951
75776 74 0.725859167388596
76288 74.5 0.725823322383254
76800 75 0.725788790369992
77312 75.5 0.725749339163051
77824 76 0.725696444052961
78336 76.5 0.725627395696847
78848 77 0.725546144715276
79360 77.5 0.725459483836214
79872 78 0.725371667130396
80384 78.5 0.725279791610456
80896 79 0.725175337470077
81408 79.5 0.725053934189331
81920 80 0.724922940434855
82432 80.5 0.724794257748581
82944 81 0.724669088104714
83456 81.5 0.72453536731087
83968 82 0.724383373253
84480 82.5 0.724218699409559
84992 83 0.724053936187824
85504 83.5 0.723890540500555
86016 84 0.723716613580316
86528 84.5 0.723523260915366
87040 85 0.723316025969216
87552 85.5 0.723106273395548
88064 86 0.722895993654001
88576 86.5 0.722676681553764
89088 87 0.722441705728714
89600 87.5 0.722194424710174
90112 88 0.721942673322852
90624 88.5 0.721688644646682
91136 89 0.721427102055689
91648 89.5 0.721152780628192
92160 90 0.72086696791051
92672 90.5 0.72057551982239
93184 91 0.720281392513153
93696 91.5 0.719981075196454
94208 92 0.719669247167455
94720 92.5 0.719345539388649
95232 93 0.719014704518471
95744 93.5 0.718680201545096
96256 94 0.718339783855691
96768 94.5 0.717988659559181
97280 95 0.717625501465747
97792 95.5 0.717253410527362
98304 96 0.716875530710369
98816 96.5 0.716491701596186
99328 97 0.716099449565601
99840 97.5 0.715696476372838
100352 98 0.715281973753561
100864 98.5 0.714857309942824
101376 99 0.71442582718473
101888 99.5 0.713989946844178
102400 100 0.713547574923282
102912 100.5 0.713093418545365
103424 101 0.712625458641668
103936 101.5 0.712148416894193
104448 102 0.711668565355962
104960 102.5 0.711186067981623
105472 103 0.710695009292288
105984 103.5 0.710190926271768
106496 104 0.70967589376685
107008 104.5 0.709155451802973
107520 105 0.708632411657428
108032 105.5 0.708104867769008
108544 106 0.707569151912253
109056 106.5 0.707023611467319
109568 107 0.706470030901959
110080 107.5 0.705912015849164
110592 108 0.705351578484665
111104 108.5 0.704787072694351
111616 109 0.704215132456643
112128 109.5 0.703634794859704
112640 110 0.70304878242297
113152 110.5 0.702460308791049
113664 111 0.701869609108784
114176 111.5 0.701274447195545
114688 112 0.700673322020375
115200 112.5 0.700067002082769
115712 113 0.699457074775398
116224 113.5 0.698844238688076
116736 114 0.698228526259254
117248 114.5 0.697610293074789
117760 115 0.696990034703352
118272 115.5 0.696367550726539
118784 116 0.695742232563153
119296 116.5 0.695114253844163
119808 117 0.694484727334202
