# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 -9.39460329607644e-07 -9.39460329607648e-07 -9.39460329607649e-07
1024 1 -3.61481010494413e-06 -3.61481010494415e-06 -3.61481010494416e-06
1536 1.5 -5.838896427601e-06 -5.838896427601e-06 -5.83889642760099e-06
2048 2 -5.27970280767552e-06 -5.27970280767558e-06 -5.27970280767548e-06
2560 2.5 -5.98504311388311e-06 -5.98504311388296e-06 -5.98504311388311e-06
3072 3 -6.87020656296805e-06 -6.87020656296818e-06 -6.87020656296805e-06
3584 3.5 -7.94961698778857e-06 -7.94961698778905e-06 -7.94961698778796e-06
4096 4 -1.1295637157484e-05 -1.12956371574838e-05 -1.12956371574859e-05
4608 4.5 -1.94020206559529e-05 -1.9402020655953e-05 -1.94020206559533e-05
5120 5 -3.90672538134431e-05 -3.90672538134432e-05 -3.90672538134457e-05
5632 5.5 -7.23862477493737e-05 -7.23862477493752e-05 -7.23862477493781e-05
6144 6 -0.000113878847684558 -0.000113878847684558 -0.000113878847684565
6656 6.5 -0.000161389862542627 -0.000161389862542625 -0.000161389862542642
7168 7 -0.000212228104764754 -0.000212228104764735 -0.000212228104764795
7680 7.5 -0.000265665147540982 -0.000265665147540977 -0.000265665147540946
8192 8 -0.000322136420079956 -0.000322136420079966 -0.000322136420079854
8704 8.5 -0.000382728080347361 -0.000382728080347374 -0.000382728080347201
9216 9 -0.000445344470443778 -0.000445344470443791 -0.000445344470443764
9728 9.5 -0.000507450492946646 -0.000507450492946673 -0.000507450492946703
10240 10 -0.000567581525761565 -0.000567581525761507 -0.000567581525761591
10752 10.5 -0.000625557808031135 -0.000625557808030994 -0.000625557808031174
11264 11 -0.000682189358239277 -0.000682189358239287 -0.000682189358239308
11776 11.5 -0.000738511713634592 -0.000738511713634762 -0.00073851171363455
12288 12 -0.000794590967157377 -0.00079459096715738 -0.0007945909671573
12800 12.5 -0.000849560859968128 -0.00084956085996793 -0.000849560859968123
13312 13 -0.000903108589348023 -0.00090310858934798 -0.000903108589348077
13824 13.5 -0.000956059671006201 -0.000956059671006435 -0.000956059671006271
14336 14 -0.00100925340929163 -0.00100925340929185 -0.00100925340929175
14848 14.5 -0.00106284829418846 -0.00106284829418843 -0.00106284829418855
15360 15 -0.0011170062837426 -0.00111700628374239 -0.00111700628374243
15872 15.5 -0.00117214769640861 -0.00117214769640843 -0.00117214769640833
16384 16 -0.00122810255795966 -0.00122810255795964 -0.0012281025579597
16896 16.5 -0.00128400379831355 -0.00128400379831367 -0.00128400379831381
17408 17 -0.00133935671324151 -0.00133935671324168 -0.00133935671324144
17920 17.5 -0.00139438724453163 -0.00139438724453177 -0.00139438724453132
18432 18 -0.00144930977012466 -0.00144930977012462 -0.00144930977012463
18944 18.5 -0.00150417431703314 -0.00150417431703291 -0.00150417431703345
19456 19 -0.00155936527417123 -0.00155936527417105 -0.00155936527417152
19968 19.5 -0.00161523804014028 -0.00161523804014043 -0.00161523804014041
20480 20 -0.00167123314881026 -0.00167123314881057 -0.00167123314881035
20992 20.5 -0.00172620121412895 -0.00172620121412908 -0.00172620121412904
21504 21 -0.00177974671044652 -0.00177974671044648 -0.00177974671044647
22016 21.5 -0.00183275885945486 -0.00183275885945478 -0.0018327588594546
22528 22 -0.00188656722148876 -0.0018865672214886 -0.00188656722148851
23040 22.5 -0.00194176790794627 -0.00194176790794608 -0.00194176790794639
23552 23 -0.0019976839901161 -0.00199768399011602 -0.00199768399011648
24064 23.5 -0.00205284044896957 -0.00205284044896961 -0.00205284044896966
24576 24 -0.00210622515990007 -0.0021062251599002 -0.00210622515989991
25088 24.5 -0.00215813057559839 -0.00215813057559858 -0.00215813057559852
25600 25 -0.00220954704296546 -0.00220954704296554 -0.00220954704296575
26112 25.5 -0.00226101670098837 -0.0022610167009882 -0.0022610167009882
26624 26 -0.00231252150150949 -0.00231252150150922 -0.00231252150150907
27136 26.5 -0.00236393372656949 -0.00236393372656944 -0.00236393372656959
27648 27 -0.00241457637261771 -0.00241457637261789 -0.00241457637261823
28160 27.5 -0.00246268142240399 -0.00246268142240409 -0.00246268142240398
28672 28 -0.00250665481563024 -0.00250665481563017 -0.0025066548156296
29184 28.5 -0.00254710133932312 -0.00254710133932303 -0.0025471013393227
29696 29 -0.00258652079454703 -0.00258652079454688 -0.00258652079454722
30208 29.5 -0.00262674011290045 -0.00262674011290035 -0.00262674011290087
30720 30 -0.00266752650902565 -0.0026675265090259 -0.00266752650902592
31232 30.5 -0.00270771342096682 -0.00270771342096704 -0.00270771342096667
31744 31 -0.0027464200834533 -0.00274642008345298 -0.00274642008345286
32256 31.5 -0.00278283101076639 -0.00278283101076609 -0.00278283101076626
32768 32 -0.00281608610504523 -0.0028160861050457 -0.00281608610504562
33280 32.5 -0.00284630045284629 -0.00284630045284682 -0.00284630045284669
33792 33 -0.00287506285462485 -0.00287506285462454 -0.00287506285462504
34304 33.5 -0.00290410136632054 -0.00290410136632001 -0.00290410136632066
34816 34 -0.00293354318691169 -0.00293354318691173 -0.00293354318691149
35328 34.5 -0.00296185257871686 -0.00296185257871711 -0.00296185257871634
35840 35 -0.0029873968193501 -0.00298739681935007 -0.00298739681934993
36352 35.5 -0.00300987818171818 -0.00300987818171809 -0.00300987818171853
36864 36 -0.00303040751180878 -0.00303040751180895 -0.00303040751180901
37376 36.5 -0.00305046461115723 -0.0030504646111575 -0.00305046461115708
37888 37 -0.00307067504259101 -0.00307067504259112 -0.00307067504259089
38400 37.5 -0.00309023071262406 -0.00309023071262381 -0.00309023071262409
38912 38 -0.00310747138527529 -0.00310747138527485 -0.00310747138527537
39424 38.5 -0.0031213733021074 -0.00312137330210719 -0.00312137330210756
39936 39 -0.00313261596478634 -0.00313261596478652 -0.00313261596478633
40448 39.5 -0.00314297499229951 -0.00314297499229987 -0.00314297499229914
40960 40 -0.00315349296489066 -0.00315349296489097 -0.00315349296489049
41472 40.5 -0.00316333536331753 -0.00316333536331755 -0.00316333536331791
41984 41 -0.00317066614340515 -0.00317066614340489 -0.00317066614340537
42496 41.5 -0.00317475790859485 -0.00317475790859471 -0.00317475790859447
43008 42 -0.00317696420482922 -0.00317696420482937 -0.00317696420482886
43520 42.5 -0.00317913871318995 -0.00317913871319004 -0.00317913871319004
44032 43 -0.00318122476072204 -0.00318122476072183 -0.00318122476072213
44544 43.5 -0.00318122803837493 -0.00318122803837467 -0.00318122803837485
45056 44 -0.00317782428684311 -0.00317782428684312 -0.0031778242868433
45568 44.5 -0.00317209020253382 -0.00317209020253411 -0.0031720902025343
46080 45 -0.00316598926421398 -0.00316598926421438 -0.00316598926421415
46592 45.5 -0.00315983704244011 -0.00315983704244035 -0.00315983704243972
47104 46 -0.00315220786825565 -0.00315220786825544 -0.0031522078682552
47616 46.5 -0.00314209612785309 -0.00314209612785264 -0.00314209612785307
48128 47 -0.00313020688268032 -0.00313020688268035 -0.00313020688268066
48640 47.5 -0.00311960508885939 -0.00311960508885976 -0.00311960508885993
49152 48 -0.00311132397034041 -0.00311132397034035 -0.00311132397034108
49664 48.5 -0.00310242051755231 -0.00310242051755202 -0.00310242051755214
50176 49 -0.00309348833026782 -0.00309348833026804 -0.00309348833026734
50688 49.5 -0.00308357108063584 -0.00308357108063641 -0.00308357108063603
51200 50 -0.00307152828386469 -0.00307152828386477 -0.0030715282838653
51712 50.5 -0.00305774918282047 -0.00305774918281993 -0.0030577491828205
52224 51 -0.00304361133446595 -0.00304361133446557 -0.00304361133446511
52736 51.5 -0.00302940370807577 -0.00302940370807608 -0.00302940370807506
53248 52 -0.00301380794518484 -0.00301380794518525 -0.00301380794518516
53760 52.5 -0.00299579544042116 -0.00299579544042104 -0.00299579544042203
54272 53 -0.00297618419717115 -0.00297618419717077 -0.00297618419717142
54784 53.5 -0.00295654390303854 -0.00295654390303832 -0.00295654390303788
55296 54 -0.00293703493628475 -0.00293703493628458 -0.00293703493628391
55808 54.5 -0.00291631894073016 -0.00291631894073008 -0.00291631894073012
56320 55 -0.00289358938945695 -0.00289358938945725 -0.00289358938945767
56832 55.5 -0.00286968939709903 -0.00286968939709926 -0.00286968939709934
57344 56 -0.00284578382701771 -0.00284578382701728 -0.00284578382701709
57856 56.5 -0.00282171834451936 -0.00282171834451903 -0.00282171834451889
58368 57 -0.00279644623920107 -0.00279644623920155 -0.00279644623920151
58880 57.5 -0.00276963206399557 -0.00276963206399582 -0.00276963206399604
59392 58 -0.00274194810309546 -0.00274194810309482 -0.0027419481030954
59904 58.5 -0.0027138425783723 -0.00271384257837197 -0.0027138425783722
60416 59 -0.00268489411656833 -0.00268489411656872 -0.00268489411656821
60928 59.5 -0.00265474746199705 -0.00265474746199685 -0.00265474746199667
