# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 2.46500015258789 0 0.183166980743408 0 2.35628271102905 0 0 0 0 0 0 0 0 0 34.1830423724404 49980.8668781036 0 49980.8668781036 160 427675 2587 425088 0 0 0 0 2.46419239044189 1717434937.77725 266
512 0.5 3101.62547049742 3101.62547049742 3.12870001792908 0.58034086227417 0.764341592788696 0 2.3659553527832 3 412392.122557337 412392.122557337 239328 239328 202474.110714071 202474.110714071 117504 117504 76.9764846415763 187281.672394366 7491.67292558374 179789.999468782 186 442998 17910 425088 0 0 0 0 3.12240839004517 1717434938.44095 905
1024 1 3148.92350132812 3148.92350132812 3.6916069984436 1.1432478427887 1.2957558631897 0 2.41960477828979 6 418680.868736587 418680.868736587 478656 478656 205561.7261667 205561.7261667 235008 235008 101.842721532088 187567.997605317 7977.54072394588 179590.456881371 284 458216 19304 438912 0 0 0 0 3.68038654327393 1717434939.00386 1544
1536 1.5 3163.82286971556 3163.82286971556 4.25515508651733 1.70679593086243 1.82878112792969 0 2.42801809310913 9 420661.888757381 420661.888757381 717984 717984 206534.356935032 206534.356935032 352512 352512 126.114113167501 189329.842736773 8437.69359110539 180892.149145667 310 459582 20670 438912 0 0 0 0 4.23910284042358 1717434939.5674 2183
2048 2 3116.5702131568 3116.5702131568 4.85859107971191 2.31023192405701 2.37310743331909 0 2.53826594352722 12 414379.175541329 414379.175541329 957312 957312 203449.703514876 203449.703514876 470016 470016 164.957834502364 231283.758730129 8807.94369006282 222475.815040067 492 886085 22085 864000 0 0 0 0 4.83754992485046 1717434940.17084 2822
2560 2.5 3099.98819090785 3099.98819090785 5.45159602165222 2.90323686599731 2.90671491622925 0 2.54654002189636 15 412174.429863108 412174.429863108 1196640 1196640 202367.229102465 202367.229102465 587520 587520 201.974072150051 348644.971314891 9139.91618328828 339505.055131602 518 887460 23460 864000 0 0 0 0 5.4258828163147 1717434940.76384 3461
3072 3 3112.03246844788 3112.03246844788 6.01875996589661 3.4704008102417 3.44205117225647 0 2.60150551795959 18 413775.83700483 413775.83700483 1435968 1435968 203153.479540278 203153.479540278 705024 705024 223.540976544067 346901.05541078 9577.72180578302 337323.333604997 616 902694 24870 877824 0 0 0 0 5.98819446563721 1717434941.33101 4100
3584 3.5 3118.58351495191 3118.58351495191 6.5886549949646 4.04029583930969 3.98037505149841 0 2.60990285873413 21 414646.864148006 414646.864148006 1675296 1675296 203581.131856061 203581.131856061 822528 822528 244.605645800485 346538.339285327 9985.50790732546 336552.831378002 642 904070 26246 877824 0 0 0 0 6.55333542823792 1717434941.9009 4739
4096 4 3081.08585590381 3081.08585590381 7.22203612327576 4.67367696762085 4.5485405921936 0 2.72838807106018 24 409661.17540097 409661.17540097 1914624 1914624 201133.284673401 201133.284673401 940032 940032 277.539270731326 381276.866988964 10274.9376913605 371001.929297603 824 1330573 27661 1302912 0 0 0 0 7.18173122406006 1717434942.53429 5378
4608 4.5 2939.10878825549 2939.10878825549 8.06023406982422 5.51187491416931 5.32504606246948 0 2.73691391944885 27 390783.90448645 390783.90448645 2153952 2153952 191865.021697318 191865.021697318 1057536 1057536 309.30232134872 486896.329034423 10544.4305555773 476351.898478846 850 1331953 29041 1302912 0 0 0 0 8.01519250869751 1717434943.37248 6017
5120 5 2958.59165381171 2935.09506312058 8.63233494758606 6.08397579193115 5.86488389968872 0 2.79300284385681 30 393374.346290805 393374.346290805 2393280 2393280 193136.863160828 193136.863160828 1175040 1175040 328.099751101246 483606.747449738 10934.9721011299 472671.775348608 948 1347188 30452 1316736 0 0 0 0 8.58244252204895 1717434943.94458 6656
5632 5.5 2977.64693619989 2936.9569245842 9.19790506362915 6.64954590797424 6.39813828468323 0 2.80142498016357 33 395907.936637137 395907.936637137 2632608 2632608 194380.791995129 194380.791995129 1292544 1292544 346.457428988136 481601.185548621 11299.1554289069 470302.030119714 974 1348572 31836 1316736 0 0 0 0 9.14327645301819 1717434944.51015 7295
6144 6 2980.56554868029 2940.20246807418 9.79530596733093 7.24694681167603 6.93583035469055 0 2.91266942024231 36 396295.995352531 396295.995352531 2871936 2871936 194571.319017849 194571.319017849 1410048 1410048 375.593341398807 511926.730037162 11560.860968307 500365.869068855 1156 1775074 33250 1741824 0 0 0 0 9.73584842681885 1717434945.10755 7934
6656 6.5 2984.34903877178 2942.20274057429 10.3892650604248 7.8409059047699 7.46984672546387 0 2.92111444473267 39 396799.048195096 396799.048195096 3111264 3111264 194818.305251022 194818.305251022 1527552 1527552 403.505035880979 608427.020796856 11793.1026148949 596633.918181961 1182 1776454 34630 1741824 0 0 0 0 10.3250231742859 1717434945.70151 8573
7168 7 2984.96329600686 2945.02690323341 10.9906740188599 8.44231486320496 8.03658437728882 0 2.9798367023468 42 396880.719837073 396880.719837073 3350592 3350592 194858.403963328 194858.403963328 1645056 1645056 419.757065781031 603525.016611153 12138.7650176145 591386.251593539 1280 1791699 36051 1755648 0 0 0 0 10.9207842350006 1717434946.30292 9212
7680 7.5 2994.60009908293 2947.31775424884 11.5645880699158 9.01622891426086 8.57806992530823 0 2.98840117454529 45 398162.029174067 398162.029174067 3589920 3589920 195487.494468134 195487.494468134 1762560 1762560 435.959179538517 600323.491500367 12465.6868625495 587857.804637818 1306 1793077 37429 1755648 0 0 0 0 11.4896166324615 1717434946.87684 9851
8192 8 2982.61050713558 2949.80373113631 12.2043299674988 9.65597081184387 9.14593005180359 0 3.11244297027588 48 396567.893028747 396567.893028747 3829248 3829248 194704.813905811 194704.813905811 1880064 1880064 459.717512018179 623970.393867285 12638.9618969151 611331.43197037 1488 2219583 38847 2180736 0 0 0 0 12.1238529682159 1717434947.51658 10490
8704 8.5 2978.13989293838 2950.91172522921 12.8232290744781 10.2748699188232 9.70398616790771 0 3.12117981910706 51 395973.480165087 395973.480165087 4068576 4068576 194412.972211017 194412.972211017 1997568 1997568 484.091827801966 711958.01882634 12834.5246584264 699123.494167913 1514 2220971 40235 2180736 0 0 0 0 12.7376353740692 1717434948.13548 11129
9216 9 2974.82636031336 2952.11617823216 13.4397511482239 10.891391992569 10.2823450565338 0 3.18596220016479 54 395532.912867264 395532.912867264 4307904 4307904 194196.664801256 194196.664801256 2115072 2115072 497.877040313986 705447.425930489 13132.2987274676 692315.127203021 1612 2236216 41656 2194560 0 0 0 0 13.3486680984497 1717434948.752 11768
9728 9.5 2976.97441858023 2953.02004382568 14.0365331172943 11.4881739616394 10.8427546024323 0 3.19572377204895 57 395818.518694427 395818.518694427 4547232 4547232 194336.890044917 194336.890044917 2232576 2232576 511.619698234013 700549.518255067 13413.5788692442 687135.939385823 1638 2237601 43041 2194560 0 0 0 0 13.9402940273285 1717434949.34878 12407
10240 10 2966.62575729587 2953.81935781407 14.6833579540253 12.1349987983704 11.419819355011 0 3.31562423706055 60 394442.560690059 394442.560690059 4786560 4786560 193661.329436275 193661.329436275 2350080 2350080 532.550771890654 720958.226359162 13564.1110582759 707394.115300886 1820 2664115 44467 2619648 0 0 0 0 14.5815773010254 1717434949.99561 13046
10752 10.5 2970.29823748347 2954.08180649853 15.2743539810181 12.7259948253632 11.9518766403198 0 3.32416605949402 63 394930.853655803 394930.853655803 5025888 5025888 193901.068942921 193901.068942921 2467584 2467584 554.405586890441 802215.252863052 13752.9907097567 788462.262153295 1846 2665551 45903 2619648 0 0 0 0 15.1679739952087 1717434950.5866 13685
11264 11 2975.76669093285 2954.84824808406 15.8558540344238 13.3074948787689 12.4973559379578 0 3.38685917854309 66 395657.939226431 395657.939226431 5265216 5265216 194258.049584096 194258.049584096 2585088 2585088 566.920077162902 795594.317237095 14044.9685082847 781549.34872881 1944 2680842 47370 2633472 0 0 0 0 15.7442080974579 1717434951.1681 14324
