# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.0235231730899377
512 0.5 0.0235231730908694
1024 1 0.0235231730946795
1536 1.5 0.0235231731024457
2048 2 0.0235231731153362
2560 2.5 0.0235231731337741
3072 3 0.0235231731586504
3584 3.5 0.0235231731908279
4096 4 0.0235231732285541
4608 4.5 0.0235231732723255
5120 5 0.0235231733215155
5632 5.5 0.0235231733777962
6144 6 0.0235231734400249
6656 6.5 0.0235231735104537
7168 7 0.0235231735876441
7680 7.5 0.0235231736699783
8192 8 0.0235231737587277
8704 8.5 0.0235231738557096
9216 9 0.0235231739576019
9728 9.5 0.023523174065346
10240 10 0.0235231741796479
10752 10.5 0.0235231742990878
11264 11 0.0235231744251208
11776 11.5 0.0235231745580721
12288 12 0.0235231746944789
12800 12.5 0.0235231748357487
13312 13 0.0235231749812161
13824 13.5 0.0235231751340506
14336 14 0.0235231752916948
14848 14.5 0.023523175454698
15360 15 0.0235231756232143
15872 15.5 0.0235231757970458
16384 16 0.0235231759769966
16896 16.5 0.0235231761593477
17408 17 0.023523176341867
17920 17.5 0.0235231765308687
18432 18 0.023523176724814
18944 18.5 0.0235231769240966
19456 19 0.0235231771273153
19968 19.5 0.0235231773335104
20480 20 0.0235231775444136
20992 20.5 0.0235231777595136
21504 21 0.0235231779776364
22016 21.5 0.0235231781992613
22528 22 0.0235231784253487
23040 22.5 0.0235231786516199
23552 23 0.0235231788791952
24064 23.5 0.0235231791077114
24576 24 0.0235231793367778
25088 24.5 0.0235231795672026
25600 25 0.0235231798019291
26112 25.5 0.0235231800384664
26624 26 0.0235231802783016
27136 26.5 0.0235231805246278
27648 27 0.0235231807760535
28160 27.5 0.0235231810318461
28672 28 0.0235231812930591
29184 28.5 0.0235231815563633
29696 29 0.0235231818212161
30208 29.5 0.0235231820863676
30720 30 0.0235231823580637
31232 30.5 0.0235231826327883
31744 31 0.0235231829117829
32256 31.5 0.0235231831945641
32768 32 0.0235231834788864
33280 32.5 0.0235231837661303
33792 33 0.0235231840589444
34304 33.5 0.0235231843573513
34816 34 0.0235231846599711
35328 34.5 0.0235231849675096
35840 35 0.0235231852785299
36352 35.5 0.023523185590278
36864 36 0.0235231859050048
37376 36.5 0.0235231862196122
37888 37 0.0235231865349049
38400 37.5 0.023523186854816
38912 38 0.0235231871704389
39424 38.5 0.0235231874843265
39936 39 0.0235231878015129
40448 39.5 0.0235231881229251
40960 40 0.0235231884503748
41472 40.5 0.0235231887789477
41984 41 0.0235231891124442
42496 41.5 0.0235231894488539
43008 42 0.0235231897859934
43520 42.5 0.0235231901260317
44032 43 0.0235231904634339
44544 43.5 0.0235231908027717
45056 44 0.0235231911490076
45568 44.5 0.0235231914955073
46080 45 0.0235231918563712
46592 45.5 0.0235231922176667
47104 46 0.0235231925871197
47616 46.5 0.0235231929563318
48128 47 0.0235231933268545
48640 47.5 0.0235231936969093
49152 48 0.0235231940645732
49664 48.5 0.0235231944283799
50176 49 0.0235231947965329
50688 49.5 0.023523195162595
51200 50 0.0235231955289708
51712 50.5 0.0235231959192399
52224 51 0.02352319631023
52736 51.5 0.0235231967046483
53248 52 0.0235231971061998
53760 52.5 0.0235231975079742
54272 53 0.0235231979087217
54784 53.5 0.0235231983071098
55296 54 0.0235231987030282
55808 54.5 0.0235231990969422
56320 55 0.0235231994940798
56832 55.5 0.0235231998831903
57344 56 0.0235232002603293
57856 56.5 0.0235232006440122
58368 57 0.0235232010383326
58880 57.5 0.0235232014403217
59392 58 0.0235232018454136
59904 58.5 0.0235232022562389
60416 59 0.0235232026701872
60928 59.5 0.0235232030885883
61440 60 0.0235232035032148
61952 60.5 0.02352320391359
62464 61 0.0235232043221267
62976 61.5 0.0235232047365426
63488 62 0.0235232051528854
64000 62.5 0.0235232055720098
