# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.5 1.00073470195758
1024 1 1.00065622969567
1536 1.5 1.00058622732102
2048 2 1.00052412791868
2560 2.5 1.00048993035398
3072 3 1.00057329993344
3584 3.5 1.00077264722689
4096 4 1.00099958188124
4608 4.5 1.00125365374825
5120 5 1.00153316146306
5632 5.5 1.00183617380405
6144 6 1.00216003058274
6656 6.5 1.00250238226115
7168 7 1.00286097662743
7680 7.5 1.00323345435064
8192 8 1.00359983440789
8704 8.5 1.00397041848987
9216 9 1.00434456222459
9728 9.5 1.0047203390668
10240 10 1.00509629215608
10752 10.5 1.0054711654307
11264 11 1.00584342832187
11776 11.5 1.00621206002335
12288 12 1.00657651451759
12800 12.5 1.00693641864447
13312 13 1.00729133722848
13824 13.5 1.00764055828648
14336 14 1.00805011508405
14848 14.5 1.00850838430103
15360 15 1.00896605535531
15872 15.5 1.00942273372859
16384 16 1.00987793239304
16896 16.5 1.01032793463157
17408 17 1.01075393432886
17920 17.5 1.01114470169434
18432 18 1.01147210890932
18944 18.5 1.01169559555779
19456 19 1.01178927882726
19968 19.5 1.01174787179413
20480 20 1.0116619560249
20992 20.5 1.01181899681312
21504 21 1.01186731460178
22016 21.5 1.01178485968766
22528 22 1.01212152498367
23040 22.5 1.0124368996225
23552 23 1.01270771404977
24064 23.5 1.01292930451838
24576 24 1.0130988146367
25088 24.5 1.01321660955769
25600 25 1.01326717984302
26112 25.5 1.01321211240172
26624 26 1.0130341676138
27136 26.5 1.01274332542758
27648 27 1.01235268678121
28160 27.5 1.01187546000089
28672 28 1.01160572293698
29184 28.5 1.01130970147836
29696 29 1.01090253039028
