# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000898490228196186
512 0.5 -0.000778408190848851
1024 1 -0.000876581091985688
1536 1.5 -0.000979073163965249
2048 2 -0.00108113772144798
2560 2.5 -0.0011723502822596
3072 3 -0.00124844473507313
3584 3.5 -0.00131522900197938
4096 4 -0.00138302757018718
4608 4.5 -0.00145581506149123
5120 5 -0.00153165227335464
5632 5.5 -0.0016084669756248
6144 6 -0.00168167837119338
6656 6.5 -0.00175644556732296
7168 7 -0.00183990234037317
7680 7.5 -0.00193321095818224
8192 8 -0.00203295331524563
8704 8.5 -0.0021358404800896
9216 9 -0.00223697151051843
9728 9.5 -0.0023295043390192
10240 10 -0.00241440992101046
10752 10.5 -0.00250311694079797
11264 11 -0.00259975507767083
11776 11.5 -0.00268876697001168
12288 12 -0.00275555969113938
12800 12.5 -0.00281148082789042
13312 13 -0.00288044895117567
13824 13.5 -0.00296473868763882
14336 14 -0.00304041718934438
14848 14.5 -0.003088214975309
15360 15 -0.00311723961600178
15872 15.5 -0.00315200342461679
16384 16 -0.0032007985822417
16896 16.5 -0.00324628685626066
17408 17 -0.00327093740249792
17920 17.5 -0.00328134085937117
18432 18 -0.00329481440408763
18944 18.5 -0.00331076828271176
19456 19 -0.00331643227546389
19968 19.5 -0.00331386266767239
20480 20 -0.00332391873601304
20992 20.5 -0.00335184954235392
21504 21 -0.00337466848297806
22016 21.5 -0.0033717692550617
22528 22 -0.00335996970857185
23040 22.5 -0.00337170049830506
23552 23 -0.0034101170283119
24064 23.5 -0.00344808852132184
24576 24 -0.00346830869400279
25088 24.5 -0.00348162885165584
25600 25 -0.0035023191738349
26112 25.5 -0.00352770982836479
26624 26 -0.00355263255677491
27136 26.5 -0.00358453977223823
27648 27 -0.00362857704781296
28160 27.5 -0.00367072552421024
28672 28 -0.0036928512119425
29184 28.5 -0.00369867055291484
29696 29 -0.0037108246196776
30208 29.5 -0.00374381271283936
30720 30 -0.00378928865384119
31232 30.5 -0.00382754377650384
31744 31 -0.00384703995641365
32256 31.5 -0.00385284187447979
32768 32 -0.00386047759709812
33280 32.5 -0.00388227294518991
33792 33 -0.00391727246939614
34304 33.5 -0.00395298032202374
34816 34 -0.00397647760847922
35328 34.5 -0.00398501661896033
35840 35 -0.00398888675119931
36352 35.5 -0.00400424185103438
36864 36 -0.00403808427607228
37376 36.5 -0.0040780544203049
37888 37 -0.00410304913420077
38400 37.5 -0.00410801775789145
38912 38 -0.00411166587048755
39424 38.5 -0.00413346057727049
39936 39 -0.00416958134846319
40448 39.5 -0.00420021417891469
40960 40 -0.00421559294361284
41472 40.5 -0.0042244599137021
41984 41 -0.00423878521864507
42496 41.5 -0.00426040410056922
43008 42 -0.00428395793206501
43520 42.5 -0.00430540066684993
44032 43 -0.0043235718618601
44544 43.5 -0.00433753956722724
45056 44 -0.00434738427075805
45568 44.5 -0.00435687839801776
46080 45 -0.00437123678765289
46592 45.5 -0.00439052408426948
47104 46 -0.00440810424415147
47616 46.5 -0.0044181890925546
48128 47 -0.00442293041743105
48640 47.5 -0.00442957101929765
49152 48 -0.00444217933092524
49664 48.5 -0.00445800580909973
50176 49 -0.00447067145997591
50688 49.5 -0.00447631498280669
51200 50 -0.00447788522631667
51712 50.5 -0.00448254528528999
52224 51 -0.00449326163227662
52736 51.5 -0.00450519978987737
53248 52 -0.00451262974937803
53760 52.5 -0.00451619555550499
54272 53 -0.00452012480378718
54784 53.5 -0.00452525484090819
55296 54 -0.00452912955948275
55808 54.5 -0.00453173960751129
56320 55 -0.0045368456829138
56832 55.5 -0.0045454788019563
57344 56 -0.0045521164641642
57856 56.5 -0.00455213182580306
58368 57 -0.00455072505519902
58880 57.5 -0.00455772620199493
59392 58 -0.00457231770551985
59904 58.5 -0.00458158447648836
60416 59 -0.00457882060964473
60928 59.5 -0.00457464836899169
61440 60 -0.00458215191191538
61952 60.5 -0.00459748025513188
62464 61 -0.00460649581813078
62976 61.5 -0.00460619454819421
63488 62 -0.0046077655112749
64000 62.5 -0.00461864574397075
64512 63 -0.0046329645623928
65024 63.5 -0.00464277241246397
65536 64 -0.00464993052128829
66048 64.5 -0.00466017464875543
66560 65 -0.00467257937160412
67072 65.5 -0.00468336075012796
67584 66 -0.00469565167680687
68096 66.5 -0.00471562820734879
68608 67 -0.00474009785156131
69120 67.5 -0.00475811180100452
69632 68 -0.00476485357962417
70144 68.5 -0.00477101029543364
70656 69 -0.00478599931689697
71168 69.5 -0.00480437582175102
71680 70 -0.00481291358194064
72192 70.5 -0.00480928454620142
72704 71 -0.00480402059823518
73216 71.5 -0.00480570567051386
73728 72 -0.00481161017086801
74240 72.5 -0.00481478275732107
74752 73 -0.00481331754567064
75264 73.5 -0.00480863003472607
75776 74 -0.00480100308956703
76288 74.5 -0.0047924296759513
76800 75 -0.00478839558694188
77312 75.5 -0.00479013195047762
77824 76 -0.00478938638897506
78336 76.5 -0.00477845604094501
78848 77 -0.00476261755524287
79360 77.5 -0.00475423092938607
79872 78 -0.0047552117420138
80384 78.5 -0.00475420984941191
80896 79 -0.00474321537389156
81408 79.5 -0.0047299587884594
81920 80 -0.00472645373081652
82432 80.5 -0.00473226095072883
82944 81 -0.00473856041872478
83456 81.5 -0.00474157858811914
83968 82 -0.00474554462372645
