# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 3.47153424086222e-06
512 0.5 1.18206241773393e-05
1024 1 1.66726900976498e-05
1536 1.5 1.89128969177991e-05
2048 2 1.90316444365135e-05
2560 2.5 1.8728171393894e-05
3072 3 1.93730911489199e-05
3584 3.5 2.03572143040138e-05
4096 4 2.05889008774387e-05
4608 4.5 2.03617276872003e-05
5120 5 2.03639351659635e-05
5632 5.5 2.10802579120967e-05
6144 6 2.14369586133748e-05
6656 6.5 2.13996081325337e-05
7168 7 2.13649947611696e-05
7680 7.5 2.17480091699448e-05
8192 8 2.21548859063948e-05
8704 8.5 2.22282964695277e-05
9216 9 2.22267813523581e-05
9728 9.5 2.24159790862014e-05
10240 10 2.28330593137669e-05
10752 10.5 2.29132533338923e-05
11264 11 2.30115792599062e-05
11776 11.5 2.3154119785375e-05
12288 12 2.34343360583796e-05
12800 12.5 2.36213843195164e-05
13312 13 2.36786032127704e-05
13824 13.5 2.38168753640523e-05
14336 14 2.40733934821501e-05
14848 14.5 2.42276601545002e-05
15360 15 2.43614518013957e-05
15872 15.5 2.44678902600303e-05
16384 16 2.46132453335153e-05
16896 16.5 2.47695796761794e-05
17408 17 2.48354481877544e-05
17920 17.5 2.50205998184499e-05
18432 18 2.50970230365338e-05
18944 18.5 2.52624921407548e-05
19456 19 2.52903540453774e-05
19968 19.5 2.53129137327487e-05
20480 20 2.54514376640212e-05
20992 20.5 2.5517992402466e-05
21504 21 2.56714140711044e-05
22016 21.5 2.57116231724522e-05
22528 22 2.57274286066626e-05
23040 22.5 2.58488155839614e-05
23552 23 2.58979939336159e-05
24064 23.5 2.60807882845229e-05
24576 24 2.61249097228987e-05
25088 24.5 2.62089279826359e-05
25600 25 2.62892426093647e-05
26112 25.5 2.63765028898286e-05
26624 26 2.65591432732892e-05
27136 26.5 2.66289592300729e-05
27648 27 2.6773376928707e-05
28160 27.5 2.67974150370153e-05
28672 28 2.69440783091654e-05
29184 28.5 2.70808165405198e-05
29696 29 2.72065864666212e-05
30208 29.5 2.72974504128821e-05
30720 30 2.73527623819118e-05
31232 30.5 2.74558315799848e-05
31744 31 2.75548416527592e-05
32256 31.5 2.7673097285774e-05
32768 32 2.77372720262596e-05
33280 32.5 2.78113822567971e-05
33792 33 2.78588570029564e-05
34304 33.5 2.79191964869691e-05
34816 34 2.79534075814208e-05
35328 34.5 2.80242922117786e-05
35840 35 2.81110191413866e-05
36352 35.5 2.82241978808176e-05
36864 36 2.83011217056948e-05
37376 36.5 2.83028971838513e-05
37888 37 2.83199836880349e-05
38400 37.5 2.83675610877418e-05
38912 38 2.84954503779849e-05
39424 38.5 2.85662246758326e-05
39936 39 2.85583840920532e-05
40448 39.5 2.85672287801671e-05
40960 40 2.85531060120726e-05
41472 40.5 2.86462226598945e-05
41984 41 2.86421280644671e-05
42496 41.5 2.86059298179712e-05
43008 42 2.86010563605568e-05
43520 42.5 2.85946658351894e-05
44032 43 2.87200982313088e-05
44544 43.5 2.86830431901268e-05
45056 44 2.86972799714658e-05
45568 44.5 2.86598025379282e-05
46080 45 2.8692982613219e-05
46592 45.5 2.88114233594923e-05
47104 46 2.87942295590991e-05
47616 46.5 2.88347215367097e-05
48128 47 2.87728029027741e-05
48640 47.5 2.88320880301906e-05
49152 48 2.88834674551912e-05
49664 48.5 2.89053812856503e-05
50176 49 2.89809977976483e-05
50688 49.5 2.89506169343343e-05
51200 50 2.90175620652967e-05
51712 50.5 2.90249660080611e-05
52224 51 2.90814109257799e-05
52736 51.5 2.91430916716172e-05
53248 52 2.915208990556e-05
53760 52.5 2.92065010205058e-05
54272 53 2.92074593717761e-05
54784 53.5 2.9296265194546e-05
55296 54 2.93021093599847e-05
55808 54.5 2.93384049483521e-05
56320 55 2.93503575342674e-05
56832 55.5 2.9391406011167e-05
57344 56 2.94423711718998e-05
57856 56.5 2.94301536021508e-05
58368 57 2.94522295757324e-05
58880 57.5 2.94533539357237e-05
59392 58 2.95177093634344e-05
59904 58.5 2.95212625327925e-05
60416 59 2.95247740964024e-05
60928 59.5 2.95412648750714e-05
61440 60 2.95661108112744e-05
61952 60.5 2.96313495709361e-05
62464 61 2.96433662826375e-05
62976 61.5 2.96556345861868e-05
63488 62 2.97104872226558e-05
64000 62.5 2.9731993390144e-05
64512 63 2.98094011486317e-05
65024 63.5 2.98164852718882e-05
65536 64 2.98497938906411e-05
66048 64.5 2.98797051812001e-05
66560 65 2.98951986507923e-05
67072 65.5 2.99334270195642e-05
67584 66 2.99469823807634e-05
68096 66.5 2.99887647540869e-05
68608 67 3.00091050244009e-05
69120 67.5 3.00186014693501e-05
69632 68 3.0033692625412e-05
70144 68.5 3.005411274761e-05
70656 69 3.00791224463458e-05
71168 69.5 3.00828799851874e-05
71680 70 3.00846390762832e-05
72192 70.5 3.0107079935477e-05
72704 71 3.01057515752754e-05
73216 71.5 3.012552020852e-05
73728 72 3.00897669710981e-05
74240 72.5 3.00946861497108e-05
74752 73 3.00792308483894e-05
75264 73.5 3.00987394297866e-05
75776 74 3.00993365739204e-05
76288 74.5 3.00864343535483e-05
76800 75 3.00665896082575e-05
77312 75.5 3.00383315425423e-05
77824 76 3.00501574542483e-05
78336 76.5 3.00361780989896e-05
78848 77 3.00418999926332e-05
79360 77.5 2.99899783825107e-05
79872 78 2.99708029418352e-05
80384 78.5 2.99461662133056e-05
80896 79 2.99625468600332e-05
81408 79.5 2.99582550212555e-05
81920 80 2.99446160939307e-05
82432 80.5 2.99348114818038e-05
82944 81 2.99517719783042e-05
83456 81.5 2.99863612035826e-05
83968 82 3.00055435092119e-05
84480 82.5 3.00262802023413e-05
84992 83 3.00489431007303e-05
85504 83.5 3.00959510759355e-05
86016 84 3.01397303028808e-05
86528 84.5 3.01671575111757e-05
87040 85 3.01865194985749e-05
87552 85.5 3.02399865385712e-05
88064 86 3.02815404906919e-05
88576 86.5 3.03520651069494e-05
89088 87 3.03725488908634e-05
89600 87.5 3.04373010983644e-05
90112 88 3.04698685510322e-05
90624 88.5 3.0540914999387e-05
91136 89 3.05880467430427e-05
91648 89.5 3.063354604218e-05
92160 90 3.07089102955407e-05
92672 90.5 3.07648118981113e-05
93184 91 3.08644795986541e-05
93696 91.5 3.0900053968144e-05
94208 92 3.09902983653065e-05
94720 92.5 3.10353781705244e-05
95232 93 3.11365046464468e-05
95744 93.5 3.12035369523887e-05
96256 94 3.12936712186241e-05
96768 94.5 3.1373370449268e-05
97280 95 3.14574160857792e-05
97792 95.5 3.15677025428527e-05
98304 96 3.16384420294683e-05
98816 96.5 3.17466127407286e-05
99328 97 3.18118651514894e-05
99840 97.5 3.19346783711745e-05
100352 98 3.20171619113801e-05
100864 98.5 3.21318888146274e-05
101376 99 3.22176461162174e-05
101888 99.5 3.23089997043453e-05
102400 100 3.24092724997719e-05
102912 100.5 3.24898217410121e-05
103424 101 3.26045681126588e-05
103936 101.5 3.26976659435355e-05
104448 102 3.28222734174381e-05
104960 102.5 3.29266568350923e-05
105472 103 3.30479217762573e-05
105984 103.5 3.3161998743515e-05
106496 104 3.33065957376497e-05
107008 104.5 3.3477779166271e-05
107520 105 3.36309644093898e-05
108032 105.5 3.37997494805638e-05
108544 106 3.39363851066378e-05
109056 106.5 3.41096330392782e-05
109568 107 3.42791924481481e-05
110080 107.5 3.4463501166264e-05
110592 108 3.46357428447913e-05
111104 108.5 3.47958130996994e-05
111616 109 3.49700888873478e-05
112128 109.5 3.51231834292242e-05
112640 110 3.53028093443982e-05
113152 110.5 3.54520235639422e-05
113664 111 3.56189330236059e-05
114176 111.5 3.57800167605354e-05
114688 112 3.59401546192447e-05
115200 112.5 3.61266640462991e-05
115712 113 3.63133049321062e-05
116224 113.5 3.65105080004485e-05
116736 114 3.66882820947435e-05
117248 114.5 3.68803718415484e-05
117760 115 3.70604699271105e-05
118272 115.5 3.72511292730956e-05
118784 116 3.74318512216517e-05
119296 116.5 3.75977538297437e-05
119808 117 3.77789721542062e-05
120320 117.5 3.79621241757532e-05
120832 118 3.81772296723811e-05
121344 118.5 3.83679520999436e-05
121856 119 3.85430680790942e-05
122368 119.5 3.87172336318142e-05
122880 120 3.89040161043038e-05
123392 120.5 3.9097530949562e-05
123904 121 3.92684690177755e-05
124416 121.5 3.94473505444234e-05
124928 122 3.9641654788947e-05
125440 122.5 3.98538133217344e-05
125952 123 4.00591752119359e-05
126464 123.5 4.02296795221308e-05
126976 124 4.0407668770677e-05
127488 124.5 4.0614343922535e-05
128000 125 4.08507330240958e-05
128512 125.5 4.10638187292749e-05
129024 126 4.12521372016987e-05
129536 126.5 4.1445600381196e-05
130048 127 4.16704574399135e-05
130560 127.5 4.19148308884483e-05
131072 128 4.21154627120571e-05
131584 128.5 4.23066318490552e-05
132096 129 4.2486474655466e-05
132608 129.5 4.26977356419862e-05
133120 130 4.28933511116108e-05
133632 130.5 4.30822831380022e-05
134144 131 4.32751653445851e-05
134656 131.5 4.34704556977602e-05
135168 132 4.36800095920284e-05
135680 132.5 4.38673617234891e-05
136192 133 4.40544199758986e-05
136704 133.5 4.42298691284242e-05
137216 134 4.4422574962412e-05
137728 134.5 4.46086425158539e-05
138240 135 4.47819993461226e-05
138752 135.5 4.49456063800488e-05
139264 136 4.51110883543394e-05
139776 136.5 4.52852156223718e-05
140288 137 4.54400203200024e-05
140800 137.5 4.55862419129797e-05
141312 138 4.57196337250629e-05
141824 138.5 4.5873098186483e-05
142336 139 4.60259971315248e-05
142848 139.5 4.61719427288774e-05
143360 140 4.63030722855138e-05
143872 140.5 4.64345296796577e-05
144384 141 4.65844105277689e-05
144896 141.5 4.67436737186777e-05
145408 142 4.69068962601135e-05
145920 142.5 4.70687942415696e-05
146432 143 4.7235443920107e-05
146944 143.5 4.73934014274578e-05
147456 144 4.75614485828318e-05
147968 144.5 4.77172563032075e-05
148480 145 4.78759076643337e-05
148992 145.5 4.80348764784139e-05
149504 146 4.82032166651581e-05
150016 146.5 4.8378739680248e-05
150528 147 4.85511113095858e-05
151040 147.5 4.87326556022358e-05
151552 148 4.89171148782526e-05
152064 148.5 4.91196775092706e-05
152576 149 4.93097294246945e-05
153088 149.5 4.95076345932156e-05
153600 150 4.96998175297794e-05
154112 150.5 4.99010738867983e-05
154624 151 5.00990519939129e-05
155136 151.5 5.02924806268975e-05
155648 152 5.04865276443067e-05
156160 152.5 5.06815787443391e-05
156672 153 5.0885619598335e-05
157184 153.5 5.10728120533578e-05
157696 154 5.12649487431323e-05
158208 154.5 5.14470448046193e-05
158720 155 5.16432175841971e-05
159232 155.5 5.18274348136704e-05
159744 156 5.20085206554315e-05
160256 156.5 5.21887928338704e-05
160768 157 5.23776802398859e-05
161280 157.5 5.25705692806753e-05
161792 158 5.27522508361326e-05
162304 158.5 5.29316726084913e-05
162816 159 5.31053049744458e-05
163328 159.5 5.32908872975196e-05
163840 160 5.34640632495385e-05
164352 160.5 5.36425434585685e-05
164864 161 5.38028579987533e-05
165376 161.5 5.39738847897374e-05
165888 162 5.41358571557671e-05
166400 162.5 5.43012031777832e-05
166912 163 5.44602027714636e-05
167424 163.5 5.46122763963811e-05
167936 164 5.47664186689409e-05
168448 164.5 5.49066268528792e-05
168960 165 5.50548684570139e-05
169472 165.5 5.51908322858152e-05
169984 166 5.53324640133075e-05
170496 166.5 5.54550782355327e-05
171008 167 5.55934974106432e-05
171520 167.5 5.57215203305194e-05
172032 168 5.58600925627846e-05
172544 168.5 5.59799509606977e-05
173056 169 5.61030812499011e-05
173568 169.5 5.62235241576572e-05
174080 170 5.6346968220511e-05
174592 170.5 5.64703160843756e-05
175104 171 5.65833478284395e-05
175616 171.5 5.67080650686806e-05
176128 172 5.68262670075534e-05
176640 172.5 5.69558778890945e-05
177152 173 5.70688546920477e-05
177664 173.5 5.72036467059561e-05
178176 174 5.73413039551878e-05
178688 174.5 5.74983478276069e-05
179200 175 5.76388865629816e-05
179712 175.5 5.77766978529246e-05
180224 176 5.79204961331849e-05
180736 176.5 5.80558702781448e-05
181248 177 5.81855941316695e-05
181760 177.5 5.82997658405386e-05
182272 178 5.84282689762133e-05
182784 178.5 5.85536492258108e-05
183296 179 5.86727037305829e-05
183808 179.5 5.87811686161015e-05
184320 180 5.88866649118507e-05
184832 180.5 5.89980756125511e-05
185344 181 5.91036406633619e-05
185856 181.5 5.92064372106945e-05
186368 182 5.93012108240844e-05
186880 182.5 5.94010220789167e-05
187392 183 5.94980988790245e-05
187904 183.5 5.95879678768921e-05
188416 184 5.96693444558588e-05
188928 184.5 5.97536100072677e-05
189440 185 5.98384520644248e-05
189952 185.5 5.99142446320316e-05
190464 186 5.99852121214332e-05
190976 186.5 6.00504467030515e-05
191488 187 6.01218735091127e-05
192000 187.5 6.0185168196576e-05
192512 188 6.02469290647482e-05
193024 188.5 6.02994918264029e-05
193536 189 6.03586355902168e-05
194048 189.5 6.04159823526555e-05
194560 190 6.04685815803952e-05
195072 190.5 6.05142834727447e-05
195584 191 6.05634485213134e-05
196096 191.5 6.06149839698599e-05
196608 192 6.06659334512599e-05
197120 192.5 6.07145042924816e-05
197632 193 6.07581032055471e-05
198144 193.5 6.08068427633053e-05
198656 194 6.08584153330899e-05
199168 194.5 6.09118198794897e-05
199680 195 6.09597448325273e-05
200192 195.5 6.10143631297882e-05
200704 196 6.10663481021115e-05
201216 196.5 6.11253459349256e-05
201728 197 6.1180810628219e-05
202240 197.5 6.1244660188727e-05
202752 198 6.13083866508213e-05
203264 198.5 6.13739510120327e-05
203776 199 6.14408086443669e-05
204288 199.5 6.15076210473943e-05
204800 200 6.15777440355245e-05
205312 200.5 6.16440129508643e-05
205824 201 6.17106824834297e-05
206336 201.5 6.17758157602136e-05
206848 202 6.18404282936415e-05
207360 202.5 6.1907133666305e-05
207872 203 6.19701881265698e-05
208384 203.5 6.20332744281016e-05
208896 204 6.20923873816616e-05
209408 204.5 6.21540564342856e-05
209920 205 6.22155795036924e-05
210432 205.5 6.22752697751509e-05
210944 206 6.23359373880121e-05
211456 206.5 6.2392321427752e-05
211968 207 6.24548448450378e-05
212480 207.5 6.25123383919705e-05
212992 208 6.25732746552891e-05
213504 208.5 6.26276460722822e-05
214016 209 6.26851481313841e-05
214528 209.5 6.27421208898132e-05
215040 210 6.28021839445695e-05
215552 210.5 6.2863679887018e-05
216064 211 6.29223630664803e-05
216576 211.5 6.29828797292327e-05
217088 212 6.30411042275373e-05
217600 212.5 6.31000617649926e-05
218112 213 6.31536988795992e-05
218624 213.5 6.32094554690984e-05
219136 214 6.32652439697342e-05
219648 214.5 6.33234341738455e-05
220160 215 6.33772356798525e-05
220672 215.5 6.34336865090254e-05
221184 216 6.34887020206826e-05
221696 216.5 6.35442108978097e-05
222208 217 6.35958544161373e-05
222720 217.5 6.36451027273637e-05
223232 218 6.36923574908851e-05
223744 218.5 6.37380742351862e-05
224256 219 6.37797278242789e-05
224768 219.5 6.38167014722474e-05
225280 220 6.38526945179971e-05
225792 220.5 6.38835947492625e-05
226304 221 6.39138894911364e-05
226816 221.5 6.39358161782809e-05
227328 222 6.39564571261968e-05
227840 222.5 6.39733572656144e-05
228352 223 6.39881643112971e-05
228864 223.5 6.399772749498e-05
229376 224 6.40039921505271e-05
229888 224.5 6.40080988172033e-05
230400 225 6.40108176458248e-05
230912 225.5 6.40094185644733e-05
231424 226 6.40055063678219e-05
231936 226.5 6.40005854796767e-05
232448 227 6.39935917492443e-05
