# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 -2.20623198171446e-05 -2.20623198171488e-05 -2.20623198171502e-05
1024 1 -3.65118127539151e-05 -3.6511812753912e-05 -3.65118127539089e-05
1536 1.5 -4.95781187752779e-05 -4.95781187752787e-05 -4.95781187752797e-05
2048 2 -3.46157066292851e-05 -3.46157066292808e-05 -3.46157066292793e-05
2560 2.5 -2.92537530034694e-05 -2.92537530035155e-05 -2.92537530034737e-05
3072 3 -4.41877440596668e-05 -4.41877440596374e-05 -4.41877440596863e-05
3584 3.5 -3.59811189450031e-05 -3.59811189449445e-05 -3.59811189450119e-05
4096 4 -2.8910722879022e-05 -2.89107228791694e-05 -2.89107228790102e-05
4608 4.5 -2.62452056825651e-05 -2.62452056823522e-05 -2.62452056826104e-05
5120 5 -3.345642266357e-05 -3.34564226632699e-05 -3.34564226636032e-05
5632 5.5 -3.69259266145357e-05 -3.69259266145157e-05 -3.69259266145207e-05
6144 6 -2.39312770220863e-05 -2.39312770221814e-05 -2.39312770219893e-05
6656 6.5 -4.54084861263425e-05 -4.54084861272737e-05 -4.54084861263329e-05
7168 7 -3.5940779486906e-05 -3.59407794869746e-05 -3.5940779486757e-05
7680 7.5 -3.52120737047957e-05 -3.52120737054325e-05 -3.52120737051023e-05
8192 8 -3.02563383881472e-05 -3.02563383886991e-05 -3.02563383883226e-05
8704 8.5 -1.99619099881018e-05 -1.99619099881606e-05 -1.99619099880483e-05
9216 9 -3.04237304844683e-05 -3.04237304845256e-05 -3.04237304842443e-05
9728 9.5 -4.27872831287738e-05 -4.27872831286224e-05 -4.27872831286628e-05
10240 10 -5.39587484053115e-05 -5.39587484055533e-05 -5.3958748405632e-05
10752 10.5 -6.66073708693496e-05 -6.66073708707454e-05 -6.6607370869789e-05
11264 11 -8.42928170298853e-05 -8.42928170314663e-05 -8.42928170295373e-05
11776 11.5 -0.000103125225096068 -0.00010312522509659 -0.000103125225094863
12288 12 -0.000113750060081366 -0.000113750060080687 -0.000113750060080734
12800 12.5 -0.000115170963201679 -0.000115170963203754 -0.000115170963202531
13312 13 -0.000109173364203386 -0.00010917336420473 -0.000109173364202721
13824 13.5 -9.23841299797396e-05 -9.23841299791562e-05 -9.23841299802569e-05
