# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.47205831647592e-07 2.47205831647597e-07 2.47205831647602e-07
1024 1 6.2015650189327e-07 6.20156501893298e-07 6.20156501893327e-07
1536 1.5 9.53619288940494e-07 9.53619288940527e-07 9.53619288940608e-07
2048 2 1.01864361643602e-06 1.01864361643596e-06 1.01864361643594e-06
2560 2.5 1.08839986996613e-06 1.08839986996618e-06 1.08839986996628e-06
3072 3 1.09151910068122e-06 1.09151910068105e-06 1.09151910068087e-06
3584 3.5 1.22426024202019e-06 1.22426024202036e-06 1.22426024202003e-06
4096 4 1.14502336616414e-06 1.14502336616417e-06 1.14502336616375e-06
4608 4.5 1.22525853821407e-06 1.22525853821416e-06 1.22525853821374e-06
5120 5 1.24988674283801e-06 1.24988674283736e-06 1.24988674283751e-06
5632 5.5 1.28500156167493e-06 1.28500156167488e-06 1.2850015616752e-06
6144 6 1.25776133911815e-06 1.25776133911864e-06 1.25776133911977e-06
6656 6.5 1.33186689161698e-06 1.33186689161582e-06 1.33186689161904e-06
7168 7 1.32853416861829e-06 1.32853416861938e-06 1.32853416862029e-06
7680 7.5 1.30336979321734e-06 1.30336979321658e-06 1.30336979321767e-06
8192 8 1.38148524475733e-06 1.38148524475339e-06 1.38148524475255e-06
8704 8.5 1.41860090062051e-06 1.41860090061892e-06 1.41860090061327e-06
9216 9 1.4440922196853e-06 1.44409221968938e-06 1.44409221969033e-06
9728 9.5 1.52756679382151e-06 1.52756679381182e-06 1.52756679382149e-06
10240 10 1.54803611120166e-06 1.54803611120135e-06 1.54803611120674e-06
10752 10.5 1.58387134464302e-06 1.58387134464631e-06 1.58387134464574e-06
11264 11 1.59786488257382e-06 1.5978648825691e-06 1.59786488256745e-06
11776 11.5 1.61042105849062e-06 1.61042105849004e-06 1.61042105848838e-06
12288 12 1.62172825985957e-06 1.62172825985422e-06 1.62172825985926e-06
12800 12.5 1.64112803945814e-06 1.64112803945528e-06 1.64112803945767e-06
13312 13 1.67378963831605e-06 1.67378963832372e-06 1.67378963831767e-06
13824 13.5 1.71617711864532e-06 1.71617711864725e-06 1.7161771186534e-06
14336 14 1.72878749698366e-06 1.72878749699715e-06 1.7287874969862e-06
14848 14.5 1.7393212476425e-06 1.7393212476546e-06 1.73932124764955e-06
15360 15 1.74912191356888e-06 1.74912191356825e-06 1.74912191356829e-06
15872 15.5 1.80746004084105e-06 1.80746004084715e-06 1.80746004085117e-06
16384 16 1.8714208925316e-06 1.87142089252818e-06 1.87142089252588e-06
16896 16.5 1.90664901649312e-06 1.90664901649657e-06 1.90664901649993e-06
17408 17 1.94843285597736e-06 1.94843285598951e-06 1.94843285597982e-06
17920 17.5 1.95269482565148e-06 1.95269482565663e-06 1.95269482565922e-06
18432 18 1.94842924239558e-06 1.94842924239131e-06 1.94842924239722e-06
18944 18.5 1.93978473422158e-06 1.9397847342143e-06 1.93978473419895e-06
19456 19 1.9308251788116e-06 1.93082517881185e-06 1.93082517881538e-06
19968 19.5 1.91534278427057e-06 1.91534278427157e-06 1.91534278427534e-06
