# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.20623198171446e-05 2.20623198171488e-05 2.20623198171502e-05
1024 1 3.65118127539151e-05 3.6511812753912e-05 3.65118127539089e-05
1536 1.5 5.44851016195943e-05 5.44851016196082e-05 5.44851016196229e-05
2048 2 7.18275551467753e-05 7.18275551467891e-05 7.18275551468039e-05
2560 2.5 8.61259402401778e-05 8.61259402401702e-05 8.61259402401647e-05
3072 3 9.38826543717127e-05 9.38826543716942e-05 9.38826543716778e-05
3584 3.5 9.20530588401243e-05 9.20530588401106e-05 9.20530588400994e-05
4096 4 9.08356571294732e-05 9.08356571294668e-05 9.08356571294467e-05
4608 4.5 8.89009174418971e-05 8.89009174419101e-05 8.89009174418153e-05
5120 5 8.46061312939827e-05 8.46061312939823e-05 8.46061312939442e-05
5632 5.5 8.31663866417607e-05 8.3166386641747e-05 8.31663866415476e-05
6144 6 8.42111922174945e-05 8.42111922175363e-05 8.42111922172465e-05
6656 6.5 8.24102390308915e-05 8.24102390309618e-05 8.24102390308218e-05
7168 7 7.54965495427772e-05 7.5496549542962e-05 7.54965495432958e-05
7680 7.5 6.75396480931244e-05 6.75396480933142e-05 6.7539648093713e-05
8192 8 6.27597208918538e-05 6.27597208918334e-05 6.27597208916122e-05
8704 8.5 6.00370222628418e-05 6.00370222628483e-05 6.00370222624235e-05
9216 9 5.59247228849595e-05 5.59247228848121e-05 5.59247228845549e-05
9728 9.5 5.98321845719208e-05 5.98321845709652e-05 5.98321845711706e-05
10240 10 5.39587484053115e-05 5.39587484055533e-05 5.3958748405632e-05
10752 10.5 6.66073708693496e-05 6.66073708707454e-05 6.6607370869789e-05
11264 11 8.42928170298853e-05 8.42928170314663e-05 8.42928170295373e-05
11776 11.5 0.000103125225096068 0.00010312522509659 0.000103125225094863
12288 12 0.000113750060081366 0.000113750060080687 0.000113750060080734
12800 12.5 0.000115170963201679 0.000115170963203754 0.000115170963202531
13312 13 0.000109173364203386 0.00010917336420473 0.000109173364202721
13824 13.5 9.23841299797396e-05 9.23841299791562e-05 9.23841299802569e-05
14336 14 8.59643761783471e-05 8.59643761784674e-05 8.59643761790569e-05
14848 14.5 8.05837018635176e-05 8.05837018639433e-05 8.05837018636411e-05
