# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 -9.41865965552656e-07 -9.41865965552674e-07 -9.41865965552676e-07
1024 1 -3.65645806804895e-06 -3.65645806804897e-06 -3.65645806804898e-06
1536 1.5 -5.98116517458634e-06 -5.98116517458634e-06 -5.98116517458634e-06
2048 2 -9.47709182808095e-06 -9.47709182808105e-06 -9.47709182808107e-06
2560 2.5 -1.19310006988446e-05 -1.19310006988452e-05 -1.19310006988452e-05
3072 3 -1.64880606499367e-05 -1.64880606499367e-05 -1.64880606499367e-05
3584 3.5 -2.18492589018471e-05 -2.18492589018472e-05 -2.18492589018471e-05
4096 4 -2.45851437583777e-05 -2.45851437583782e-05 -2.45851437583779e-05
4608 4.5 -2.87284603677448e-05 -2.87284603677439e-05 -2.87284603677449e-05
5120 5 -3.2905905507229e-05 -3.29059055072285e-05 -3.29059055072287e-05
5632 5.5 -3.70393364776092e-05 -3.70393364776125e-05 -3.70393364776099e-05
6144 6 -4.16841217041834e-05 -4.16841217041942e-05 -4.16841217041882e-05
6656 6.5 -4.56991187143835e-05 -4.56991187144125e-05 -4.56991187144048e-05
7168 7 -4.83633854378335e-05 -4.83633854378463e-05 -4.83633854378433e-05
7680 7.5 -4.93275452154952e-05 -4.93275452154912e-05 -4.93275452154997e-05
8192 8 -5.28331272462679e-05 -5.28331272463668e-05 -5.28331272463093e-05
8704 8.5 -5.46137120418428e-05 -5.4613712041845e-05 -5.46137120418045e-05
9216 9 -5.4323483328453e-05 -5.43234833285995e-05 -5.4323483328564e-05
9728 9.5 -5.59703962235867e-05 -5.59703962236422e-05 -5.59703962236345e-05
10240 10 -5.48236800405087e-05 -5.48236800403957e-05 -5.48236800405105e-05
10752 10.5 -5.33307884483211e-05 -5.33307884483183e-05 -5.33307884483806e-05
11264 11 -4.94433467711751e-05 -4.94433467711529e-05 -4.94433467710656e-05
11776 11.5 -4.59914619518977e-05 -4.59914619517977e-05 -4.59914619519966e-05
12288 12 -4.55167249142129e-05 -4.55167249141379e-05 -4.55167249140101e-05
12800 12.5 -4.57054192000556e-05 -4.57054192001313e-05 -4.57054191999657e-05
13312 13 -4.3974164673122e-05 -4.39741646728605e-05 -4.39741646728424e-05
13824 13.5 -4.30944507760599e-05 -4.30944507761789e-05 -4.30944507761618e-05
14336 14 -4.22506146536548e-05 -4.22506146532528e-05 -4.22506146534347e-05
14848 14.5 -4.08229778495898e-05 -4.08229778494927e-05 -4.08229778495324e-05
15360 15 -4.01000919847746e-05 -4.01000919845967e-05 -4.01000919848072e-05
15872 15.5 -3.84943540007114e-05 -3.84943540010048e-05 -3.8494354001046e-05
16384 16 -3.7904764934527e-05 -3.79047649344204e-05 -3.79047649348412e-05
16896 16.5 -3.63994000919484e-05 -3.63994000920679e-05 -3.63994000922589e-05
17408 17 -3.52419727522833e-05 -3.52419727524128e-05 -3.52419727523258e-05
17920 17.5 -3.41417219719115e-05 -3.41417219716082e-05 -3.41417219713512e-05
18432 18 -3.34239396920312e-05 -3.34239396921219e-05 -3.34239396919401e-05
18944 18.5 -3.30706800845472e-05 -3.3070680084501e-05 -3.30706800844963e-05
19456 19 -3.2745941636977e-05 -3.27459416368289e-05 -3.27459416367266e-05
19968 19.5 -3.20556880159168e-05 -3.20556880159961e-05 -3.20556880161477e-05
20480 20 -3.16338278400144e-05 -3.16338278400888e-05 -3.16338278400776e-05
20992 20.5 -3.10343314890454e-05 -3.10343314891719e-05 -3.10343314888242e-05
21504 21 -3.03844194364136e-05 -3.03844194365245e-05 -3.03844194363202e-05
22016 21.5 -2.89986185887575e-05 -2.89986185891683e-05 -2.89986185888116e-05
22528 22 -2.82428728730561e-05 -2.82428728732563e-05 -2.82428728730646e-05
23040 22.5 -2.743567061752e-05 -2.74356706175336e-05 -2.74356706176423e-05
23552 23 -2.66044750104562e-05 -2.66044750105383e-05 -2.66044750105471e-05
24064 23.5 -2.52871102181986e-05 -2.52871102181385e-05 -2.52871102181379e-05
24576 24 -2.39318280087395e-05 -2.39318280086748e-05 -2.3931828008744e-05
25088 24.5 -2.28190467123217e-05 -2.28190467121634e-05 -2.28190467122255e-05
25600 25 -2.18580178209242e-05 -2.18580178210431e-05 -2.18580178209659e-05
26112 25.5 -2.09411731608196e-05 -2.09411731608697e-05 -2.09411731608301e-05
26624 26 -2.01049176128562e-05 -2.01049176129037e-05 -2.01049176128255e-05
27136 26.5 -1.92992437802749e-05 -1.9299243780385e-05 -1.92992437802984e-05
27648 27 -1.85056127659567e-05 -1.85056127660176e-05 -1.8505612766025e-05
28160 27.5 -1.78135063075847e-05 -1.78135063076422e-05 -1.78135063076898e-05
28672 28 -1.72630102178645e-05 -1.72630102179122e-05 -1.72630102180446e-05
29184 28.5 -1.67733680925592e-05 -1.67733680926576e-05 -1.67733680925918e-05
29696 29 -1.62447844945672e-05 -1.62447844946438e-05 -1.6244784494513e-05
30208 29.5 -1.5722327813567e-05 -1.57223278136295e-05 -1.57223278135874e-05
30720 30 -1.51295849568298e-05 -1.51295849568573e-05 -1.51295849568181e-05
31232 30.5 -1.4569539694413e-05 -1.45695396944259e-05 -1.45695396943505e-05
31744 31 -1.40115346926111e-05 -1.40115346927096e-05 -1.4011534692609e-05
32256 31.5 -1.34967698452058e-05 -1.34967698452331e-05 -1.34967698451178e-05
32768 32 -1.29633810428707e-05 -1.29633810429658e-05 -1.29633810429081e-05
33280 32.5 -1.24460227928362e-05 -1.24460227928423e-05 -1.24460227927439e-05
33792 33 -1.21729427861394e-05 -1.21729427861678e-05 -1.21729427861254e-05
34304 33.5 -1.18944114662958e-05 -1.18944114663488e-05 -1.18944114662053e-05
34816 34 -1.15177144628701e-05 -1.15177144628634e-05 -1.15177144628204e-05
35328 34.5 -1.11321915522497e-05 -1.11321915522069e-05 -1.11321915522139e-05
35840 35 -1.0647909171247e-05 -1.06479091712529e-05 -1.06479091712626e-05
