# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 2.44786190986633 0 0.177186250686646 0 2.32392835617065 0 0 0 0 0 0 0 0 0 34.3510089979907 50226.4599256775 0 50226.4599256775 160 427523 2435 425088 0 0 0 0 2.44689846038818 1717429583.67825 266
512 0.5 3372.37853558827 3372.37853558827 3.04358291625977 0.533747911453247 0.711769580841064 0 2.33347916603088 3 448391.450091817 448391.450091817 239328 239328 220148.870803202 220148.870803202 117504 117504 78.0508444803623 189477.001991957 7177.6757366364 182299.32625532 186 442022 16934 425088 0 0 0 0 3.03723955154419 1717429584.27397 905
1024 1 3297.38288221005 3297.38288221005 3.60160994529724 1.09177494049072 1.23923349380493 0 2.3859531879425 6 438420.028018648 438420.028018648 478656 478656 215253.154550672 215253.154550672 235008 235008 103.285824681272 189817.757333609 7682.51816450985 182135.239169099 284 457254 18342 438912 0 0 0 0 3.59043335914612 1717429584.832 1544
1536 1.5 3217.53214550097 3217.53214550097 4.18813991546631 1.67830491065979 1.79550552368164 0 2.39429020881653 9 427803.074065808 427803.074065808 717984 717984 210040.498458303 210040.498458303 352512 352512 127.892502528042 191606.791900222 8163.80474470666 183442.987155516 310 458646 19734 438912 0 0 0 0 4.17212414741516 1717429585.41853 2183
2048 2 3154.76904228034 3154.76904228034 4.79209399223328 2.28225898742676 2.34050440788269 0 2.50301194190979 12 419458.091861593 419458.091861593 957312 957312 205943.32308006 205943.32308006 470016 470016 167.238432818113 234104.029346344 8552.41029487162 225551.619051472 492 885160 21160 864000 0 0 0 0 4.77120637893677 1717429586.02248 2822
2560 2.5 3117.17673918687 3117.17673918687 5.39706301689148 2.88722801208496 2.88746333122253 0 2.51127076148987 15 414459.819242287 414459.819242287 1196640 1196640 203489.297534119 203489.297534119 587520 587520 204.813541751377 353181.029253971 8903.01354737553 344278.015706595 518 886544 22544 864000 0 0 0 0 5.3715124130249 1717429586.62745 3461
3072 3 3128.6246347312 3128.6246347312 5.96183109283447 3.45199608802795 3.42051696777344 0 2.5657844543457 18 415981.931433861 415981.931433861 1435968 1435968 204236.616155253 204236.616155253 705024 705024 226.654388892662 351376.868838894 9355.3959998664 342021.472839028 616 901792 23968 877824 0 0 0 0 5.93157315254211 1717429587.19222 4100
3584 3.5 3126.82244976312 3126.82244976312 6.53948497772217 4.02964997291565 3.96697115898132 0 2.57411885261536 21 415742.312920504 415742.312920504 1675296 1675296 204118.969520536 204118.969520536 822528 822528 248.006442318074 351011.914269125 9779.92802865271 341231.986240472 642 903183 25359 877824 0 0 0 0 6.50445508956909 1717429587.76987 4739
4096 4 3079.77258483311 3079.77258483311 7.18550491333008 4.67566990852356 4.55459690093994 0 2.68216824531555 24 409486.56287941 409486.56287941 1914624 1914624 201047.554337906 201047.554337906 940032 940032 282.031905526756 387116.917506644 10109.4374545756 377007.480052068 824 1329700 26788 1302912 0 0 0 0 7.14560508728027 1717429588.41589 5378
4608 4.5 3068.71947916283 3068.71947916283 7.78890991210938 5.27907490730286 5.1000874042511 0 2.69053936004639 27 408016.94194949 408016.94194949 2153952 2153952 200326.00759975 200326.00759975 1057536 1057536 314.635866639581 494970.194615073 10404.1824695535 484566.01214552 850 1331086 28174 1302912 0 0 0 0 7.74433374404907 1717429589.0193 6017
5120 5 3047.63036584576 3047.63036584576 8.41606307029724 5.90622806549072 5.69579482078552 0 2.74505162239075 30 405212.933442853 405212.933442853 2393280 2393280 198949.310282411 198949.310282411 1175040 1175040 333.790610599886 491681.289240529 10811.0661532291 480870.2230873 948 1346335 29599 1316736 0 0 0 0 8.36634373664856 1717429589.64645 6656
5632 5.5 3058.87968546371 3046.97941905086 8.98279309272766 6.47295808792114 6.23107719421387 0 2.75335097312927 33 406708.642979255 406708.642979255 2632608 2632608 199683.665867071 199683.665867071 1292544 1292544 352.507321167821 489706.441252821 11191.9257422736 478514.515510548 974 1347733 30997 1316736 0 0 0 0 8.92840695381165 1717429590.21318 7295
6144 6 3056.39086246175 3047.49814417815 9.57699394226074 7.06715893745422 6.76649808883667 0 2.86690020561218 36 406377.729072915 406377.729072915 2871936 2871936 199521.195501503 199521.195501503 1410048 1410048 382.138973338647 520558.320062124 11472.3528094581 509085.967252666 1156 1774258 32434 1741824 0 0 0 0 9.51789975166321 1717429590.80738 7934
6656 6.5 3048.34206879004 3046.54109627424 10.1861388683319 7.67630386352539 7.31263828277588 0 2.8753604888916 39 405307.561466324 405307.561466324 3111264 3111264 198995.770250614 198995.770250614 1527552 1527552 409.952935427036 617872.851296616 11704.8871223709 606167.964174245 1182 1775659 33835 1741824 0 0 0 0 10.1218881607056 1717429591.41652 8573
7168 7 3038.55709644275 3045.76597820821 10.8032450675964 8.29341006278992 7.89428400993347 0 2.93889784812927 42 404006.551543028 404006.551543028 3350592 3350592 198357.007255783 198357.007255783 1645056 1645056 426.26902712689 612621.81399971 12061.0071102798 600560.80688943 1280 1790926 35278 1755648 0 0 0 0 10.73353099823 1717429592.03363 9212
7680 7.5 3036.81564375246 3044.58460857624 11.4007270336151 8.89089202880859 8.45405054092407 0 2.94855356216431 45 403775.007993327 403775.007993327 3589920 3589920 198243.325224161 198243.325224161 1762560 1762560 441.853730204008 608184.849760467 12378.6917533959 595806.158007071 1306 1792324 36676 1755648 0 0 0 0 11.3259921073914 1717429592.63111 9851
8192 8 3019.72350955718 3043.12112029994 12.0471320152283 9.53729701042175 9.03216648101807 0 3.0661723613739 48 401502.437830723 401502.437830723 3829248 3829248 197127.550703893 197127.550703893 1880064 1880064 466.340322649265 632717.017277518 12578.5849190261 620138.432358492 1488 2218852 38116 2180736 0 0 0 0 11.9670393466949 1717429593.27752 10490
8704 8.5 3020.97029377031 3041.11026753116 12.6390309333801 10.1291959285736 9.56626510620117 0 3.07442688941956 51 401668.2102597 401668.2102597 4068576 4068576 197208.940777326 197208.940777326 1997568 1997568 491.413952421588 722494.366594212 12796.2891451767 709698.077449036 1514 2220255 39519 2180736 0 0 0 0 12.5543465614319 1717429593.86942 11129
9216 9 3023.94236132813 3039.96951478474 13.2243249416351 10.7144899368286 10.1160366535187 0 3.13674926757812 54 402063.376362188 402063.376362188 4307904 4307904 197402.9573475 197402.9573475 2115072 2115072 505.744594544219 716369.845265966 13114.6136463108 703255.231619656 1612 2235512 40952 2194560 0 0 0 0 13.1344308853149 1717429594.45471 11768
9728 9.5 3021.9301896637 3038.68252091465 13.8271050453186 11.3172700405121 10.6826739311218 0 3.14630007743835 57 401795.838017686 401795.838017686 4547232 4547232 197271.602781246 197271.602781246 2232576 2232576 519.64884605761 711325.17099881 13405.604533578 697919.566465232 1638 2236914 42354 2194560 0 0 0 0 13.7318689823151 1717429595.05749 12407
10240 10 3008.33232354913 3037.1623936723 14.4765980243683 11.9667630195618 11.2657308578491 0 3.26119756698608 60 399987.865739092 399987.865739092 4786560 4786560 196383.934081287 196383.934081287 2350080 2350080 541.28679570514 732577.487018867 13579.1976867318 718998.289332135 1820 2663449 43801 2619648 0 0 0 0 14.3760390281677 1717429595.70698 13046
10752 10.5 3010.20555940074 3035.42674568589 15.0671169757843 12.5572819709778 11.7992038726807 0 3.269535779953 63 400236.931177922 400236.931177922 5025888 5025888 196506.21891768 196506.21891768 2467584 2467584 563.66247873929 815410.910856002 13783.720245566 801627.190610436 1846 2664901 45253 2619648 0 0 0 0 14.961897611618 1717429596.2975 13685
11264 11 3012.39762651392 3034.28251389804 15.6555099487305 13.145674943924 12.3518507480621 0 3.33209109306335 66 400528.388421291 400528.388421291 5265216 5265216 196649.317058829 196649.317058829 2585088 2585088 576.330633503243 808610.343179338 14087.712192161 794522.630987177 1944 2680213 46741 2633472 0 0 0 0 15.5450665950775 1717429596.8859 14324
11776 11.5 3011.47241357279 3033.06459170498 16.2572629451752 13.7474279403687 12.9173998832703 0 3.34172534942627 69 400405.372108638 400405.372108638 5504544 5504544 196588.919158032 196588.919158032 2702592 2702592 588.64688867773 802864.952933315 14367.9543473948 788496.99858592 1970 2681667 48195 2633472 0 0 0 0 16.1413683891296 1717429597.48765 14963
12288 12 3000.68539141592 3031.71753017843 16.9065458774567 14.3967108726501 13.4917359352112 0 3.46505618095398 72 398971.12964266 398971.12964266 5743872 5743872 195884.742351631 195884.742351631 2820096 2820096 606.183077538666 819078.674159175 14489.2397635063 804589.434395669 2152 3108237 49677 3058560 0 0 0 0 16.785341501236 1717429598.13693 15602
12800 12.5 3002.3167845022 3030.22629323526 17.4982600212097 14.9884250164032 14.0265307426453 0 3.47339224815369 75 399188.039667413 399188.039667413 5983200 5983200 195991.239692304 195991.239692304 2937600 2937600 626.200900347547 895657.970567843 14667.6183291158 880990.352238727 2178 3109689 51129 3058560 0 0 0 0 17.3724253177643 1717429598.72865 16241
