# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.5 0.00127722552866388
1024 1 0.00127471676394461
1536 1.5 0.0012725088475885
2048 2 0.00127058481870869
2560 2.5 0.00126896011920827
3072 3 0.00126769363387713
3584 3.5 0.00126683408733578
4096 4 0.00126642095554008
4608 4.5 0.0012664875234502
5120 5 0.00126710096593701
5632 5.5 0.00126854755565325
6144 6 0.00127087585656492
6656 6.5 0.00127396536389188
7168 7 0.00127768907966096
7680 7.5 0.00128190257420601
8192 8 0.0012864631237272
8704 8.5 0.00129123630566706
9216 9 0.00129609147617307
9728 9.5 0.00130090343012956
10240 10 0.00130557167462699
10752 10.5 0.00131003993690417
11264 11 0.00131425519064472
11776 11.5 0.00131819997609854
12288 12 0.00132203316411725
12800 12.5 0.00132583125663482
13312 13 0.00132966320880155
13824 13.5 0.00133364393739221
14336 14 0.00133780949163409
14848 14.5 0.00134217174621351
15360 15 0.00134675253510093
15872 15.5 0.00135157306747991
16384 16 0.00135665453173923
16896 16.5 0.00136205840045142
17408 17 0.00136779570461028
17920 17.5 0.0013738654601331
18432 18 0.00138024915266337
18944 18.5 0.00138690623732373
19456 19 0.00139378653067046
19968 19.5 0.00140086493727498
20480 20 0.00140809530707673
20992 20.5 0.00141541298092186
21504 21 0.00142275504033269
22016 21.5 0.00143006709668805
22528 22 0.00143732205008384
23040 22.5 0.00144451053525277
23552 23 0.00145161118461318
24064 23.5 0.0014586087157156
24576 24 0.00146549857400176
25088 24.5 0.00147228771811258
25600 25 0.0014789891774982
26112 25.5 0.00148561517683918
26624 26 0.00149217575328768
27136 26.5 0.00149868334659608
27648 27 0.0015051560711109
28160 27.5 0.00151161361912309
28672 28 0.00151806942528182
29184 28.5 0.00152452701179578
29696 29 0.00153098289381837
30208 29.5 0.00153743139687241
30720 30 0.00154386623378147
31232 30.5 0.00155028258163847
31744 31 0.00155667649355295
32256 31.5 0.00156304129771149
32768 32 0.00156936265149304
33280 32.5 0.0015756091814613
33792 33 0.00158176880334198
34304 33.5 0.00158784695248494
34816 34 0.00159386099474801
35328 34.5 0.00159982950361116
35840 35 0.00160576183310316
36352 35.5 0.00161165771151075
36864 36 0.001617516105232
37376 36.5 0.00162334425131837
37888 37 0.00162915886830586
38400 37.5 0.0016349790290333
38912 38 0.00164081684667035
39424 38.5 0.00164667343181858
39936 39 0.00165254473974674
40448 39.5 0.0016584318054502
40960 40 0.00166434572771391
41472 40.5 0.0016703022635133
41984 41 0.00167631100439287
42496 41.5 0.00168237017477101
43008 42 0.00168847263684109
43520 42.5 0.0016946171460049
44032 43 0.00170081230978432
44544 43.5 0.00170706884254251
45056 44 0.00171338942625972
45568 44.5 0.00171976828024632
46080 45 0.00172620047024425
46592 45.5 0.00173268877293519
47104 46 0.00173923960203659
47616 46.5 0.0017458541908485
48128 47 0.00175253209341901
48640 47.5 0.00175927874357131
49152 48 0.00176609249942266
49664 48.5 0.00177297211140956
50176 49 0.00177991246860952
50688 49.5 0.00178690473536599
51200 50 0.00179394130739507
51712 50.5 0.00180101880791239
52224 51 0.00180813435661467
52736 51.5 0.00181527908912962
53248 52 0.00182243710303668
53760 52.5 0.00182959132136972
54272 53 0.00183672820852419
54784 53.5 0.00184383984497099
55296 54 0.00185092111545597
55808 54.5 0.00185796236300396
56320 55 0.00186495014713761
56832 55.5 0.0018718711997003
57344 56 0.00187871077203303
57856 56.5 0.00188545458750221
58368 57 0.00189209035908227
58880 57.5 0.00189860383191695
59392 58 0.0019049812124815
59904 58.5 0.00191121020495369
60416 59 0.0019172774781546
60928 59.5 0.00192316819709499
