# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 0.0281536936548969 0.0281536936548969 0.0281536936548969
1024 1 0.0252211696910926 0.0252211696910926 0.0252211696910926
1536 1.5 0.0223345131984095 0.0223345131984095 0.0223345131984095
2048 2 0.0194985511711282 0.0194985511711282 0.0194985511711282
2560 2.5 0.0168265407551491 0.0168265407551491 0.0168265407551491
3072 3 0.0147493869000355 0.0147493869000355 0.0147493869000355
3584 3.5 0.0126935584675612 0.0126935584675613 0.0126935584675613
4096 4 0.0106681228853639 0.0106681228853639 0.010668122885364
4608 4.5 0.00860805235582695 0.00860805235582699 0.008608052355827
5120 5 0.00635198086355558 0.00635198086355564 0.00635198086355564
5632 5.5 0.00391555326221187 0.00391555326221193 0.00391555326221193
6144 6 0.00135599144858704 0.00135599144858706 0.00135599144858705
6656 6.5 1.05344687020934e-18 1.59000883965163e-18 9.01189314147717e-19
7168 7 1.41743976688672e-18 2.04288325212184e-18 8.51459459757122e-19
7680 7.5 1.65182021245746e-18 2.38064166470451e-18 1.12998639212989e-18
8192 8 1.49612154142902e-18 2.14117670993219e-18 8.73538719975346e-19
8704 8.5 1.1651311483016e-18 1.60448110427177e-18 9.78165197659542e-19
9216 9 1.00859747648736e-18 1.92186098782069e-18 1.09008158552963e-18
9728 9.5 1.19222033971744e-18 1.98557637885713e-18 8.37093292270316e-19
10240 10 1.05105358178643e-18 1.26633973785119e-18 6.7475128362545e-19
10752 10.5 1.41815160303514e-18 1.75431416198451e-18 1.51526570027586e-18
11264 11 9.89582616639613e-19 1.30599651707759e-18 1.33320029065341e-18
11776 11.5 9.07023593644934e-19 1.195404927636e-18 1.28636216021171e-18
12288 12 8.84254151597289e-19 1.2904149077887e-18 1.2816868544752e-18
12800 12.5 8.25219822105991e-19 1.56060669850119e-18 1.6333904681208e-18
13312 13 7.71363403011484e-19 1.76639379647911e-18 1.2897007398082e-18
13824 13.5 1.07709428058078e-18 2.24786029182651e-18 1.89613165839796e-18
14336 14 9.13924159806972e-19 2.89275162160848e-18 1.57325322676007e-18
14848 14.5 9.54552519233005e-19 2.97096683915978e-18 9.32557335888888e-19
15360 15 1.29939280583082e-18 2.89082798498014e-18 1.56838875195698e-18
15872 15.5 1.29736731115017e-18 2.76889604681498e-18 1.23747520366104e-18
16384 16 8.89494620069681e-19 2.19382684238265e-18 8.10385047068452e-19
16896 16.5 1.51205662123255e-18 2.44468268017748e-18 1.95231125441265e-18
17408 17 1.3421222109714e-18 1.75972204690166e-18 1.94920463168382e-18
17920 17.5 1.14036206861473e-18 1.07512374699518e-18 1.76230206103247e-18
18432 18 1.25254730285816e-18 6.29344811747109e-19 1.7366637731697e-18
18944 18.5 1.30047379409614e-18 8.85140811089738e-19 1.73729488204287e-18
19456 19 1.63735306447225e-18 1.12456261046839e-18 1.64644562814295e-18
19968 19.5 1.5649886967206e-18 7.64195300159414e-19 1.70665617564269e-18
20480 20 1.38993728671439e-18 1.08198639507615e-18 1.60445725287608e-18
20992 20.5 1.84038448934549e-18 1.91412712496378e-18 1.41511455401256e-18
21504 21 1.67449732267714e-18 1.20062147207114e-18 9.83674152022699e-19
22016 21.5 1.51820291287582e-18 1.07512153696948e-18 1.13341028573049e-18
22528 22 1.80560347308054e-18 1.09138625667044e-18 1.48595562345683e-18
23040 22.5 1.34373611153523e-18 1.13682853709194e-18 2.15815053945303e-18
23552 23 1.46896865554884e-18 1.30982279216604e-18 1.57861946311691e-18
24064 23.5 1.57268008428063e-18 2.04192391223614e-18 2.05074732164054e-18
24576 24 1.61559901914747e-18 1.95661774933681e-18 2.33415076725786e-18
25088 24.5 1.35351338317145e-18 1.61143098334214e-18 2.32618990723813e-18
25600 25 1.62517251428744e-18 1.80848003730273e-18 2.0035278340243e-18
26112 25.5 1.50791926403253e-18 2.21044902239501e-18 2.38571708778324e-18
26624 26 2.48164572311936e-18 2.57174548357436e-18 2.0457783184642e-18
27136 26.5 1.64137197417364e-18 2.47919790501982e-18 2.46832039962997e-18
27648 27 1.97283290516594e-18 2.24318867972805e-18 1.91009584097658e-18
28160 27.5 2.0398581796863e-18 1.71643852554841e-18 1.64547096894815e-18
28672 28 2.1374577646154e-18 1.52638338860013e-18 1.21717916249326e-18
29184 28.5 1.94794556231618e-18 1.38717965889317e-18 1.46947885912478e-18
29696 29 1.63534588774579e-18 1.24196272034746e-18 1.62022010274507e-18
30208 29.5 1.4617356697505e-18 1.4801251703751e-18 2.01894995732205e-18
30720 30 1.50057475055234e-18 1.54016544074074e-18 2.13661412131057e-18
31232 30.5 1.5235534381962e-18 2.21537473668265e-18 2.12432436147496e-18
31744 31 1.40990472076489e-18 2.08509287158214e-18 1.91913637384504e-18
32256 31.5 1.69016617952697e-18 1.44639738872568e-18 2.11063536917474e-18
32768 32 1.72343621851922e-18 1.15767783170122e-18 1.85266649999188e-18
33280 32.5 1.75686082945466e-18 1.30755831605962e-18 1.51922459269276e-18
33792 33 1.95175856764167e-18 1.40567556564603e-18 1.43666879055578e-18
