# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 -0.00456673797674727 -0.00456673797674727 -0.00456673797674727
1024 1 -0.00906134529426988 -0.00906134529426988 -0.00906134529426988
1536 1.5 -0.0134675134928476 -0.0134675134928476 -0.0134675134928476
2048 2 -0.017920894021315 -0.017920894021315 -0.017920894021315
2560 2.5 -0.0223934255677352 -0.0223934255677352 -0.0223934255677352
3072 3 -0.0268265810055389 -0.0268265810055389 -0.0268265810055389
3584 3.5 -0.0312121096938522 -0.0312121096938522 -0.0312121096938522
4096 4 -0.035543150420805 -0.035543150420805 -0.035543150420805
4608 4.5 -0.0398055667642561 -0.0398055667642561 -0.0398055667642561
5120 5 -0.0439749493845424 -0.0439749493845424 -0.0439749493845424
5632 5.5 -0.0480479431741568 -0.0480479431741568 -0.0480479431741567
6144 6 -0.0520426671448967 -0.0520426671448967 -0.0520426671448968
6656 6.5 -0.0561180635711018 -0.0561180635711018 -0.0561180635711019
7168 7 -0.0600844375549048 -0.0600844375549047 -0.0600844375549048
7680 7.5 -0.0639384356980409 -0.0639384356980408 -0.0639384356980409
8192 8 -0.0676840022422875 -0.0676840022422877 -0.0676840022422877
8704 8.5 -0.0713183914843808 -0.071318391484381 -0.071318391484381
9216 9 -0.074834620315563 -0.074834620315563 -0.074834620315563
9728 9.5 -0.0782330634762468 -0.0782330634762463 -0.0782330634762463
10240 10 -0.0815208726478045 -0.0815208726478041 -0.0815208726478042
10752 10.5 -0.0847026990071229 -0.0847026990071229 -0.0847026990071231
11264 11 -0.0877782410186372 -0.0877782410186376 -0.0877782410186376
11776 11.5 -0.0907476417837874 -0.0907476417837875 -0.0907476417837876
12288 12 -0.0936156557776688 -0.0936156557776687 -0.0936156557776686
12800 12.5 -0.0963891468445733 -0.0963891468445733 -0.0963891468445729
13312 13 -0.0990721554253034 -0.0990721554253034 -0.0990721554253032
13824 13.5 -0.101665782487918 -0.101665782487918 -0.101665782487918
14336 14 -0.104170397548189 -0.104170397548188 -0.104170397548188
14848 14.5 -0.106585411683879 -0.106585411683879 -0.106585411683878
15360 15 -0.108909628336584 -0.108909628336585 -0.108909628336584
15872 15.5 -0.112095092706764 -0.112095092706764 -0.112095092706764
16384 16 -0.1154876751028 -0.115487675102799 -0.1154876751028
16896 16.5 -0.119085617090053 -0.119085617090053 -0.119085617090053
17408 17 -0.122962457104586 -0.122962457104587 -0.122962457104586
17920 17.5 -0.126738410197454 -0.126738410197454 -0.126738410197454
18432 18 -0.130413061379436 -0.130413061379436 -0.130413061379436
18944 18.5 -0.133989771562683 -0.133989771562684 -0.133989771562683
19456 19 -0.137479334731189 -0.13747933473119 -0.13747933473119
19968 19.5 -0.140902496797082 -0.140902496797081 -0.140902496797082
20480 20 -0.144268723302737 -0.144268723302736 -0.144268723302737
20992 20.5 -0.147573867631941 -0.147573867631941 -0.147573867631941
21504 21 -0.150802995012914 -0.150802995012914 -0.150802995012914
22016 21.5 -0.153946872113548 -0.153946872113548 -0.153946872113548
22528 22 -0.156684866456766 -0.156684866456766 -0.156684866456766
23040 22.5 -0.159279281579297 -0.159279281579298 -0.159279281579297
23552 23 -0.161750650327294 -0.161750650327294 -0.161750650327294
24064 23.5 -0.164090658558602 -0.164090658558602 -0.164090658558602
24576 24 -0.166288971417061 -0.166288971417061 -0.166288971417061
25088 24.5 -0.169759985618818 -0.169759985618818 -0.169759985618818
25600 25 -0.173334631456727 -0.173334631456728 -0.173334631456727
26112 25.5 -0.176817228285827 -0.176817228285828 -0.176817228285827
26624 26 -0.180209736114873 -0.180209736114874 -0.180209736114873
27136 26.5 -0.183513648530782 -0.183513648530782 -0.183513648530782
27648 27 -0.186738590019305 -0.186738590019306 -0.186738590019305
28160 27.5 -0.190039112653796 -0.190039112653797 -0.190039112653796
28672 28 -0.193479342714102 -0.193479342714102 -0.193479342714102
29184 28.5 -0.196836598010212 -0.196836598010212 -0.196836598010212
29696 29 -0.200112988449814 -0.200112988449814 -0.200112988449815
30208 29.5 -0.203313339641206 -0.203313339641206 -0.203313339641206
30720 30 -0.206435947667257 -0.206435947667258 -0.206435947667257
31232 30.5 -0.209479322413932 -0.209479322413932 -0.209479322413932
31744 31 -0.212443390934498 -0.212443390934498 -0.212443390934499
32256 31.5 -0.215534938161484 -0.215534938161485 -0.215534938161484
32768 32 -0.219427488414392 -0.219427488414392 -0.219427488414392
33280 32.5 -0.223286898761878 -0.223286898761878 -0.223286898761878
33792 33 -0.227110106892543 -0.227110106892543 -0.227110106892543
34304 33.5 -0.23088964330535 -0.230889643305351 -0.23088964330535
34816 34 -0.234624219546175 -0.234624219546176 -0.234624219546175
35328 34.5 -0.238308392540544 -0.238308392540545 -0.238308392540544
35840 35 -0.241935455201559 -0.24193545520156 -0.241935455201558
36352 35.5 -0.245499912848778 -0.245499912848778 -0.245499912848777
36864 36 -0.249002295818885 -0.249002295818886 -0.249002295818885
37376 36.5 -0.252449706123925 -0.252449706123927 -0.252449706123927
37888 37 -0.255848380227786 -0.25584838022779 -0.255848380227789
38400 37.5 -0.259195858995248 -0.259195858995249 -0.259195858995248
38912 38 -0.26248285656522 -0.262482856565219 -0.262482856565218
39424 38.5 -0.265702511136221 -0.265702511136222 -0.26570251113622
39936 39 -0.26885626281502 -0.268856262815023 -0.268856262815022
40448 39.5 -0.271949509187307 -0.27194950918731 -0.27194950918731
40960 40 -0.274982188075594 -0.274982188075596 -0.274982188075595
41472 40.5 -0.277946209158473 -0.277946209158476 -0.277946209158474
41984 41 -0.280830318509171 -0.280830318509172 -0.280830318509171
42496 41.5 -0.283629912577069 -0.283629912577069 -0.283629912577069
43008 42 -0.28634473891172 -0.286344738911719 -0.286344738911718
43520 42.5 -0.288968884328104 -0.288968884328104 -0.288968884328104
44032 43 -0.291486364116405 -0.291486364116406 -0.291486364116405
44544 43.5 -0.293875047116142 -0.293875047116144 -0.293875047116143
45056 44 -0.296113088869459 -0.296113088869462 -0.296113088869462
45568 44.5 -0.29817518601817 -0.298175186018172 -0.298175186018172
46080 45 -0.30003121815464 -0.300031218154643 -0.300031218154642
46592 45.5 -0.301640965531242 -0.301640965531244 -0.301640965531244
47104 46 -0.302956807122424 -0.302956807122422 -0.302956807122423
47616 46.5 -0.303944507465845 -0.303944507465843 -0.303944507465844
48128 47 -0.304578107709015 -0.304578107709015 -0.304578107709015
48640 47.5 -0.304830792929189 -0.304830792929191 -0.304830792929192
49152 48 -0.304678700120503 -0.304678700120505 -0.304678700120505
49664 48.5 -0.304111225075442 -0.304111225075442 -0.304111225075442
50176 49 -0.303126694156257 -0.303126694156258 -0.303126694156258
50688 49.5 -0.301726506078363 -0.301726506078365 -0.301726506078367
51200 50 -0.299914920049912 -0.299914920049915 -0.299914920049916
51712 50.5 -0.297699891247193 -0.297699891247197 -0.297699891247198
52224 51 -0.295090402669014 -0.295090402669016 -0.295090402669018
52736 51.5 -0.292091744275201 -0.292091744275201 -0.292091744275204
53248 52 -0.288800293557536 -0.288800293557536 -0.288800293557539
53760 52.5 -0.285151004608673 -0.285151004608675 -0.285151004608677
54272 53 -0.281000156595128 -0.28100015659513 -0.281000156595132
54784 53.5 -0.276395244513496 -0.276395244513498 -0.276395244513501
55296 54 -0.273220156827247 -0.273220156827248 -0.273220156827246
55808 54.5 -0.275113369687863 -0.275113369687862 -0.275113369687861
56320 55 -0.276820723308757 -0.276820723308756 -0.276820723308755
56832 55.5 -0.278379906894145 -0.278379906894145 -0.278379906894142
57344 56 -0.279791548620427 -0.279791548620428 -0.279791548620426
57856 56.5 -0.281048920549464 -0.281048920549464 -0.281048920549463
58368 57 -0.282148325401905 -0.282148325401905 -0.282148325401904
58880 57.5 -0.283092059102886 -0.283092059102886 -0.283092059102884
59392 58 -0.283881584937667 -0.283881584937667 -0.283881584937665
59904 58.5 -0.284482124579517 -0.284482124579516 -0.284482124579516
60416 59 -0.286483823319822 -0.286483823319826 -0.286483823319823
60928 59.5 -0.289405595432825 -0.289405595432828 -0.289405595432826
61440 60 -0.292322621330889 -0.292322621330892 -0.29232262133089
61952 60.5 -0.295251219131972 -0.295251219131976 -0.295251219131973
62464 61 -0.29813471567172 -0.298134715671723 -0.298134715671721
62976 61.5 -0.300936558519227 -0.30093655851923 -0.300936558519228
63488 62 -0.303624444445525 -0.303624444445529 -0.303624444445527
64000 62.5 -0.306188082166276 -0.306188082166279 -0.306188082166278
64512 63 -0.308619386564381 -0.308619386564381 -0.308619386564382
65024 63.5 -0.310914463571016 -0.310914463571018 -0.310914463571016
65536 64 -0.313068973256469 -0.313068973256473 -0.313068973256469
66048 64.5 -0.315075442203787 -0.31507544220379 -0.315075442203788
66560 65 -0.316927439712167 -0.31692743971217 -0.316927439712169
67072 65.5 -0.318622092429422 -0.318622092429424 -0.318622092429423
67584 66 -0.320153750024326 -0.320153750024328 -0.320153750024328
