# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000127567441713409
512 0.5 -0.000141401866403786
1024 1 -0.000168081916371975
1536 1.5 -0.000176019531719427
2048 2 -0.000145029908648649
2560 2.5 -0.000137595998530775
3072 3 -0.000156401830053112
3584 3.5 -0.000194960075675493
4096 4 -0.000183832675440175
4608 4.5 -0.000158990947012998
5120 5 -0.000173724323095974
5632 5.5 -0.000200257446556662
6144 6 -0.000231185572485652
6656 6.5 -0.000246298759913507
7168 7 -0.000253793812413099
7680 7.5 -0.000258055279520008
8192 8 -0.000261138309702707
8704 8.5 -0.000266215818356341
9216 9 -0.000273925935861914
9728 9.5 -0.000281059003857621
10240 10 -0.000290602315393699
10752 10.5 -0.000315072473915638
11264 11 -0.00035960677806779
11776 11.5 -0.000413602051783461
12288 12 -0.000459949497147074
12800 12.5 -0.000507875034240394
13312 13 -0.000577751773371446
13824 13.5 -0.000666844285054202
14336 14 -0.000749031497257235
14848 14.5 -0.000807534398992294
15360 15 -0.000853420074355051
15872 15.5 -0.000911037115719155
16384 16 -0.000986993803673429
16896 16.5 -0.00106316353112144
17408 17 -0.00112125922979958
17920 17.5 -0.00116605207092633
18432 18 -0.00121440590371753
18944 18.5 -0.00126759574130472
19456 19 -0.00131243147899046
19968 19.5 -0.0013478128153694
20480 20 -0.0013918547994665
20992 20.5 -0.00145137309795991
21504 21 -0.00150650229903139
22016 21.5 -0.00153931963436918
22528 22 -0.00156327673654822
23040 22.5 -0.00160737825735725
23552 23 -0.00167819739286603
24064 23.5 -0.00175303309018821
24576 24 -0.00181260791364064
25088 24.5 -0.00186252345949533
25600 25 -0.00191740559487846
26112 25.5 -0.00197938653259421
26624 26 -0.00204309256432693
27136 26.5 -0.00211073594053291
27648 27 -0.00218753045309657
28160 27.5 -0.00226636682965296
28672 28 -0.00233150099083695
29184 28.5 -0.00237916075735219
29696 29 -0.00242442654237304
30208 29.5 -0.00248426462165575
30720 30 -0.002559646459068
31232 30.5 -0.00263669613177141
31744 31 -0.00270092636581502
32256 31.5 -0.00274886779746887
32768 32 -0.00279055951663754
33280 32.5 -0.00284082803435843
33792 33 -0.00290698142763774
34304 33.5 -0.00298311761131474
34816 34 -0.00305605806872416
35328 34.5 -0.00311719088331558
35840 35 -0.00316889590336427
36352 35.5 -0.00322183389936832
36864 36 -0.00328648089705635
37376 36.5 -0.00336395471430266
37888 37 -0.00344352950313012
38400 37.5 -0.00351240523349586
38912 38 -0.00356969785043329
39424 38.5 -0.00362731065008705
39936 39 -0.00369515061117871
40448 39.5 -0.00376995349677955
40960 40 -0.00384205069311233
41472 40.5 -0.0039086885564804
41984 41 -0.00397486915177605
42496 41.5 -0.00404325615115151
43008 42 -0.00411029065609951
43520 42.5 -0.00417383840104392
44032 43 -0.00423898148412834
44544 43.5 -0.00431148393949542
45056 44 -0.00438784853307818
45568 44.5 -0.00445740644862161
46080 45 -0.00451540815811936
46592 45.5 -0.00457017891948253
47104 46 -0.00463400282515864
47616 46.5 -0.00470875534759363
48128 47 -0.00478362860871404
48640 47.5 -0.00484651565979752
49152 48 -0.00489767335868237
49664 48.5 -0.00494968049935529
50176 49 -0.00501277460353616
50688 49.5 -0.00508248002264009
51200 50 -0.00514548749685675
51712 50.5 -0.00519696394923402
52224 51 -0.00524620079994834
52736 51.5 -0.00530292082126548
53248 52 -0.00536391186000534
53760 52.5 -0.00541900114127945
54272 53 -0.00546672310508488
54784 53.5 -0.00551619152059658
55296 54 -0.00557294620976077
55808 54.5 -0.00563027942713413
