# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 2.9889143895687e-05
512 0.5 3.59536941374412e-05
1024 1 4.2506358844869e-05
1536 1.5 4.56386661161824e-05
2048 2 4.61621654692953e-05
2560 2.5 4.62438529222704e-05
3072 3 4.70881854738955e-05
3584 3.5 4.83448131730271e-05
4096 4 4.90869241076112e-05
4608 4.5 4.94194050660104e-05
5120 5 5.00848704559685e-05
5632 5.5 5.11571954627115e-05
6144 6 5.19907807201416e-05
6656 6.5 5.23227351583581e-05
7168 7 5.26246239049757e-05
7680 7.5 5.3226291274316e-05
8192 8 5.38440145728964e-05
8704 8.5 5.41769595813938e-05
9216 9 5.44413725994375e-05
9728 9.5 5.49503793454186e-05
10240 10 5.56266450141562e-05
10752 10.5 5.62501062849043e-05
11264 11 5.68845075364263e-05
11776 11.5 5.771263525782e-05
12288 12 5.87193148551396e-05
12800 12.5 5.97778698123673e-05
13312 13 6.08784910171024e-05
13824 13.5 6.21350021476027e-05
14336 14 6.3572157275707e-05
14848 14.5 6.50277920958611e-05
15360 15 6.63472683974651e-05
15872 15.5 6.76147531584026e-05
16384 16 6.90607164433162e-05
16896 16.5 7.0732479211574e-05
17408 17 7.24491852489816e-05
17920 17.5 7.40380348953568e-05
18432 18 7.5489565844128e-05
18944 18.5 7.69023243978324e-05
19456 19 7.83553353791893e-05
19968 19.5 7.99210822744857e-05
20480 20 8.15891679421138e-05
20992 20.5 8.32212108619631e-05
21504 21 8.47138192322493e-05
22016 21.5 8.61101473666525e-05
22528 22 8.75966302316318e-05
23040 22.5 8.92960705436209e-05
23552 23 9.11620204482354e-05
24064 23.5 9.30742389979793e-05
24576 24 9.49255367550953e-05
25088 24.5 9.67050647349464e-05
25600 25 9.84946629452466e-05
26112 25.5 0.000100430494586537
26624 26 0.000102577306614814
27136 26.5 0.000104837256571137
27648 27 0.000107047472082586
28160 27.5 0.000109139470656435
28672 28 0.000111196498773715
29184 28.5 0.0001133174225652
29696 29 0.000115521831318691
30208 29.5 0.000117754706622167
30720 30 0.000119969662774341
31232 30.5 0.000122167609722344
31744 31 0.00012436237368746
32256 31.5 0.000126552224035226
32768 32 0.000128718542395222
33280 32.5 0.000130860609343041
33792 33 0.000133004879666004
