# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.83518817674238e-05 1.83518817674235e-05 1.83518817674234e-05
1024 1 2.95963359766746e-05 2.95963359766702e-05 2.95963359766658e-05
1536 1.5 3.82562545697564e-05 3.82562545697336e-05 3.82562545697109e-05
2048 2 1.60224713523703e-05 1.60224713523601e-05 1.60224713523497e-05
2560 2.5 1.48069156623984e-05 1.48069156624018e-05 1.48069156624053e-05
3072 3 4.16333787957579e-05 4.16333787957557e-05 4.16333787957552e-05
3584 3.5 4.52911480602289e-05 4.52911480601882e-05 4.52911480601884e-05
4096 4 2.57302656817785e-05 2.57302656817805e-05 2.5730265681767e-05
4608 4.5 4.27775189422845e-05 4.27775189424537e-05 4.27775189424176e-05
5120 5 4.35089131414783e-05 4.35089131413203e-05 4.35089131412896e-05
5632 5.5 3.45521390810229e-05 3.45521390807721e-05 3.45521390802906e-05
6144 6 3.99602658165892e-05 3.99602658158955e-05 3.99602658154926e-05
6656 6.5 2.11274992022591e-05 2.11274992019636e-05 2.11274992018507e-05
7168 7 2.30050678357117e-05 2.30050678352719e-05 2.30050678350717e-05
7680 7.5 2.90211792021413e-05 2.90211792021684e-05 2.90211792024836e-05
8192 8 3.62676783597875e-05 3.62676783603176e-05 3.62676783595925e-05
8704 8.5 4.02025532586915e-05 4.02025532592501e-05 4.02025532584967e-05
9216 9 3.75223286800161e-05 3.75223286801312e-05 3.75223286800595e-05
9728 9.5 3.63887751886161e-05 3.6388775189647e-05 3.63887751878509e-05
10240 10 3.9111318539523e-05 3.91113185395843e-05 3.9111318538718e-05
