# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 -2.21402633212947e-05 -2.21402633213007e-05 -2.21402633213013e-05
1024 1 -3.59502198256488e-05 -3.59502198256559e-05 -3.59502198256631e-05
1536 1.5 -4.89621765839341e-05 -4.89621765839303e-05 -4.89621765839265e-05
2048 2 -5.1960441489732e-05 -5.19604414897331e-05 -5.1960441489733e-05
2560 2.5 -5.76799903059581e-05 -5.76799903059587e-05 -5.76799903059576e-05
3072 3 -6.15922996011467e-05 -6.15922996011137e-05 -6.15922996010859e-05
3584 3.5 -6.11661677107898e-05 -6.11661677109756e-05 -6.11661677109707e-05
4096 4 -6.81031740525117e-05 -6.81031740525126e-05 -6.81031740524792e-05
4608 4.5 -6.78420106569832e-05 -6.78420106570145e-05 -6.78420106570849e-05
5120 5 -7.86953491927326e-05 -7.8695349192686e-05 -7.86953491924511e-05
5632 5.5 -8.79377223116195e-05 -8.79377223118932e-05 -8.79377223114502e-05
6144 6 -8.94001365754221e-05 -8.94001365755768e-05 -8.94001365757339e-05
6656 6.5 -8.26533900810417e-05 -8.26533900807383e-05 -8.26533900821335e-05
7168 7 -7.43606220390692e-05 -7.43606220391469e-05 -7.4360622039001e-05
7680 7.5 -6.62115158547559e-05 -6.62115158551222e-05 -6.62115158544298e-05
8192 8 -5.59665242462419e-05 -5.59665242464681e-05 -5.59665242463114e-05
8704 8.5 -4.83500940399102e-05 -4.83500940401914e-05 -4.83500940400804e-05
9216 9 -5.33901205002294e-05 -5.33901205019561e-05 -5.33901205006821e-05
9728 9.5 -4.69836518405684e-05 -4.69836518398731e-05 -4.69836518410835e-05
10240 10 -4.95460407626287e-05 -4.95460407624088e-05 -4.95460407619556e-05
10752 10.5 -4.22786012867159e-05 -4.22786012879624e-05 -4.22786012872396e-05
11264 11 -4.19356381947839e-05 -4.19356381966313e-05 -4.19356381928604e-05
11776 11.5 -4.53723844061866e-05 -4.53723844069757e-05 -4.5372384401952e-05
12288 12 -3.81749320695681e-05 -3.81749320689666e-05 -3.817493206961e-05
12800 12.5 -3.53374877541878e-05 -3.53374877553765e-05 -3.53374877516142e-05
13312 13 -2.93557452403374e-05 -2.93557452396999e-05 -2.93557452411744e-05
13824 13.5 -2.84967067028333e-05 -2.84967067023229e-05 -2.84967067004326e-05
14336 14 -2.63835819829406e-05 -2.63835819810196e-05 -2.63835819801343e-05
14848 14.5 -2.14712667970113e-05 -2.14712667981943e-05 -2.14712668030521e-05
15360 15 -2.14700857415259e-05 -2.14700857424648e-05 -2.14700857410986e-05
15872 15.5 -2.84254995362786e-05 -2.84254995315755e-05 -2.84254995297315e-05
16384 16 -3.54783925651471e-05 -3.54783925652402e-05 -3.54783925644881e-05
16896 16.5 -2.4790269481306e-05 -2.47902694817259e-05 -2.47902694822785e-05
17408 17 -3.63339376076053e-05 -3.63339376075789e-05 -3.63339376089343e-05
17920 17.5 -4.59351946095505e-05 -4.59351946087644e-05 -4.59351946105624e-05
18432 18 -4.40588688155536e-05 -4.40588688157184e-05 -4.40588688160785e-05
18944 18.5 -3.61520256061039e-05 -3.61520256052647e-05 -3.61520256068035e-05
19456 19 -3.72758626213827e-05 -3.72758626224084e-05 -3.72758626227446e-05
19968 19.5 -3.93938349416229e-05 -3.93938349419054e-05 -3.9393834941995e-05
20480 20 -3.77662113631768e-05 -3.7766211363029e-05 -3.77662113626231e-05
20992 20.5 -3.71652479355721e-05 -3.71652479346437e-05 -3.71652479351325e-05
21504 21 -4.46545427519709e-05 -4.46545427509493e-05 -4.46545427514192e-05
22016 21.5 -5.66830250746847e-05 -5.66830250770849e-05 -5.66830250765873e-05
22528 22 -7.05794835577369e-05 -7.05794835579375e-05 -7.05794835589081e-05
23040 22.5 -7.82409765361132e-05 -7.824097653402e-05 -7.82409765358149e-05
23552 23 -7.90989384093048e-05 -7.9098938406505e-05 -7.90989384065002e-05
24064 23.5 -7.39665318038957e-05 -7.39665318021546e-05 -7.396653180101e-05
24576 24 -6.6420369277296e-05 -6.6420369278453e-05 -6.64203692773478e-05
25088 24.5 -6.173648259479e-05 -6.17364825945422e-05 -6.17364825945882e-05
25600 25 -5.43360263574395e-05 -5.43360263560319e-05 -5.43360263559291e-05
26112 25.5 -4.93079067544076e-05 -4.93079067526093e-05 -4.93079067522579e-05
26624 26 -4.75682920418997e-05 -4.75682920402309e-05 -4.75682920412775e-05
