# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.53410287505272e-07 2.53410287505261e-07 2.53410287505246e-07
1024 1 6.27200386159365e-07 6.27200386159406e-07 6.27200386159444e-07
1536 1.5 9.58509937948748e-07 9.58509937948749e-07 9.58509937948735e-07
2048 2 1.02074649217271e-06 1.02074649217263e-06 1.02074649217253e-06
2560 2.5 1.0967918262494e-06 1.09679182624923e-06 1.0967918262491e-06
3072 3 1.10698002161155e-06 1.10698002161145e-06 1.10698002161136e-06
3584 3.5 1.25348289388471e-06 1.25348289388478e-06 1.25348289388474e-06
4096 4 1.18973182608085e-06 1.18973182608083e-06 1.18973182608099e-06
4608 4.5 1.28054934494805e-06 1.28054934494841e-06 1.28054934494842e-06
5120 5 1.29747200082874e-06 1.29747200082965e-06 1.29747200082938e-06
5632 5.5 1.33568363715028e-06 1.33568363715013e-06 1.33568363714889e-06
6144 6 1.3236255625303e-06 1.32362556252849e-06 1.323625562529e-06
6656 6.5 1.40687551505151e-06 1.40687551505306e-06 1.40687551505393e-06
7168 7 1.42352142112989e-06 1.42352142113177e-06 1.4235214211336e-06
7680 7.5 1.42000991330692e-06 1.42000991330714e-06 1.42000991330718e-06
8192 8 1.51073595844005e-06 1.51073595844008e-06 1.51073595843989e-06
8704 8.5 1.55277870021724e-06 1.55277870021702e-06 1.55277870021523e-06
9216 9 1.57236031589344e-06 1.57236031588487e-06 1.57236031588798e-06
9728 9.5 1.64619732302996e-06 1.64619732302444e-06 1.64619732302489e-06
10240 10 1.65493840420267e-06 1.65493840419905e-06 1.65493840420057e-06
10752 10.5 1.67462603437591e-06 1.67462603437383e-06 1.67462603437092e-06
11264 11 1.67886296098303e-06 1.67886296098258e-06 1.67886296098195e-06
11776 11.5 1.67134135773373e-06 1.6713413577317e-06 1.67134135772766e-06
12288 12 1.65088026057967e-06 1.65088026058353e-06 1.65088026058035e-06
12800 12.5 1.62151883246225e-06 1.62151883247026e-06 1.6215188324631e-06
13312 13 1.61775459366919e-06 1.61775459368366e-06 1.61775459367471e-06
13824 13.5 1.62773713727334e-06 1.62773713728058e-06 1.62773713727975e-06
14336 14 1.57948434607077e-06 1.57948434607547e-06 1.57948434607188e-06
14848 14.5 1.54175082386047e-06 1.54175082386793e-06 1.54175082386862e-06
15360 15 1.51691836551014e-06 1.51691836552247e-06 1.51691836551606e-06
15872 15.5 1.5331730939846e-06 1.53317309399973e-06 1.53317309399137e-06
16384 16 1.57913677241225e-06 1.57913677240798e-06 1.57913677240796e-06
16896 16.5 1.58610935217853e-06 1.58610935218018e-06 1.58610935217357e-06
17408 17 1.66186734918789e-06 1.66186734919188e-06 1.66186734919943e-06
17920 17.5 1.71263048545086e-06 1.71263048545653e-06 1.71263048545149e-06
18432 18 1.76940529006727e-06 1.76940529007903e-06 1.76940529006784e-06
18944 18.5 1.81265040660988e-06 1.812650406614e-06 1.81265040660672e-06
